interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,scale_factor_gamma,actual_observed_flow_mw,model_proxy_observation_scale_mw,observation_scale_residual_mw,model_observation_scale_is_mathematical_rescaling,electrical_baseline_qualified
Central_East,918.119640805668,919.824688464481,-1.70504765881265,1.70504765881265,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.73729120606,-4.79270879394329,1,1
Total_East_proxy,1067.42218243063,1064.86749418979,2.5546882408396,2.5546882408396,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.41095868721,7.18095868720865,1,1
UPNY_ConEd,1883.81916694422,1887.02575769531,-3.2065907510846,3.2065907510846,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.21661224402,-9.01338775597773,1,1
Dunwoodie_South,1016.10989293008,1013.73430197272,2.37559095735344,2.37559095735344,1,0,impedance_075,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.17753514881,6.67753514881137,1,1
Dysinger_East,118.97906995521,119.424624611063,-0.445554655852888,0.445554655852888,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.437592944836,-1.25240705516441,1,1
West_Central,-251.321588916891,-249.020389314563,-2.30119960232761,2.30119960232761,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.438428910881,-6.46842891088139,1,1
Moses_South,715.036163416823,713.559374921485,1.47678849533804,1.47678849533804,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.89109640591,4.1510964059091,1,1
Central_East,917.887581176435,919.824688464481,-1.93710728804581,1.93710728804581,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.08499611038,-5.44500388962378,1,1
Total_East_proxy,1067.48796937753,1064.86749418979,2.62047518773875,2.62047518773875,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.59587884314,7.36587884313544,1,1
UPNY_ConEd,1883.82246905344,1887.02575769531,-3.20328864186695,3.20328864186695,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.22589412409,-9.0041058759058,1,1
Dunwoodie_South,1016.10740376353,1013.73430197272,2.37310179080828,2.37310179080828,1,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.17053836469,6.67053836468693,1,1
Dysinger_East,119.044173970319,119.424624611063,-0.380450640743803,0.380450640743803,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.620593451667,-1.06940654833305,1,1
West_Central,-251.359445845337,-249.020389314563,-2.33905653077332,2.33905653077332,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.544840736343,-6.57484073634307,1,1
Moses_South,715.004630800854,713.559374921485,1.44525587936846,1.44525587936846,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.80246155452,4.06246155451809,1,1
Central_East,917.998369082695,919.824688464481,-1.82631938178611,1.82631938178611,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.39640920775,-5.13359079225429,1,1
Total_East_proxy,1067.4628725945,1064.86749418979,2.5953784047058,2.5953784047058,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.52533443805,7.29533443804505,1,1
UPNY_ConEd,1883.81699754145,1887.02575769531,-3.20876015386216,3.20876015386216,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.21051428206,-9.01948571794134,1,1
Dunwoodie_South,1016.11164227385,1013.73430197272,2.37734030112654,2.37734030112654,1,0,charging_zero,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.1824523693,6.68245236930173,1,1
Dysinger_East,119.113166942121,119.424624611063,-0.311457668941969,0.311457668941969,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.81452540481,-0.875474595190349,1,1
West_Central,-251.311597828425,-249.020389314563,-2.29120851386227,2.29120851386227,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.410345016979,-6.44034501697883,1,1
Moses_South,715.005361891048,713.559374921485,1.44598696956245,1.44598696956245,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.8045165718,4.064516571798,1,1
Central_East,917.983488644034,919.824688464481,-1.84119982044717,1.84119982044717,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.35458186711,-5.17541813289197,1,1
Total_East_proxy,1067.45679247935,1064.86749418979,2.5892982895532,2.5892982895532,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.50824387685,7.2782438768461,1,1
UPNY_ConEd,1883.81908713207,1887.02575769531,-3.20667056323691,3.20667056323691,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.2163879005,-9.01361209950399,1,1
Dunwoodie_South,1016.10948553222,1013.73430197272,2.37518355949135,2.37518355949135,1,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.17638999647,6.67638999647138,1,1
Dysinger_East,119.089923508073,119.424624611063,-0.334701102989825,0.334701102989825,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.74919056787,-0.940809432129849,1,1
West_Central,-251.332011395966,-249.020389314563,-2.31162208140256,2.31162208140256,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.467725398202,-6.49772539820185,1,1
Moses_South,715.002656612444,713.559374921485,1.44328169095854,1.44328169095854,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.79691231951,4.05691231951331,1,1
Central_East,917.979375526066,919.824688464481,-1.84531293841485,1.84531293841485,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.34302032714,-5.18697967285968,1,1
Total_East_proxy,1067.46912848045,1064.86749418979,2.60163429065165,2.60163429065165,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.54291907237,7.31291907236984,1,1
UPNY_ConEd,1883.82902489986,1887.02575769531,-3.19673279544963,3.19673279544963,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.24432191561,-8.98567808439299,1,1
Dunwoodie_South,1016.10352428958,1013.73430197272,2.36922231685776,2.36922231685776,1,0,RCC_announced_paths_off,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.15963357336,6.65963357336194,1,1
Dysinger_East,119.063274002016,119.424624611063,-0.361350609047207,0.361350609047207,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.674281622437,-1.01571837756332,1,1
West_Central,-251.354769300461,-249.020389314563,-2.33437998589773,2.33437998589773,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.531695462875,-6.56169546287539,1,1
Moses_South,714.994830704232,713.559374921485,1.43545578274677,1.43545578274677,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.77491451851,4.03491451850564,1,1
Central_East,918.009922374428,919.824688464481,-1.81476609005301,1.81476609005301,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.42888428995,-5.10111571004647,1,1
Total_East_proxy,1067.46238015695,1064.86749418979,2.59488596715346,2.59488596715346,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.52395024812,7.29395024812205,1,1
UPNY_ConEd,1883.88555939237,1887.02575769531,-3.1401983029391,3.1401983029391,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.40323439997,-8.82676560003167,1,1
Dunwoodie_South,1015.84329089713,1013.73430197272,2.10898892440503,2.10898892440503,1,0,Astoria_retirement_not_assumed,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2855.42814500644,5.92814500643564,1,1
Dysinger_East,119.113091423793,119.424624611063,-0.311533187270285,0.311533187270285,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,335.69,334.814313130769,-0.875686869231109,1,1
West_Central,-251.310950641724,-249.020389314563,-2.2905613271603,2.2905613271603,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,-699.97,-706.408525843549,-6.4385258435488,1,1
Moses_South,715.008522008036,713.559374921485,1.44914708655119,1.44914708655119,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2005.74,2009.81339932672,4.07339932671897,1,1
Central_East,917.957492734248,919.824688464481,-1.86719573023288,1.86719573023288,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2585.53,2580.28151011173,-5.24848988827227,1,1
Total_East_proxy,1067.4700590829,1064.86749418979,2.60256489310677,2.60256489310677,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2993.23,3000.54553489753,7.31553489753303,1,1
UPNY_ConEd,1883.81937105425,1887.02575769531,-3.2063866410565,3.2063866410565,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,5304.23,5295.21718597574,-9.01281402425733,1,1
Dunwoodie_South,1016.11262870605,1013.73430197272,2.37832673332127,2.37832673332127,1,0,South_Fork_zero_available,S1_2025_SUMMER_PEAK_PUBLIC,0.355758660106238,2849.5,2856.18522512596,6.68522512596334,1,1
