variant_id,reported_solver,attempt_count,ny_bus_count,branch_records,active_branch_count,generator_records,online_generator_count,online_pmax_mw,pmax_change_from_nominal_mw,changed_branch_records,changed_generator_records,gross_load_mw,net_scheduled_import_mw,electrical_baseline_qualified,proxy_MAE_mw,proxy_RMSE_mw,proxy_max_error_mw,fresh_pf_P_residual_mw,fresh_pf_Q_residual_mvar,max_voltage_violation_pu,max_generator_P_violation_mw,max_generator_Q_violation_mvar,max_branch_overload_mva,branch_loss_mw,min_vm_pu,max_vm_pu,heldout_targets_used,automatic_parameter_selection,dlr_ready
nominal,MIPS,1,66,125,112,37,37,17005.0500241639,0,0,0,10902.2197987,564.169198369674,1,2.0170246104737,2.19224870615934,3.20732563873162,2.93025195150227e-11,6.80460636310502e-11,0,0,0,0,218.963231438508,0.900000001117679,1.09999999813146,0,0,0
impedance_075,MIPS,1,66,125,112,37,37,17005.0500241639,0,23,0,10902.2197987,564.169198369674,1,1.97813575543102,2.16661611237977,3.2065907510846,2.35331754083745e-11,7.32878926069292e-11,0,0,0,0,213.829557778041,0.900000018544449,1.09999996709717,0,0,0
impedance_125,MIPS,1,66,125,112,37,37,17005.0500241639,0,23,0,10902.2197987,564.169198369674,1,2.0510736659969,2.20994143130774,3.20328864186695,2.98308443067151e-11,4.32542762010916e-11,0,0,0,0,240.771661679886,0.900000000396494,1.09999999929026,0,0,0
charging_zero,MIPS,1,66,125,112,37,37,17005.0500241639,0,18,0,10902.2197987,564.169198369674,1,2.02465161319517,2.19492964030804,3.20876015386216,2.55566730323098e-11,6.05590085193894e-11,0,0,0,0,217.315047001187,0.900000000410551,1.0999999992806,0,0,0
charging_150,MIPS,1,66,125,112,37,37,17005.0500241639,0,18,0,10902.2197987,564.169198369674,1,2.00871505501362,2.18619813842557,3.20667056323691,3.18784304901206e-11,9.28209065640375e-11,0,0,0,0,228.078272768856,0.900000005938781,1.09999999019265,0,0,0
RCC_announced_paths_off,MIPS,1,66,125,110,37,37,17005.0500241639,0,2,0,10902.2197987,564.169198369674,1,2.01464388810355,2.18908589174968,3.19673279544963,7.98650034994353e-12,2.86775048152776e-11,0,0,0,0,218.23682927834,0.900000005798747,1.09999999063182,0,0,0
Astoria_retirement_not_assumed,MIPS,1,66,125,112,37,37,17192.8905967,187.840572536094,0,1,10902.2197987,564.169198369674,1,1.97000366603461,2.1372855379336,3.1401983029391,2.96137591181042e-11,5.64956065394561e-11,0,0,0,0,216.610491448764,0.900000006939063,1.09999999814619,0,0,0
South_Fork_zero_available,IPOPT,2,66,125,112,37,37,16958.0898810299,-46.9601431340234,0,1,10902.2197987,564.169198369674,1,2.0151022283856,2.19222224690971,3.2063866410565,2.09752215596382e-11,7.18581669733456e-11,0,0,0,0,224.382957284249,0.900000013791586,1.09999997155057,0,0,0
