zone,source_bus,model_bus,zonal_share,pd_mw,qd_mvar,policy,scenario_id
I,547,547,0,0,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
I,593,593,0,0,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
I,594,594,0,0,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
I,1501,1501,0.423143257931732,199.222575190806,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
I,1502,1502,0.473129077013882,222.756693752077,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,1136,1136,0,0,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,1532,1532,0.0547330843996547,196.595469668592,0.268125247452942,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,596,596,0.050167593366932,180.19670713418,0.245759918944237,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,1503,1503,0.010406055060494,37.3774528597175,0.0509769569668448,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,1506,1506,0.0232969662288084,83.6802469263874,0.114126673172497,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,628,628,0.0442031705919008,158.773129244849,0.216541533939804,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,1493,1493,0.100427360685313,360.724493385774,0.491971377643854,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,601,601,0.0533043881521907,191.463743348675,0.26112638124454,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,595,595,0.0423078437152247,151.965314893024,0.207256747719787,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,597,597,0.0611017283576042,219.470967437415,0.299323822426284,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,600,600,0.0535530657920383,192.356967217531,0.262344597876244,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
J,557,557,0,0,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
K,598,598,0.0055688448950587,10.5960582101363,0.0300702458700374,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
K,626,626,0.00724029906018236,13.7763991898141,0.0390956431746676,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
