scenario_id,gen_row,bus_id,status,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,Pg_prior_mw,Pg_sigma_mw,provenance
S1_2019_SUMMER_PEAK_PUBLIC,41,122,1,0,1110.62043,-999,999,6.11179006e-08,333.186129,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,42,123,1,0,2200.24661,-999,999,7.80614098e-07,660.073983,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,43,130,1,0,2487.70936,-999,999,205.641905,746.312808,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,44,133,1,0,3186.13607,-999,999,2233.8369,955.840821,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,45,134,1,0,2932.80502,-999,999,2932.80502,879.841506,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,46,135,1,0,1539.43821,-999,999,1.28816527e-07,461.831463,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,47,137,1,0,1633.2871,-999,999,1.2732082e-07,489.98613,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,48,139,1,0,1193.01815,-999,999,1.79781798e-07,357.905445,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,49,79,1,0,963.001840874112,-406.020696747379,406.020696747379,542.056405983132,288.900552262234,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,50,82,1,0,722.251380655584,-304.515522560534,304.515522560534,406.542304487349,216.675414196675,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,51,81,1,0,722.251380655584,-304.515522560534,304.515522560534,406.542304487349,216.675414196675,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,52,43,1,0,551.861609352408,-267.278776220763,267.278776220763,350.551954873671,165.558482805722,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,53,44,1,0,275.930804676204,-133.639388110381,133.639388110381,175.275977436835,82.7792414028612,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,54,38,1,0,318.163247763034,-154.09349383864,154.09349383864,206.366517699202,95.4489743289102,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,55,42,1,0,318.163247763034,-154.09349383864,154.09349383864,206.366517699202,95.4489743289102,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,56,41,1,0,190.89794865782,-92.4560963031838,92.4560963031838,123.819910619521,57.2693845973461,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,57,37,1,0,190.89794865782,-92.4560963031838,92.4560963031838,123.819910619521,57.2693845973461,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,58,73,1,0,760.390006002475,-368.273688204786,368.273688204786,428.480726652593,228.117001800743,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,59,76,1,0,591.414449113036,-286.435090825945,286.435090825945,333.262787396461,177.424334733911,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,60,39,1,0,506.926670668317,-245.515792136524,245.515792136524,285.653817768395,152.078001200495,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,61,80,1,0,994.611081937275,-478.645219801739,478.645219801739,565.923722793034,298.383324581182,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,62,9003,1,0,497.305540968637,-239.322609900869,239.322609900869,282.961861396517,149.191662290591,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,63,74,1,0,850.280526952141,-411.809654516099,411.809654516099,769.834798839637,255.084158085642,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,64,1136,1,0,0,-237.947511103008,237.947511103008,0,50,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,65,595,1,0,67.4284983717288,-37.1574065495271,37.1574065495271,37.9542882857238,50,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,66,557,1,0,180.335366921836,-56.0838770737248,56.0838770737248,101.507532713095,54.1006100765509,final_post_allocation_reconstructed_controls
S1_2019_SUMMER_PEAK_PUBLIC,67,9003,1,0,47.9172740282977,-29.3027038136715,29.3027038136715,27.2644479803799,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,1,21,1,0,1793.93322,-999,999,1793.93322,538.179966,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,2,22,1,0,412.624315,-999,999,412.624314,123.7872945,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,3,23,1,0,180.231046,-999,999,27.325459,54.0693138,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,4,23,1,0,181.476826,-9999,9999,181.476825,54.4430478,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,5,24,1,0,596.869973,-999,999,596.869972,179.0609919,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,6,25,1,0,333.659703,-999,999,239.119014,100.0979109,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,7,26,1,0,281.047831,-999,999,281.047831,84.3143493,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,8,27,1,0,1535.86381,-999,999,1535.86381,460.759143,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,9,36,1,0,1645.49178,-999,999,1498.69381,493.647534,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,10,42,1,0,444.302467386808,-215.18550618943,215.18550618943,232.87146037434,133.290740216042,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,11,47,1,0,386.375113661995,-187.130008305742,187.130008305742,224.452027647752,115.912534098599,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,12,48,1,0,16.3804278317731,-7.93340328562887,7.93340328562887,9.51567559756313,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,13,50,1,0,1264.36571059618,-612.36026224075,612.36026224075,794.553482937473,379.309713178854,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,14,51,1,0,335.04283007754,-162.268648673985,162.268648673985,210.547822786029,100.512849023262,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,15,53,1,0,394.378572009839,-191.006260098752,191.006260098752,341.408688643335,118.313571602952,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,16,54,1,0,350.829846594399,-169.91464974254,169.91464974254,259.535187856018,105.24895397832,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,17,54,1,0,350.829846594399,-169.91464974254,169.91464974254,259.535187856018,105.24895397832,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,18,55,1,0,350.829846594399,-169.91464974254,169.91464974254,259.535187856018,105.24895397832,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,19,56,1,0,880.832521617048,-426.606660879202,426.606660879202,651.617974316384,264.249756485114,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,20,57,1,0,25.471157967865,-12.3362448396538,12.3362448396538,18.8429286512297,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,21,60,1,0,105.920276537599,-51.2995312776973,51.2995312776973,78.3571840759854,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,22,61,1,0,235.335839715145,-113.978349234622,113.978349234622,174.095596377058,70.6007519145434,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,23,65,1,0,8.55895425427352,-4.14529073964065,4.14529073964065,5.37862333345698,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,24,68,1,0,310.076304583801,-150.176808496369,150.176808496369,194.858343372242,93.0228913751402,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,25,71,1,0,736.344838793614,-356.628082211012,356.628082211012,462.734279649694,220.903451638084,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,26,72,1,0,218.336318884606,-105.745105524741,105.745105524741,137.207044740014,65.5008956653817,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,27,78,1,0,6.78974849560734,-3.28842528271219,3.28842528271219,2.33856868167966,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,28,79,1,0,569.652758975072,-240.176913777427,240.176913777427,189.641086868606,170.895827692522,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,29,80,1,0,595.967783099588,-286.802686715336,286.802686715336,212.528761209637,178.790334929876,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,30,82,1,0,611.253576669916,-257.716644511887,257.716644511887,203.490268072376,183.376073000975,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,31,86,1,0,800,-999,999,800,240,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,32,91,1,0,800,-9999,9999,800,240,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,33,92,1,0,800,-999,999,800,240,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,34,97,1,0,800,-999,999,800,240,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,35,98,1,0,102.529909,-999,999,102.529909,50,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,36,101,1,0,800,-999,999,800,240,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,37,115,1,0,822.002397,-999,999,1.34126774e-07,246.6007191,final_post_allocation_reconstructed_controls
S2_2019_WINTER_PEAK_PUBLIC,38,119,1,0,1163.72156,-999,999,1.4894655e-07,349.116468,final_post_allocation_reconstructed_controls
