region,branch_row,terminal,coefficient,measurement_class,scenario_id
HQ,221,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
ONTARIO,63,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
ONTARIO,64,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
ISONE,25,to,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
ISONE,32,to,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
PJM,72,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
PJM,80,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
PJM,83,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
PJM,93,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
PJM,99,from,-1,regional_aggregate_proxy,S1_2019_SUMMER_PEAK_PUBLIC
HQ,221,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
ONTARIO,63,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
ONTARIO,64,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
ISONE,25,to,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
ISONE,32,to,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
PJM,72,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
PJM,80,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
PJM,83,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
PJM,93,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
PJM,99,from,-1,regional_aggregate_proxy,S2_2019_WINTER_PEAK_PUBLIC
HQ,221,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
ONTARIO,63,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
ONTARIO,64,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
ISONE,25,to,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
ISONE,32,to,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
PJM,72,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
PJM,80,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
PJM,83,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
PJM,93,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
PJM,99,from,-1,regional_aggregate_proxy,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
HQ,221,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
ONTARIO,63,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
ONTARIO,64,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
ISONE,25,to,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
ISONE,32,to,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
PJM,72,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
PJM,80,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
PJM,83,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
PJM,93,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
PJM,99,from,-1,regional_aggregate_proxy,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
HQ,221,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
ONTARIO,63,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
ONTARIO,64,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
ISONE,25,to,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
ISONE,32,to,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
PJM,72,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
PJM,80,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
PJM,83,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
PJM,93,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
PJM,99,from,-1,regional_aggregate_proxy,S5_2019_HIGH_TOTAL_EAST_PUBLIC
HQ,221,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
ONTARIO,63,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
ONTARIO,64,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
ISONE,25,to,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
ISONE,32,to,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
PJM,72,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
PJM,80,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
PJM,83,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
PJM,93,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
PJM,99,from,-1,regional_aggregate_proxy,S6_2019_LOW_TOTAL_EAST_PUBLIC
