accounting_id,source_gen_row,bus_id,inherited_status,inherited_pmin_mw,inherited_pmax_mw,inherited_qmin_mvar,inherited_qmax_mvar,source_case,parameter_provenance,contemporary_unit_id,contemporary_status,contemporary_pmin_mw,contemporary_pmax_mw,contemporary_qmin_mvar,contemporary_qmax_mvar,review_cutoff,release_eligible
inherited_gen_037,37,115,1,0,822.002397,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_038,38,119,1,0,1163.72156,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_039,39,120,1,0,2085.23345,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_040,40,121,1,0,1456.93436,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_041,41,122,1,0,1110.62043,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_042,42,123,1,0,2200.24661,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_043,43,130,1,0,2487.70936,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_044,44,133,1,0,3186.13607,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_045,45,134,1,0,2932.80502,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_046,46,135,1,0,1539.43821,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_047,47,137,1,0,1633.2871,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_048,48,139,1,0,1193.01815,-999,999,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_049,49,79,1,0,1200,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_050,50,82,1,0,900,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_051,51,81,1,0,900,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_052,52,43,1,0,400,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_053,53,44,1,0,200,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_054,54,38,1,0,500,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_055,55,42,1,0,500,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_056,56,41,1,0,300,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_057,57,37,1,0,300,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_058,58,73,1,0,900,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_059,59,76,1,0,700,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_060,60,39,1,0,600,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_061,61,80,1,0,1200,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
inherited_gen_062,62,9003,1,0,600,-0,0,s13_phase1c_historical_candidate,historical_inherited,unmapped,unverified,NaN,NaN,NaN,NaN,2026-09-06,0
