quantity,p_mw,q_mvar
native_external_net_device_injection,-608.944936439277,4968.38714523882
mapped_boundary_PQ_injection,-973.01672504779,-1470.04125222805
source_external_passive_absorption,469.713811732006,5423.86108606456
equivalent_external_passive_absorption,105.642023123496,-1014.56731140231
eliminated_passive_absorption_in_injection_mapping,364.07178860851,6438.42839746686
