transfer_mw,from_load_bus,to_load_bus,voltage_max_error_pu,current_relative_error,interface_error_mw,reduction_response_pass,capability_pass,independent_public_validation
5,55,79,0.00122383146921079,0.00620918769499839,0.504043219247023,1,0,0
10,55,79,0.00243188494830227,0.0123399208790569,0.998211970915804,1,0,0
25,55,79,0.00596567734878484,0.030282705045886,2.42405203710996,0,0,0
50,55,79,0.0115771672003997,0.0588025960813828,4.62549399821319,0,0,0
75,55,79,0.0168768673102708,0.0857657226126673,6.63013366282394,0,0,0
100,55,79,0.0218993649363926,0.111336668981918,8.45929881683674,0,0,0
