zone,pd_mw,qd_mvar,load_relocated_share,P_capability_relocated_share,Q_capability_relocated_share,max_conservation_error,conservation_pass,scenario_id
H,233.955369616376,0,0,0,0,0,1,S1_2019_SUMMER_PEAK_PUBLIC
I,470.815903258342,0,0.896272334945614,0,0,0,1,S1_2019_SUMMER_PEAK_PUBLIC
J,3591.89458852847,4.89877832382188,0.493501256350161,0.0685201898977906,0.189113239363977,4.54747350886464e-13,1,S1_2019_SUMMER_PEAK_PUBLIC
K,1902.73897187158,5.39972767004501,0.0183779888502998,0.0236669625861274,0.0298829745591019,2.27373675443232e-13,1,S1_2019_SUMMER_PEAK_PUBLIC
H,235.348554997091,0,0,0,0,0,1,S2_2019_WINTER_PEAK_PUBLIC
I,414.880086647176,0,0.896272334945614,0,0,0,1,S2_2019_WINTER_PEAK_PUBLIC
J,3383.36694678189,4.6143794735415,0.493501256350161,0.0685201898977906,0.189113239363977,4.54747350886464e-13,1,S2_2019_WINTER_PEAK_PUBLIC
K,1494.71463310442,4.24180724866124,0.0183779888502998,0.0236669625861274,0.0298829745591019,2.27373675443232e-13,1,S2_2019_WINTER_PEAK_PUBLIC
H,163.746304011066,0,0,0,0,0,1,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
I,399.011885094375,0,0.896272334945614,0,0,0,1,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,3565.19947262422,4.86237039148408,0.493501256350161,0.0685201898977906,0.189113239363977,1.81898940354586e-12,1,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
K,1340.43910369839,3.80399320413932,0.0183779888502998,0.0236669625861274,0.0298829745591019,1.13686837721616e-13,1,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
H,213.212714747238,0,0,0,0,0,1,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
I,487.778931296523,0,0.896272334945614,0,0,0,1,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,4005.11941369719,5.46235188270823,0.493501256350161,0.0685201898977906,0.189113239363977,4.54747350886464e-13,1,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
K,1876.07853328516,5.32406878563743,0.0183779888502998,0.0236669625861274,0.0298829745591019,4.54747350886464e-13,1,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
H,188.627314522305,0,0,0,0,0,1,S5_2019_HIGH_TOTAL_EAST_PUBLIC
I,444.445550864476,0,0.896272334945614,0,0,0,1,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,4028.27493889251,5.49393237097363,0.493501256350161,0.0685201898977906,0.189113239363977,4.54747350886464e-13,1,S5_2019_HIGH_TOTAL_EAST_PUBLIC
K,1546.06311107513,4.38752760306194,0.0183779888502998,0.0236669625861274,0.0298829745591019,0,1,S5_2019_HIGH_TOTAL_EAST_PUBLIC
H,183.407483859041,0,0,0,0,0,1,S6_2019_LOW_TOTAL_EAST_PUBLIC
I,430.032289286905,0,0.896272334945614,0,0,0,1,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,3952.69200033174,5.39084915069907,0.493501256350161,0.0685201898977906,0.189113239363977,2.27373675443232e-13,1,S6_2019_LOW_TOTAL_EAST_PUBLIC
K,1546.95747179107,4.3900656833642,0.0183779888502998,0.0236669625861274,0.0298829745591019,4.54747350886464e-13,1,S6_2019_LOW_TOTAL_EAST_PUBLIC
