source_bus_row,source_bus,device_key,source_bus_name,base_kv,source_zone,source_area,canonical_bus_type,raw_bus_type,electrical_role,gross_pd_mw,gross_qd_mvar,source_gs_mw,source_bs_mvar,source_vm_pu,source_va_deg,source_vmin_pu,source_vmax_pu,has_native_generation,has_boundary_proxy,has_reference_placeholder
1,1,PERFORM2019:BUS:1,MORTIMER,115,B,66,1,1,gross_load,115.19,0,0,0,1.0031526,91.234932,0.9,1.1,0,0,0
2,2,PERFORM2019:BUS:2,UNKNOWN124116,69,F,70,1,1,gross_load,1.54,0,0,0,1.007407,77.447058,0.9,1.1,0,0,0
3,3,PERFORM2019:BUS:3,UNKNOWN124120,115,F,70,1,1,gross_load,3.42,0,0,0,1.0090452,82.863645,0.9,1.1,0,0,0
4,4,PERFORM2019:BUS:4,UNKNOWN124121,115,D,68,1,1,gross_load,74.05,0,0,0,0.9918251,94.668595,0.9,1.1,0,0,0
5,5,PERFORM2019:BUS:5,UNKNOWN124122,115,F,70,1,1,gross_load,3.42,0,0,0,1.0062988,86.266782,0.9,1.1,0,0,0
6,6,PERFORM2019:BUS:6,UNKNOWN124124,115,F,70,2,2,gross_load|native_generation_terminal,3.42,0,0,0,1.02,82.869047,0.9,1.1,1,0,0
7,7,PERFORM2019:BUS:7,UNKNOWN124125,115,F,70,1,1,gross_load,6.84,0,0,0,1.0167806,82.118145,0.9,1.1,0,0,0
8,8,PERFORM2019:BUS:8,UNKNOWN124127,115,F,70,1,1,gross_load,6.84,0,0,0,1.0192093,82.370013,0.9,1.1,0,0,0
9,9,PERFORM2019:BUS:9,UNKNOWN124132,115,G,71,1,1,gross_load,36.73,0,0,0,1.0129516,69.103318,0.9,1.1,0,0,0
10,10,PERFORM2019:BUS:10,UNKNOWN124133,115,D,68,1,1,gross_load,14.81,0,0,0,0.9835384,91.223194,0.9,1.1,0,0,0
11,11,PERFORM2019:BUS:11,UNKNOWN124134,115,F,70,1,1,gross_load,6.84,0,0,0,1.0093745,82.819503,0.9,1.1,0,0,0
12,12,PERFORM2019:BUS:12,UNKNOWN124137,115,F,70,1,1,gross_load,3.42,0,0,0,1.0184117,81.2489,0.9,1.1,0,0,0
13,13,PERFORM2019:BUS:13,UNKNOWN124138,115,F,70,1,1,gross_load,13.69,0,0,0,1.0168327,80.436735,0.9,1.1,0,0,0
14,14,PERFORM2019:BUS:14,UNKNOWN124143,115,E,69,1,1,gross_load,4.15,0,0,0,1.0059558,78.659681,0.9,1.1,0,0,0
15,15,PERFORM2019:BUS:15,UNKNOWN124145,115,E,69,2,2,gross_load|native_generation_terminal,4.15,0,0,0,1.02,100.012987,0.9,1.1,1,0,0
16,16,PERFORM2019:BUS:16,BOONVILLE,115,E,69,1,1,gross_load,10.39,0,0,0,1.0130211,88.559568,0.9,1.1,0,0,0
17,17,PERFORM2019:BUS:17,UNKNOWN124147,138,K,75,2,2,gross_load|native_generation_terminal,44.52,0,0,0,1.01,48.503942,0.9,1.1,1,0,0
18,18,PERFORM2019:BUS:18,GLENWOOD LANDING,69,K,75,2,2,gross_load|native_generation_terminal,41.74,0,0,0,1.01,58.868571,0.9,1.1,1,0,0
19,19,PERFORM2019:BUS:19,NORTHPORT,115,K,75,2,2,gross_load|native_generation_terminal|boundary_injection_landing,77.35,0,0,0,1.02,59.220555,0.9,1.1,1,1,0
20,20,PERFORM2019:BUS:20,UNKNOWN124156,115,E,69,1,1,gross_load,8.31,0,0,0,1.0176238,101.877172,0.9,1.1,0,0,0
21,21,PERFORM2019:BUS:21,UNKNOWN124157,115,E,69,2,2,gross_load|native_generation_terminal,8.31,0,0,0,1.0182993,101.920108,0.9,1.1,1,0,0
22,22,PERFORM2019:BUS:22,UNKNOWN124159,69,F,70,1,1,gross_load,1.54,0,0,0,1.0096096,77.135576,0.9,1.1,0,0,0
