source_branch_row,device_key,source_from_bus,source_to_bus,raw_circuit_id,source_device_role,canonical_status,raw_status,raw_converted_branch_row,identity_confidence,individual_circuit_identity_resolved,raw_identity_candidates,raw_canonical_parameters_match,raw_parameter_max_abs_difference,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_deg,raw_transformer_control_mode,raw_regulated_bus,overhead_thermal_eligible
1,PERFORM2019:AC:1:142:1,142,1,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:142:1,1,0,0.03889,0.16081,0.02663,167,556,210,0,0,0,0,0
2,PERFORM2019:AC:1:199:1,1,199,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,2,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:199:1,1,0,0.00254,0.01051,0.00174,167,556,210,0,0,0,0,0
3,PERFORM2019:AC:1:228:1,1,228,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,3,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:228:1,1,0,0.01207,0.04989,0.00826,167,556,210,0,0,0,0,0
4,PERFORM2019:AC:1:228:2,1,228,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,4,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:228:2,1,0,0.01336,0.05524,0.00915,167,556,210,0,0,0,0,0
5,PERFORM2019:AC:1:242:1,1,242,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,5,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:242:1,1,0,0.00663,0.02741,0.00454,167,556,210,0,0,0,0,0
6,PERFORM2019:AC:1:881:1,881,1,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,6,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:881:1,1,0,0.00926,0.0383,0.00634,167,556,210,0,0,0,0,0
7,PERFORM2019:AC:1:882:1,882,1,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,7,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:882:1,1,0,0.00917,0.03791,0.00628,167,556,210,0,0,0,0,0
8,PERFORM2019:AC:1:883:1,883,1,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,8,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:883:1,1,0,0.00543,0.02247,0.00372,167,556,210,0,0,0,0,0
9,PERFORM2019:AC:1:1402:1,1,1402,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,9,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:1:1402:1;PERFORM2019:AC:1:1402:2,1,0,0.0028,0.01156,0.00192,116,556,145,0,0,0,0,0
10,PERFORM2019:AC:1:1402:2,1,1402,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,10,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:1:1402:1;PERFORM2019:AC:1:1402:2,1,0,0.0028,0.01156,0.00192,116,556,145,0,0,0,0,0
11,PERFORM2019:AC:1:1403:1,1,1403,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,11,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:1403:1,1,0,0.00276,0.01141,0.00189,167,556,210,0,0,0,0,0
12,PERFORM2019:AC:1:1404:1,1,1404,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,12,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:1404:1,1,0,0.00277,0.01146,0.0019,167,556,210,0,0,0,0,0
13,PERFORM2019:AC:1:1405:1,1,1405,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,13,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:1405:1,1,0,0.00278,0.01149,0.0019,167,556,210,0,0,0,0,0
14,PERFORM2019:AC:1:1422:1,1,1422,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,14,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:1422:1,1,0,0.0019,0.00785,0.0013,167,556,210,0,0,0,0,0
15,PERFORM2019:AC:1:1550:1,1,1550,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,15,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:1:1550:1;PERFORM2019:AC:1:1550:2,1,0,0.02427,0.10034,0.01662,116,556,145,0,0,0,0,0
16,PERFORM2019:AC:1:1550:2,1,1550,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,16,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:1:1550:1;PERFORM2019:AC:1:1550:2,1,0,0.02427,0.10034,0.01662,116,556,145,0,0,0,0,0
17,PERFORM2019:AC:1:1551:1,1,1551,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,17,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:1551:1,1,0,0.00477,0.01973,0.00327,556,556,556,0,0,0,0,0
18,PERFORM2019:AC:1:1551:2,1,1551,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,18,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1:1551:2,1,0,0.00437,0.01805,0.00299,556,556,556,0,0,0,0,0
19,PERFORM2019:AC:2:777:1,777,2,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,19,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:2:777:1,1,0,0.04083,0.09281,0.00181,96,250,123,0,0,0,0,0
20,PERFORM2019:AC:3:794:1,794,3,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,20,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:3:794:1,1,0,0.00164,0.00676,0.00112,167,556,210,0,0,0,0,0
21,PERFORM2019:AC:4:193:1,4,193,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,21,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:4:193:1,1,0,0.00102,0.00421,0.0007,167,556,210,0,0,0,0,0
22,PERFORM2019:AC:4:193:2,4,193,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,22,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:4:193:2,1,0,0.00105,0.00435,0.00072,167,556,210,0,0,0,0,0
23,PERFORM2019:AC:4:193:3,4,193,3,ac_branch_unresolved_line_cable_or_equivalent,1,1,23,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:4:193:3,1,0,0.00103,0.00425,0.0007,167,556,210,0,0,0,0,0
24,PERFORM2019:AC:4:449:1,4,449,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,24,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:4:449:1,1,0,0.00637,0.02634,0.00436,167,556,210,0,0,0,0,0
25,PERFORM2019:AC:4:1527:1,4,1527,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,25,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:4:1527:1;PERFORM2019:AC:4:1527:2,1,0,0.00495,0.0211,0.0027,167,556,210,0,0,0,0,0
26,PERFORM2019:AC:4:1527:2,4,1527,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,26,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:4:1527:1;PERFORM2019:AC:4:1527:2,1,0,0.00495,0.0211,0.0027,167,556,210,0,0,0,0,0
27,PERFORM2019:AC:5:990:1,990,5,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,27,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:5:990:1,1,0,5e-05,0.00019,3e-05,167,556,210,0,0,0,0,0
28,PERFORM2019:AC:6:635:1,635,6,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,28,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:6:635:1,1,0,0.00361,0.01494,0.00247,167,556,210,0,0,0,0,0
29,PERFORM2019:AC:7:698:1,698,7,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,29,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:7:698:1,1,0,0.00203,0.00841,0.00139,167,556,210,0,0,0,0,0
30,PERFORM2019:AC:7:699:1,699,7,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,30,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:7:699:1,1,0,0.00203,0.00839,0.00139,167,556,210,0,0,0,0,0
31,PERFORM2019:AC:8:676:1,676,8,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,31,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:8:676:1,1,0,0.00211,0.00871,0.00144,167,556,210,0,0,0,0,0
