gate,passed
canonical_record_counts,1
bus_keys_unique,1
branch_keys_unique,1
generator_bus_unit_keys_unique,1
bus_inventory_covers_source,1
branch_inventory_covers_source,1
generator_inventory_covers_source,1
canonical_parameters_preserved,1
canonical_status_preserved,1
source_generator_bounds_preserved,1
source_bus_and_branch_limits_preserved,1
all_buses_in_NY_zones,1
generator_roles_exhaustive,1
native_membership_excludes_all_proxies,1
Marcy_reference_not_native,1
placeholder_Q_never_native,1
placeholder_Q_flags_match_source,1
branch_families_cover_RAW,1
no_implicit_overhead_classification,1
ambiguous_parallel_circuit_identity_disclosed,1
34_shunts_counted_once,1
BINIT_alias_matches_canonical_BS,1
controls_unique_and_counted,1
RAW_remote_control_conversion_explicit,1
no_inferred_transformer_or_shunt_regulation,1
boundary_21_candidates_20_imports_19_legacy,1
bus69_omission_explicit,1
reference_is_not_external_schedule,1
boundary_identity_matches_generator_inventory,1
offline_boundary_effective_PQ_zero,1
source_roles_have_explicit_treatment,1
no_qualification_from_inventory,1
