source_gen_row,source_bus,source_generator_id,device_key,source_device_role,source_zone,canonical_status,raw_status,raw_gen_row,raw_ireg,regulated_bus,source_pg_mw,source_qg_mvar,source_pmin_mw,source_pmax_mw,source_qmin_mvar,source_qmax_mvar,source_voltage_target_pu,source_gen_type,source_gen_fuel,source_eia_plant_code,source_eia_unit_key,native_generation_member,q_bounds_are_placeholder,raw_canonical_status_mismatch,recommended_treatment,role_evidence,canonical_regulated_bus,raw_remote_control_omitted
1,6,1,PERFORM2019:GEN:6:1,native_generation,F,1,1,1,0,6,2.744616,-0.209143,1,2.8,-1.5,1.8,1.02,"HY (Hydro)",hydro,2685,2685-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,6,0
2,6,2,PERFORM2019:GEN:6:2,native_generation,F,1,1,2,0,6,2.744616,-0.209143,1,2.8,-1.5,1.8,1.02,"HY (Hydro)",hydro,2685,2685-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,6,0
3,6,3,PERFORM2019:GEN:6:3,native_generation,F,1,1,3,0,6,2.94066,-0.209143,1,3,-1.7,2,1.02,"HY (Hydro)",hydro,2685,2685-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,6,0
4,6,4,PERFORM2019:GEN:6:4,native_generation,F,1,1,4,0,6,2.94066,-0.209143,1,3,-1.7,2,1.02,"HY (Hydro)",hydro,2685,2685-4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,6,0
5,15,1,PERFORM2019:GEN:15:1,native_generation,E,1,1,5,0,15,7.841761,-1.256166,7,8,-4.4,5.2,1.02,"HY (Hydro)",hydro,2548,2548-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,15,0
6,15,2,PERFORM2019:GEN:15:2,native_generation,E,1,1,6,0,15,7.841761,-1.256166,7,8,-4.4,5.2,1.02,"HY (Hydro)",hydro,2548,2548-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,15,0
7,17,1,PERFORM2019:GEN:17:1,native_generation,K,0,0,7,0,17,0,0,10.5,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
8,17,2,PERFORM2019:GEN:17:2,native_generation,K,1,1,12,0,17,11.4,-9.9,11.4,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
9,17,3,PERFORM2019:GEN:17:3,native_generation,K,1,1,13,0,17,11,-9.9,11,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-5,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
10,17,4,PERFORM2019:GEN:17:4,native_generation,K,1,1,14,0,17,11.2,-9.9,11.2,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-6,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
