control_key,device_key,source_bus,source_control_role,canonical_enabled,regulated_bus,setpoint_pu,qmin_mvar,qmax_mvar,bounds_are_placeholder,recommended_treatment,raw_regulated_bus,raw_remote_control_omitted
PERFORM2019:GEN:17:12:CONTROL,PERFORM2019:GEN:17:12,17,PV_voltage_control,1,17,1.01,-103.400004,122.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:17:13:CONTROL,PERFORM2019:GEN:17:13,17,PV_voltage_control,1,17,1.01,-103.400004,122.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,17,0
PERFORM2019:GEN:18:1:CONTROL,PERFORM2019:GEN:18:1,18,PV_voltage_control,1,18,1.01,-8.8,10.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,18,0
PERFORM2019:GEN:18:2:CONTROL,PERFORM2019:GEN:18:2,18,PV_voltage_control,1,18,1.01,-29.2,34.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,18,0
PERFORM2019:GEN:18:3:CONTROL,PERFORM2019:GEN:18:3,18,PV_voltage_control,1,18,1.01,-29.2,34.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,18,0
PERFORM2019:GEN:18:4:CONTROL,PERFORM2019:GEN:18:4,18,PV_voltage_control,1,18,1.01,-30.3,35.800001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,18,0
PERFORM2019:GEN:18:5:CONTROL,PERFORM2019:GEN:18:5,18,offline_generator_control,0,18,1.01,-30.3,35.800001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,18,0
PERFORM2019:GEN:19:1:CONTROL,PERFORM2019:GEN:19:1,19,PV_voltage_control,1,19,1.02,-8.8,10.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,19,0
PERFORM2019:GEN:19:2:CONTROL,PERFORM2019:GEN:19:2,19,offline_generator_control,0,19,1.02,-212.899995,251.600003,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,19,0
PERFORM2019:GEN:19:3:CONTROL,PERFORM2019:GEN:19:3,19,PV_voltage_control,1,19,1.02,-212.899995,251.600003,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,19,0
PERFORM2019:GEN:19:4:CONTROL,PERFORM2019:GEN:19:4,19,PV_voltage_control,1,19,1.02,-212.899995,251.600003,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,19,0
PERFORM2019:GEN:19:5:CONTROL,PERFORM2019:GEN:19:5,19,PV_voltage_control,1,19,1.02,-212.899995,251.600003,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,19,0
PERFORM2019:GEN:19:X:CONTROL,PERFORM2019:GEN:19:X,19,boundary_proxy_PV_to_be_replaced_by_fixed_PQ,1,19,1.02,-9900,9900,1,remove_generator_and_apply_separate_scheduled_P_fixed_Q,19,0
PERFORM2019:GEN:21:1:CONTROL,PERFORM2019:GEN:21:1,21,PV_voltage_control,1,21,1.02,-6.1,7.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,21,0
PERFORM2019:GEN:21:2:CONTROL,PERFORM2019:GEN:21:2,21,PV_voltage_control,1,21,1.02,-6.6,7.8,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,21,0
PERFORM2019:GEN:21:3:CONTROL,PERFORM2019:GEN:21:3,21,PV_voltage_control,1,21,1.02,-7.2,8.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,21,0
PERFORM2019:GEN:24:1:CONTROL,PERFORM2019:GEN:24:1,24,PV_voltage_control,1,24,1.02,-5,5.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,24,0
PERFORM2019:GEN:24:2:CONTROL,PERFORM2019:GEN:24:2,24,PV_voltage_control,1,24,1.02,-5,5.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,24,0
PERFORM2019:GEN:24:3:CONTROL,PERFORM2019:GEN:24:3,24,PV_voltage_control,1,24,1.02,-5,5.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,24,0
PERFORM2019:GEN:24:4:CONTROL,PERFORM2019:GEN:24:4,24,PV_voltage_control,1,24,1.02,-5,5.9,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,24,0
PERFORM2019:GEN:26:C1:CONTROL,PERFORM2019:GEN:26:C1,26,PV_voltage_control,1,26,1.02,-416.499996,446.25001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,26,0
PERFORM2019:GEN:26:C2:CONTROL,PERFORM2019:GEN:26:C2,26,PV_voltage_control,1,26,1.02,-455.000019,487.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,26,0
PERFORM2019:GEN:27:C1:CONTROL,PERFORM2019:GEN:27:C1,27,PV_voltage_control,1,27,1.02,-85.820001,91.949999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,27,0
PERFORM2019:GEN:28:C1:CONTROL,PERFORM2019:GEN:28:C1,28,offline_generator_control,0,28,1.02,-44.029999,47.174999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,28,0
PERFORM2019:GEN:29:1:CONTROL,PERFORM2019:GEN:29:1,29,PV_voltage_control,1,29,1.02,-61.6,72.799999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,29,0
PERFORM2019:GEN:30:1:CONTROL,PERFORM2019:GEN:30:1,30,PV_voltage_control,1,30,1.02,-2.3,2.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,30,0
PERFORM2019:GEN:30:2:CONTROL,PERFORM2019:GEN:30:2,30,PV_voltage_control,1,30,1.02,-30.500001,36.000001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,30,0
PERFORM2019:GEN:31:1:CONTROL,PERFORM2019:GEN:31:1,31,PV_voltage_control,1,31,1.02,-0.6,0.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,31,0
PERFORM2019:GEN:31:2:CONTROL,PERFORM2019:GEN:31:2,31,PV_voltage_control,1,31,1.02,-0.6,0.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,31,0
PERFORM2019:GEN:31:3:CONTROL,PERFORM2019:GEN:31:3,31,PV_voltage_control,1,31,1.02,-1.4,1.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,31,0
