scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S6_2019_LOW_TOTAL_EAST_PUBLIC,HQ,48,1,0,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - HQ_CEDARS,48,1,68.1458228224918,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,ISONE,37,0.4,-12.6148677911194,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,ISONE,73,0.6,-18.9223016866791,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - NPX_1385,80,1,22.5957201990367,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - NPX_CSC,80,1,56.3099693849011,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,ONTARIO,54,1,303.327817249672,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,66,0.35,9.48392589465126,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,67,0.15,4.06453966913625,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,75,0.25,6.77423278189375,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,81,0.25,6.77423278189375,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - PJM_HTP,81,1,35.8662225381536,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - PJM_NEPTUNE,80,1,236.717068751814,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - PJM_VFT,81,1,112.978600995184,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
