Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
01/21/2019 00:00,CENTRAL EAST - VC,23330,2645.51,2745,-9999
01/21/2019 00:00,DYSINGER EAST,23326,1390.42,3150,-9999
01/21/2019 00:00,MOSES SOUTH,23319,1354.3,3150,-1600
01/21/2019 00:00,SCH - HQ - NY,23324,890,950,-1000
01/21/2019 00:00,SCH - HQ_CEDARS,325274,160,170,-100
01/21/2019 00:00,SCH - HQ_IMPORT_EXPORT,325376,740,1310,-9999
01/21/2019 00:00,SCH - NE - NY,23318,-1089.7,1400,-1800
01/21/2019 00:00,SCH - NPX_1385,325277,62,200,-200
01/21/2019 00:00,SCH - NPX_CSC,325154,0,330,-330
01/21/2019 00:00,SCH - OH - NY,23317,850.58,1450,-1500
01/21/2019 00:00,SCH - PJ - NY,23316,1629,2000,-1300
01/21/2019 00:00,SCH - PJM_HTP,325905,585,660,-660
01/21/2019 00:00,SCH - PJM_NEPTUNE,325305,82,660,-660
01/21/2019 00:00,SCH - PJM_VFT,325658,315,315,-315
01/21/2019 00:00,SPR/DUN-SOUTH,23320,1903.09,4600,-9999
01/21/2019 00:00,TOTAL EAST,23314,4796.25,6800,-9999
01/21/2019 00:00,UPNY CONED,23315,1853.79,5700,-9999
01/21/2019 00:00,WEST CENTRAL,23312,880.65,9999,-9999
01/21/2019 00:05,CENTRAL EAST - VC,23330,2631.9,2745,-9999
01/21/2019 00:05,DYSINGER EAST,23326,1341.28,3150,-9999
01/21/2019 00:05,MOSES SOUTH,23319,1301.79,3150,-1600
01/21/2019 00:05,SCH - HQ - NY,23324,950,950,-1000
01/21/2019 00:05,SCH - HQ_CEDARS,325274,170,170,-100
01/21/2019 00:05,SCH - HQ_IMPORT_EXPORT,325376,800,1310,-9999
01/21/2019 00:05,SCH - NE - NY,23318,-1077.72,1400,-1800
01/21/2019 00:05,SCH - NPX_1385,325277,50,200,-200
01/21/2019 00:05,SCH - NPX_CSC,325154,0,330,-330
01/21/2019 00:05,SCH - OH - NY,23317,850.31,1450,-1500
01/21/2019 00:05,SCH - PJ - NY,23316,1551.19,2000,-1300
01/21/2019 00:05,SCH - PJM_HTP,325905,660,660,-660
01/21/2019 00:05,SCH - PJM_NEPTUNE,325305,165,660,-660
01/21/2019 00:05,SCH - PJM_VFT,325658,315,315,-315
01/21/2019 00:05,SPR/DUN-SOUTH,23320,1815.9,4600,-9999
01/21/2019 00:05,TOTAL EAST,23314,4690.8,6800,-9999
01/21/2019 00:05,UPNY CONED,23315,1682.97,5700,-9999
01/21/2019 00:05,WEST CENTRAL,23312,835.54,9999,-9999
01/21/2019 00:10,CENTRAL EAST - VC,23330,2642.92,2745,-9999
01/21/2019 00:10,DYSINGER EAST,23326,1308.06,3150,-9999
01/21/2019 00:10,MOSES SOUTH,23319,1359.71,3150,-1600
01/21/2019 00:10,SCH - HQ - NY,23324,950,950,-1000
01/21/2019 00:10,SCH - HQ_CEDARS,325274,170,170,-100
01/21/2019 00:10,SCH - HQ_IMPORT_EXPORT,325376,800,1310,-9999
01/21/2019 00:10,SCH - NE - NY,23318,-1077.69,1400,-1800
01/21/2019 00:10,SCH - NPX_1385,325277,50,200,-200
01/21/2019 00:10,SCH - NPX_CSC,325154,0,330,-330
01/21/2019 00:10,SCH - OH - NY,23317,850.27,1450,-1500
01/21/2019 00:10,SCH - PJ - NY,23316,1554.61,2000,-1300
01/21/2019 00:10,SCH - PJM_HTP,325905,660,660,-660
01/21/2019 00:10,SCH - PJM_NEPTUNE,325305,165,660,-660
01/21/2019 00:10,SCH - PJM_VFT,325658,315,315,-315
01/21/2019 00:10,SPR/DUN-SOUTH,23320,1828.56,4600,-9999
01/21/2019 00:10,TOTAL EAST,23314,4572.83,6800,-9999
01/21/2019 00:10,UPNY CONED,23315,1674.85,5700,-9999
01/21/2019 00:10,WEST CENTRAL,23312,802.24,9999,-9999
01/21/2019 00:15,CENTRAL EAST - VC,23330,2646.9,2745,-9999
01/21/2019 00:15,DYSINGER EAST,23326,1403.48,3150,-9999
01/21/2019 00:15,MOSES SOUTH,23319,1297.5,3150,-1600
