experiment,timestamp,network,inputs,pooled_error_pct,worst_interface_error_pct,wrong_direction_interfaces,additional_slack_mw,input_total_imbalance_mw,observations_used_in_dispatch,Dysinger East_error_pct,West Central_error_pct,Total East_error_pct,Moses South_error_pct,Central East_error_pct,UpNY-Coned_error_pct,Dun/SPR-South_error_pct
paper_J_only_hydro_boundary_load,2019-01-21 18:00:00,compact51_marcy,paper_components,14.4324802273,39.4468882593,0,3.75166564481e-12,-4.43378667114e-12,False,6.12559003689,7.39132533006,11.4440276668,39.4468882593,12.0862856962,21.36601258,15.9403344309
thermal_residual_statewide_normalization,2019-01-21 18:00:00,compact51_marcy,one_declared_input_rule_changed,11.4645916336,40.5510836204,0,3.97903932026e-12,-4.09272615798e-12,False,2.41796573637,0.926270844909,16.3645724675,40.5510836204,15.0376850471,10.7490138644,0.778957171004
current_boundary_only,2019-01-21 18:00:00,compact51_marcy,one_declared_input_rule_changed,12.7299182598,30.0073129683,0,-1.12549969344e-11,1.03455022327e-11,False,9.89435571393,19.4007547534,0.114359355499,5.35463258394,4.28434341581,29.2572800699,30.0073129683
current_within_zone_gross_load_placement,2019-01-21 18:00:00,compact51_marcy,one_declared_input_rule_changed,32.6135025766,113.502425995,1,4.09272615798e-12,-4.09272615798e-12,False,6.12559003689,7.39132533006,11.4440276668,90.5975911847,14.3274298586,23.669054775,113.502425995
current_hydro_spatial_rule_fixed_paper_total,2019-01-21 18:00:00,compact51_marcy,one_declared_input_rule_changed,16.1339216292,45.694700882,0,3.97903932026e-12,-4.03588273912e-12,False,27.4578798886,45.694700882,4.17904603035,35.5027279336,0.643912763129,21.1470801749,15.9403344309
paper_J_only_hydro_boundary_load,2019-04-21 04:00:00,compact51_marcy,paper_components,19.082009441,63.5873365719,0,1.93267624127e-12,-2.27373675443e-12,False,50.4237695405,63.5873365719,1.44572022377,31.2288680603,15.1070455049,23.048757961,15.0817231121
thermal_residual_statewide_normalization,2019-04-21 04:00:00,compact51_marcy,one_declared_input_rule_changed,22.4021755031,63.5873365719,0,1.70530256582e-12,-2.27373675443e-12,False,50.4237695405,63.5873365719,2.66584218101,31.2288680603,15.9319144205,32.00612373,24.456197882
current_boundary_only,2019-04-21 04:00:00,compact51_marcy,one_declared_input_rule_changed,19.5996179646,96.0416341712,0,-4.54747350886e-12,4.32009983342e-12,False,76.9806955582,96.0416341712,1.82751278443,2.47806435566,10.4523212585,23.3200797862,9.44407138116
current_within_zone_gross_load_placement,2019-04-21 04:00:00,compact51_marcy,one_declared_input_rule_changed,27.9253212406,70.0992023773,0,1.81898940355e-12,-2.44426701101e-12,False,50.4237695405,63.5873365719,1.44572022377,70.0992023773,16.5301280126,21.1986527591,48.3098922431
current_hydro_spatial_rule_fixed_paper_total,2019-04-21 04:00:00,compact51_marcy,one_declared_input_rule_changed,23.0961052139,73.3581808686,0,1.5916157281e-12,-2.8990143619e-12,False,62.2204054174,73.3581808686,1.75575143045,64.3037947858,14.1698666771,23.2176396179,15.0817231121
paper_J_only_hydro_boundary_load,2019-07-17 16:00:00,compact51_marcy,paper_components,26.0983328424,2957.40378579,1,3.52429196937e-12,-4.88853402203e-12,False,54.9492206188,2957.40378579,20.9999552172,19.3383703951,7.81855735463,14.7029151453,32.8292388814
thermal_residual_statewide_normalization,2019-07-17 16:00:00,compact51_marcy,one_declared_input_rule_changed,19.8640955516,2741.75147855,1,2.84217094304e-12,-5.5138116295e-12,False,51.1993890837,2741.75147855,27.3973911922,19.3383703951,7.92815972994,3.76377672972,3.4290742503
current_boundary_only,2019-07-17 16:00:00,compact51_marcy,one_declared_input_rule_changed,25.7069192977,1650.52020516,1,-7.84439180279e-12,7.16227077646e-12,False,31.487698283,1650.52020516,7.37321730655,0.362303964722,25.1196714802,24.667960021,54.8824164121
current_within_zone_gross_load_placement,2019-07-17 16:00:00,compact51_marcy,one_declared_input_rule_changed,57.7276869747,2957.40378579,2,2.72848410532e-12,-4.54747350886e-12,False,54.9492206188,2957.40378579,20.9999552172,56.3113305317,4.18466696873,17.5265994941,195.446736118
current_hydro_spatial_rule_fixed_paper_total,2019-07-17 16:00:00,compact51_marcy,one_declared_input_rule_changed,29.58586538,2813.00733418,1,3.75166564481e-12,-5.22959453519e-12,False,47.6058333504,2813.00733418,21.2716583645,62.985566813,9.00143024402,14.5746163952,32.8292388814
paper_J_only_hydro_boundary_load,2019-07-20 16:00:00,compact51_marcy,paper_components,16.8355034363,113.749777289,0,4.43378667114e-12,-6.93489710102e-12,False,19.7733134222,113.749777289,19.6440468897,8.30332512156,6.09226254485,15.0180200171,18.2439220646
thermal_residual_statewide_normalization,2019-07-20 16:00:00,compact51_marcy,one_declared_input_rule_changed,13.3340623786,133.971099288,0,4.43378667114e-12,-6.70752342558e-12,False,23.6536993442,133.971099288,22.9162087118,8.30332512156,5.97308398473,5.64810654979,0.122257202529
current_boundary_only,2019-07-20 16:00:00,compact51_marcy,one_declared_input_rule_changed,16.7958378948,142.404853498,0,1.03874558175,-1.03874558175,False,25.7435940452,142.404853498,2.08819448102,4.21000573144,6.22587576099,21.518786351,33.2880261503
current_within_zone_gross_load_placement,2019-07-20 16:00:00,compact51_marcy,one_declared_input_rule_changed,38.3312537063,123.837535469,1,5.34328137292e-12,-7.50333128963e-12,False,19.7733134222,113.749777289,19.6440468897,28.4982115269,9.46191474638,17.3510782044,123.837535469
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,compact51_marcy,one_declared_input_rule_changed,14.8821059826,34.6450778956,0,5.11590769747e-12,-6.48014975013e-12,False,1.17165346348,0.859939699084,13.3289084446,34.6450778956,6.03684732106,14.8705935802,18.2439220646
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,compact51_marcy,paper_components,23.1966223816,51.6343276208,0,2.27373675443e-12,-3.32534000336e-12,False,35.8610768978,51.6343276208,23.3750990043,37.6556381589,23.4802674718,22.3411175238,9.04124314961
thermal_residual_statewide_normalization,2019-07-27 02:00:00,compact51_marcy,one_declared_input_rule_changed,20.076544183,49.4266056141,0,1.81898940355e-12,-3.75166564481e-12,False,34.5112326097,49.4266056141,24.2511870242,37.6556381589,27.549986192,13.7132842566,1.73561305534
current_boundary_only,2019-07-27 02:00:00,compact51_marcy,one_declared_input_rule_changed,17.9829120881,35.3730292993,0,-5.68434188608e-13,-6.53699316899e-13,False,15.570096101,18.4476517674,1.33378946642,6.46084307214,35.3730292993,25.2223179869,19.4768062965
current_within_zone_gross_load_placement,2019-07-27 02:00:00,compact51_marcy,one_declared_input_rule_changed,44.3850320117,90.5768414928,0,2.95585778076e-12,-4.09272615798e-12,False,35.8610768978,51.6343276208,23.3750990043,90.5768414928,21.0369574019,23.9260975858,82.9296188776
