experiment,timestamp,pooled_error_pct,worst_interface_error_pct,wrong_direction_interfaces,imputed_interface_observations,ambiguous_interface_observations,minimum_sample_count,minimum_distinct_timestamp_count,pooled_rank,minimax_rank
reference_NY46__paper_roles,2019-01-01 00:00:00,12.0324575661,53.1343072058,0,0,0,13,12,5415,4407
reference_NY46__paper_roles,2019-01-01 01:00:00,11.1139462815,49.6785976282,0,0,0,12,12,4721,4179
reference_NY46__paper_roles,2019-01-01 02:00:00,13.9136670405,47.76450216,0,0,0,12,12,6480,4021
reference_NY46__paper_roles,2019-01-01 03:00:00,11.3366808318,52.8988358891,0,0,0,12,12,4900,4385
reference_NY46__paper_roles,2019-01-01 04:00:00,14.2083773008,73.7401019396,0,0,0,12,12,6616,5390
reference_NY46__paper_roles,2019-01-01 05:00:00,16.432145005,60.8618132942,0,0,0,12,12,7461,4836
reference_NY46__paper_roles,2019-01-01 06:00:00,16.9923434536,70.2509816501,0,0,0,12,12,7623,5254
reference_NY46__paper_roles,2019-01-01 07:00:00,18.8456728722,130.186771145,0,0,0,12,12,7987,6795
reference_NY46__paper_roles,2019-01-01 08:00:00,16.7831197237,489.967164504,0,0,0,12,12,7561,8240
reference_NY46__paper_roles,2019-01-01 09:00:00,16.7245223939,639.273480378,0,0,0,12,12,7544,8359
reference_NY46__paper_roles,2019-01-01 10:00:00,15.779325817,163.482699569,0,0,0,12,12,7246,7201
reference_NY46__paper_roles,2019-01-01 11:00:00,14.0877233784,173.896938819,0,0,0,12,12,6568,7302
reference_NY46__paper_roles,2019-01-01 12:00:00,15.6595412541,216.085001298,0,0,0,12,12,7198,7581
reference_NY46__paper_roles,2019-01-01 13:00:00,19.8665928244,480.733258674,0,0,0,12,12,8156,8227
reference_NY46__paper_roles,2019-01-01 14:00:00,18.2475619304,525.181155006,0,0,0,12,12,7903,8280
reference_NY46__paper_roles,2019-01-01 15:00:00,15.7467292572,205.085465594,0,0,0,12,12,7235,7523
reference_NY46__paper_roles,2019-01-01 16:00:00,17.8456930945,235.468456144,0,0,0,12,12,7815,7688
