experiment,criterion,rank,timestamp,interface,observed_actual_mw,predicted_actual_scale_mw,observed_benchmark_mw,predicted_benchmark_mw,signed_error_benchmark_mw,absolute_error_actual_scale_mw,absolute_error_pct,paper_rating_error_pct,wrong_direction
reference_NY46__paper_roles,minimax,2,2019-09-02 13:00:00,Central East,2479.8925,2554.43977631,889.443762757,916.181054775,26.7372920185,74.5472763128,3.00606886439,-2.70589024729,False
reference_NY46__paper_roles,minimax,2,2019-09-02 13:00:00,UpNY-Coned,2553.40833333,2445.02716269,915.811115141,876.93888329,-38.8722318516,108.381170641,4.24456868986,1.90142404633,False
reference_NY46__paper_roles,minimax,2,2019-09-02 13:00:00,Dun/SPR-South,3041.89333333,2919.56666667,1091.01223231,1047.13827782,-43.8739544902,122.326666667,4.02139895328,2.81210727969,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,Dysinger East,1747.89833333,1696.72367287,626.905105974,608.550688368,-18.3544176065,51.1746604676,2.92778243973,1.6245923958,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,West Central,1082.96166667,1059.68713896,388.41744137,380.069747469,-8.34769390034,23.2745277021,2.14915526731,0.232768553877,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,Total East,5021.44,5123.76584212,1801.00084502,1837.70125927,36.7004142471,102.325842115,2.03777884661,-1.50479179581,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,Moses South,2001.29166667,2062.71386394,717.787722804,739.817544766,22.0298219621,61.4221972739,3.06912771871,-1.94991102457,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,Central East,2673.7025,2720.96577718,958.956088658,975.907640831,16.9515521729,47.263277182,1.76770890486,-1.69402427176,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,UpNY-Coned,3040.12416667,3208.21521006,1090.37769905,1150.66560674,60.2879076906,168.091043395,5.52908480639,-2.94896567359,False
reference_NY46__paper_roles,minimax,3,2019-02-01 15:00:00,Dun/SPR-South,3454.1325,3467.37666667,1238.86684921,1243.6170315,4.75018229001,13.2441666667,0.383429606904,-0.287916666668,False
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,Dysinger East,1382.02916667,1362.49704959,495.681656459,488.676223882,-7.00543257693,19.5321170761,1.41329268204,0.620067208765,False
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,West Central,862.745,871.133905865,309.434041637,312.442825283,3.00878364603,8.38890586494,0.972350563021,-0.0838974483942,False
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,Total East,4602.37,4494.70328537,1650.69626623,1612.08028276,-38.615983469,107.666714631,2.33937546592,1.58333403869,False
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,Moses South,2075.06666667,2124.64864121,744.248028482,762.03120981,17.7831813284,49.5819745431,2.38941598068,-1.87101790729,False
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,Central East,2289.7675,3397.40268063,821.253107156,1218.52000595,397.266898795,1107.63518063,48.3732597579,-40.0591385398,False
