timestamp,experiment,bus_id,delta_injection_benchmark_mw,delta_injection_actual_scale_mw
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,51,2.56706593858,7.15733566825
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,53,-12.7116783789,-35.4419213382
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,54,245.454019166,684.359828818
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,55,-854.51966667,-2382.51927914
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,56,308.132111252,859.115037622
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,57,8.91029961776,24.8431504273
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,60,37.0529443827,103.308744999
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,61,82.3249906936,229.533485457
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,65,0.065577884269,0.18284023136
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,68,-10.1518049309,-28.3046393306
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,71,5.64180333086,15.7301297199
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,72,1.67287187502,4.66419867115
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,73,8.8664433291,24.7208730155
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,76,6.8961225893,19.2273456787
2019-01-21 18:00:00,current_hydro_spatial_rule_fixed_paper_total,77,-24.9892248748,-69.6734228094
2019-04-21 04:00:00,thermal_residual_statewide_normalization,42,6.34565099014,17.6925545571
2019-04-21 04:00:00,thermal_residual_statewide_normalization,50,15.6640393811,43.6735130509
2019-04-21 04:00:00,thermal_residual_statewide_normalization,77,35.9015209172,100.098416774
2019-04-21 04:00:00,thermal_residual_statewide_normalization,79,10.0615727411,28.053059478
2019-04-21 04:00:00,thermal_residual_statewide_normalization,80,2.22955305059,6.2163029525
2019-04-21 04:00:00,thermal_residual_statewide_normalization,82,-70.2023370801,-195.733846812
2019-04-21 04:00:00,current_boundary_only,37,48.6222961992,135.565701539
2019-04-21 04:00:00,current_boundary_only,48,-88.1856294267,-245.873758612
2019-04-21 04:00:00,current_boundary_only,54,88.1856294267,245.873758612
2019-04-21 04:00:00,current_boundary_only,66,-135.118422469,-376.728891159
2019-04-21 04:00:00,current_boundary_only,67,93.0963521013,259.565534124
2019-04-21 04:00:00,current_boundary_only,73,-48.6222961992,-135.565701539
2019-04-21 04:00:00,current_boundary_only,75,50.4852286243,140.759815368
2019-04-21 04:00:00,current_boundary_only,79,-128.371188168,-357.916666667
2019-04-21 04:00:00,current_boundary_only,80,128.371188168,357.916666667
2019-04-21 04:00:00,current_boundary_only,81,-8.46315825696,-23.5964583333
2019-04-21 04:00:00,current_within_zone_gross_load_placement,41,5.06610717821e-08,1.41250090467e-07
2019-04-21 04:00:00,current_within_zone_gross_load_placement,42,-5.06610717821e-08,-1.41250090467e-07
2019-04-21 04:00:00,current_within_zone_gross_load_placement,45,-124.328549339,-346.645229244
2019-04-21 04:00:00,current_within_zone_gross_load_placement,46,0.213047864627,0.594006978015
2019-04-21 04:00:00,current_within_zone_gross_load_placement,47,4.89083794881,13.6363341403
2019-04-21 04:00:00,current_within_zone_gross_load_placement,49,119.224663525,332.414888126
2019-04-21 04:00:00,current_within_zone_gross_load_placement,52,58.8989044625,164.218309859
2019-04-21 04:00:00,current_within_zone_gross_load_placement,53,-58.8989044625,-164.218309859
2019-04-21 04:00:00,current_within_zone_gross_load_placement,54,0.332670666778,0.927531931817
2019-04-21 04:00:00,current_within_zone_gross_load_placement,55,15.6188878052,43.5476241988
2019-04-21 04:00:00,current_within_zone_gross_load_placement,56,-1.90797501143,-5.31969880407
2019-04-21 04:00:00,current_within_zone_gross_load_placement,57,-2.66229071775,-7.42283555209
2019-04-21 04:00:00,current_within_zone_gross_load_placement,58,-0.931801760105,-2.59799246802
2019-04-21 04:00:00,current_within_zone_gross_load_placement,59,-7.82047897229,-21.8045794033
2019-04-21 04:00:00,current_within_zone_gross_load_placement,61,-2.62901201043,-7.33004990317
2019-04-21 04:00:00,current_within_zone_gross_load_placement,64,-7.44353769733e-08,-2.07536148793e-07
2019-04-21 04:00:00,current_within_zone_gross_load_placement,65,4.46612204996e-08,1.24521673427e-07
2019-04-21 04:00:00,current_within_zone_gross_load_placement,68,-7.44353769733e-08,-2.07536148793e-07
2019-04-21 04:00:00,current_within_zone_gross_load_placement,71,1.04209505025e-07,2.90550544915e-07
2019-04-21 04:00:00,current_within_zone_gross_load_placement,73,-76.1906165378,-212.43
2019-04-21 04:00:00,current_within_zone_gross_load_placement,75,25.3968721793,70.81
2019-04-21 04:00:00,current_within_zone_gross_load_placement,76,-50.7937443585,-141.62
2019-04-21 04:00:00,current_within_zone_gross_load_placement,77,101.587488717,283.24
2019-04-21 04:00:00,current_within_zone_gross_load_placement,79,-404.910694595,-1128.94714286
2019-04-21 04:00:00,current_within_zone_gross_load_placement,80,-225.864974561,-629.742857143
2019-04-21 04:00:00,current_within_zone_gross_load_placement,81,560.689483694,1563.28
2019-04-21 04:00:00,current_within_zone_gross_load_placement,82,70.0861854618,195.41
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,37,10.7786114823,30.05226288
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,38,17.9643524705,50.0871048
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,39,2.50094345069,6.97297700651
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,41,10.7786114823,30.05226288
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,42,-18.6698324627,-52.0540808078
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,43,31.3178895579,87.318617188
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,44,15.6589447789,43.659308594
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,45,-6.0511736655,-16.8715109573
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,47,221.985319605,618.925841351
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,48,-280.58077768,-782.298100621
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,49,-12.4408745291,-34.6868826675
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,50,-9.50670474283,-26.5060105862
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,51,1.48395656302,4.13747659498
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,53,-12.622637846,-35.19366399
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,54,168.759254167,470.524193026
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,55,-429.643118926,-1197.90457015
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,56,211.852897974,590.675245348
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,57,6.12618006014,17.0806391825
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,60,25.4753508618,71.0288094453
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,61,56.6016562937,157.813263534
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,65,0.0379089334199,0.105695361087
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,68,-6.66664499767,-18.5875303444
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,71,3.26138528594,9.09319425114
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,72,0.967045357394,2.69625650252
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,73,3.75141517603,10.4594655098
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,76,2.91776735914,8.13513984093
2019-04-21 04:00:00,current_hydro_spatial_rule_fixed_paper_total,77,-16.0377260086,-44.7154031666
2019-07-17 16:00:00,thermal_residual_statewide_normalization,42,81.6437150752,227.633994598
