experiment,period,interface,hours,observations,wape_pct,mae_benchmark_mw,mae_actual_scale_mw,bias_benchmark_mw,wrong_direction_count
reference_NY46__paper_roles,annual,Dysinger East,8760,8760,22.4943225404,75.2897116067,209.918152174,18.6236247592,77
reference_NY46__paper_roles,annual,West Central,8760,8760,46.805804317,78.3545957731,218.463474066,30.3542888343,1006
reference_NY46__paper_roles,annual,Total East,8760,8760,7.23527544919,102.76641187,286.527001166,71.8744016045,0
reference_NY46__paper_roles,annual,Moses South,8760,8760,8.99293495462,54.7683265248,152.701686013,37.6401924834,9
reference_NY46__paper_roles,annual,Central East,8760,8760,9.62992882252,75.9644891947,211.799525623,-11.6068616966,0
reference_NY46__paper_roles,annual,UpNY-Coned,8760,8760,9.91202878218,86.4821821135,241.124311381,38.2772323334,0
reference_NY46__paper_roles,annual,Dun/SPR-South,8760,8760,10.8864600387,107.444975786,299.571485878,23.0008608978,0
reference_NY46__paper_roles,annual,ALL_SEVEN_POOLED,8760,61320,11.2180769306,83.0100989812,231.443662329,29.7376770309,1092
reference_NY46__paper_roles,month_01,Dysinger East,744,744,19.0310067314,98.7418390513,275.305934285,-28.9085418448,1
reference_NY46__paper_roles,month_01,West Central,744,744,32.2663342895,98.7707426058,275.386521401,-18.5733544378,8
reference_NY46__paper_roles,month_01,Total East,744,744,5.11501556871,85.1334940032,237.363981982,4.41175293035,0
reference_NY46__paper_roles,month_01,Moses South,744,744,16.8091372734,92.9186542905,259.070087996,82.5496121862,9
reference_NY46__paper_roles,month_01,Central East,744,744,10.6167769702,94.829311601,264.397265422,88.7156454287,0
reference_NY46__paper_roles,month_01,UpNY-Coned,744,744,10.9592686803,79.8643006119,222.672740423,67.5856157228,0
reference_NY46__paper_roles,month_01,Dun/SPR-South,744,744,11.9130187361,102.021484501,284.450040403,95.4418996973,0
reference_NY46__paper_roles,month_01,ALL_SEVEN_POOLED,744,5208,11.8156898339,93.1828323806,259.80665313,41.6032328118,18
reference_NY46__paper_roles,month_02,Dysinger East,672,672,16.999638052,60.6827721437,169.191980224,26.3615513048,0
reference_NY46__paper_roles,month_02,West Central,672,672,40.1434507987,65.2030835742,181.795235071,36.1097555045,57
reference_NY46__paper_roles,month_02,Total East,672,672,5.96085217333,89.4892651813,249.508475798,69.4244406138,0
reference_NY46__paper_roles,month_02,Moses South,672,672,8.27471003668,53.4536901366,149.036297535,34.5434985415,0
reference_NY46__paper_roles,month_02,Central East,672,672,8.26806910328,70.9039842568,197.690136399,58.8940278147,0
reference_NY46__paper_roles,month_02,UpNY-Coned,672,672,9.31294009923,69.4113942571,193.528588586,54.3425203327,0
reference_NY46__paper_roles,month_02,Dun/SPR-South,672,672,8.03327280385,72.1840593632,201.259163232,54.2819339623,0
reference_NY46__paper_roles,month_02,ALL_SEVEN_POOLED,672,4704,9.31342596917,68.7611784161,191.715696692,47.7082468678,57
reference_NY46__paper_roles,month_03,Dysinger East,744,744,14.418759094,57.0520701379,159.069079765,-4.50148866665,1
reference_NY46__paper_roles,month_03,West Central,744,744,25.0952592201,56.2784396232,156.912090654,4.06758892351,23
reference_NY46__paper_roles,month_03,Total East,744,744,5.3186782396,85.8094426773,239.248620582,-33.1555487453,0
reference_NY46__paper_roles,month_03,Moses South,744,744,5.9972427318,41.332182053,115.239852786,20.353467073,0
reference_NY46__paper_roles,month_03,Central East,744,744,11.3590369072,95.0583660372,265.03590094,-72.2715806172,0
reference_NY46__paper_roles,month_03,UpNY-Coned,744,744,8.96483151867,99.0173943663,276.074220699,50.5724672674,0
reference_NY46__paper_roles,month_03,Dun/SPR-South,744,744,15.4947427443,139.085295193,387.789082179,107.930792265,0
reference_NY46__paper_roles,month_03,ALL_SEVEN_POOLED,744,5208,9.95635829218,81.947598584,228.481263944,10.4279567856,24
reference_NY46__paper_roles,month_04,Dysinger East,720,720,31.2244194334,103.632634756,288.942150642,100.263793212,30
reference_NY46__paper_roles,month_04,West Central,720,720,53.1609230409,109.667765916,305.76893287,107.262901361,43
reference_NY46__paper_roles,month_04,Total East,720,720,8.736466843,108.76387927,303.248771612,67.570130808,0
reference_NY46__paper_roles,month_04,Moses South,720,720,12.2891646327,65.5009762385,182.625801111,38.8129239558,0
reference_NY46__paper_roles,month_04,Central East,720,720,8.28725448623,58.1266848014,162.065254403,-18.192320639,0
reference_NY46__paper_roles,month_04,UpNY-Coned,720,720,10.0276760093,82.0562921735,228.784316738,13.0908183627,0
reference_NY46__paper_roles,month_04,Dun/SPR-South,720,720,12.0252231019,107.252200347,299.034001233,-11.2228776667,0
reference_NY46__paper_roles,month_04,ALL_SEVEN_POOLED,720,5040,13.4314320341,90.7143476432,252.924175516,42.5121956276,73
reference_NY46__paper_roles,month_05,Dysinger East,744,744,22.345086711,90.7022969401,252.890576485,85.0278602085,0
reference_NY46__paper_roles,month_05,West Central,744,744,35.1677493552,97.240532518,271.120083568,92.8363106897,2
reference_NY46__paper_roles,month_05,Total East,744,744,9.31597724193,120.445396242,335.818460152,118.485020664,0
reference_NY46__paper_roles,month_05,Moses South,744,744,16.8694114148,75.4783698639,210.444157546,72.6743680783,0
reference_NY46__paper_roles,month_05,Central East,744,744,9.05795057501,69.2698297474,193.13388711,-31.3606328677,0
reference_NY46__paper_roles,month_05,UpNY-Coned,744,744,9.73050781614,71.1795641769,198.458491415,12.3744981949,0
reference_NY46__paper_roles,month_05,Dun/SPR-South,744,744,10.3290890119,98.8563118507,275.625100317,2.52497625893,0
reference_NY46__paper_roles,month_05,ALL_SEVEN_POOLED,744,5208,12.7802533568,89.0246144771,248.212965228,50.366057318,2
reference_NY46__paper_roles,month_06,Dysinger East,720,720,23.3144795227,83.2294035055,232.055113741,67.6621869528,0
reference_NY46__paper_roles,month_06,West Central,720,720,51.8167008895,95.336089152,265.810231481,80.4230267803,24
reference_NY46__paper_roles,month_06,Total East,720,720,7.30862923035,108.370864086,302.1529908,87.3237180513,0
reference_NY46__paper_roles,month_06,Moses South,720,720,6.41688562205,42.7581581828,119.215671897,30.139868675,0
reference_NY46__paper_roles,month_06,Central East,720,720,10.4947353321,87.9963485444,245.346017275,-84.6121265551,0
reference_NY46__paper_roles,month_06,UpNY-Coned,720,720,9.63656955585,92.4595236151,257.789968031,22.4268440226,0
reference_NY46__paper_roles,month_06,Dun/SPR-South,720,720,10.26788837,112.316593021,313.154230006,-0.791997109465,0
reference_NY46__paper_roles,month_06,ALL_SEVEN_POOLED,720,5040,11.1515261545,88.923854301,247.93203189,28.9387886882,24
reference_NY46__paper_roles,month_07,Dysinger East,744,744,20.8487199521,77.9447697729,217.32082237,-60.4353779874,1
reference_NY46__paper_roles,month_07,West Central,744,744,52.7525494492,70.5889228198,196.811701441,-44.8097062326,116
reference_NY46__paper_roles,month_07,Total East,744,744,6.56457743433,99.7929329482,278.236529766,72.9537796184,0
reference_NY46__paper_roles,month_07,Moses South,744,744,5.2842394839,38.4656827045,107.247655266,27.6518018726,0
reference_NY46__paper_roles,month_07,Central East,744,744,11.3457542786,91.9804311317,256.454191778,-86.4151713849,0
reference_NY46__paper_roles,month_07,UpNY-Coned,744,744,10.5977664071,126.057937354,351.467002749,81.4317720279,0
reference_NY46__paper_roles,month_07,Dun/SPR-South,744,744,13.842213215,171.395140886,477.873410571,-24.0981867402,0
reference_NY46__paper_roles,month_07,ALL_SEVEN_POOLED,744,5208,11.2814078694,96.603688231,269.34447342,-4.81729840372,117
reference_NY46__paper_roles,month_08,Dysinger East,744,744,27.352854676,73.1669000914,203.999459418,-50.3874119573,11
reference_NY46__paper_roles,month_08,West Central,744,744,79.7950217175,67.0609746733,186.975292985,-34.194059985,200
reference_NY46__paper_roles,month_08,Total East,744,744,7.78250498967,113.728831103,317.091745534,99.2543146831,0
reference_NY46__paper_roles,month_08,Moses South,744,744,3.71276511084,27.5960178452,76.9415229491,11.6597719073,0
reference_NY46__paper_roles,month_08,Central East,744,744,9.28643097531,75.1520217813,209.534253855,-64.340844137,0
reference_NY46__paper_roles,month_08,UpNY-Coned,744,744,9.91475584773,103.14068919,287.570538213,61.0112697565,0
reference_NY46__paper_roles,month_08,Dun/SPR-South,744,744,12.809764236,147.238650898,410.521768055,-25.7021473674,0
reference_NY46__paper_roles,month_08,ALL_SEVEN_POOLED,744,5208,10.9283807223,86.7262979404,241.804940144,-0.385586728542,211
reference_NY46__paper_roles,month_09,Dysinger East,720,720,21.4141309886,46.2082997926,128.835144943,19.131472747,2
reference_NY46__paper_roles,month_09,West Central,720,720,57.9407708296,51.3840443023,143.265838067,32.7700261239,111
reference_NY46__paper_roles,month_09,Total East,720,720,7.37310853965,101.579241887,283.217006695,96.2789330312,0
reference_NY46__paper_roles,month_09,Moses South,720,720,4.41277339243,31.7580110505,88.5457369165,3.12199908715,0
reference_NY46__paper_roles,month_09,Central East,720,720,8.61298272375,66.9452317421,186.652585649,-45.1951363013,0
reference_NY46__paper_roles,month_09,UpNY-Coned,720,720,10.8943995651,100.8948906,281.308940445,57.1857839372,0
reference_NY46__paper_roles,month_09,Dun/SPR-South,720,720,11.0488914709,122.191905105,340.687968952,32.4696761441,0
reference_NY46__paper_roles,month_09,ALL_SEVEN_POOLED,720,5040,9.99706210389,74.4230892113,207.50188881,27.9661078242,113
reference_NY46__paper_roles,month_10,Dysinger East,744,744,36.0941695883,78.8570505322,219.864387582,-0.258135371041,9
reference_NY46__paper_roles,month_10,West Central,744,744,92.0417557985,81.1639375545,226.296308367,12.1494717089,170
reference_NY46__paper_roles,month_10,Total East,744,744,6.9224932524,84.5474142258,235.729910324,70.8462080718,0
reference_NY46__paper_roles,month_10,Moses South,744,744,14.7436614173,65.6435581038,183.023339115,41.407183102,0
reference_NY46__paper_roles,month_10,Central East,744,744,10.391346636,69.9548742111,195.043886032,12.5368487903,0
reference_NY46__paper_roles,month_10,UpNY-Coned,744,744,12.0342258215,88.915513196,247.908775733,4.85202090826,0
reference_NY46__paper_roles,month_10,Dun/SPR-South,744,744,10.9652331406,109.095780672,304.174158726,16.6643244945,0
reference_NY46__paper_roles,month_10,ALL_SEVEN_POOLED,744,5208,13.1997624374,82.5968754994,230.291537983,22.5997031007,179
reference_NY46__paper_roles,month_11,Dysinger East,720,720,28.7280114583,63.5546040655,177.199045698,54.3914737204,22
reference_NY46__paper_roles,month_11,West Central,720,720,83.2280321018,73.4846633491,204.885427427,67.4847972284,169
reference_NY46__paper_roles,month_11,Total East,720,720,10.4655563677,128.712704393,358.868861243,127.598853703,0
reference_NY46__paper_roles,month_11,Moses South,720,720,8.24879305809,47.8932550563,133.533033777,28.9690001705,0
reference_NY46__paper_roles,month_11,Central East,720,720,10.9866306189,76.3354171399,212.83372415,67.9280833696,0
reference_NY46__paper_roles,month_11,UpNY-Coned,720,720,8.0269605808,55.7517725633,155.443669887,5.36997087909,0
reference_NY46__paper_roles,month_11,Dun/SPR-South,720,720,5.37500961203,46.8109883592,130.515524208,30.8709953762,0
reference_NY46__paper_roles,month_11,ALL_SEVEN_POOLED,720,5040,11.2446142348,70.363343561,196.182755198,54.6590249211,191
reference_NY46__paper_roles,month_12,Dysinger East,744,744,19.546787278,68.144068727,189.995109339,21.2705730904,0
reference_NY46__paper_roles,month_12,West Central,744,744,45.1378711704,73.3340061899,204.465374384,34.6534179004,83
reference_NY46__paper_roles,month_12,Total East,744,744,7.45800143669,106.711528103,297.526532073,84.2084463477,0
reference_NY46__paper_roles,month_12,Moses South,744,744,13.0325510152,73.2888848776,204.33956991,57.9018132205,0
reference_NY46__paper_roles,month_12,Central East,744,744,6.66979831834,54.0653761369,150.741762892,40.7682414228,0
reference_NY46__paper_roles,month_12,UpNY-Coned,744,744,8.60465629407,66.9085709012,186.550370143,28.8625727776,0
reference_NY46__paper_roles,month_12,Dun/SPR-South,744,744,6.3758682777,56.1496551808,156.553021777,-0.644040077611,0
reference_NY46__paper_roles,month_12,ALL_SEVEN_POOLED,744,5208,10.0259477619,71.2288700167,198.595962931,38.1458606688,83
compact51__paper_roles,annual,Dysinger East,8760,8760,22.4943225404,75.2897116067,209.918152174,18.6236247592,77
compact51__paper_roles,annual,West Central,8760,8760,46.805804317,78.3545957731,218.463474066,30.3542888342,1006
compact51__paper_roles,annual,Total East,8760,8760,7.23527544919,102.76641187,286.527001166,71.8744016045,0
compact51__paper_roles,annual,Moses South,8760,8760,8.99293495462,54.7683265248,152.701686013,37.6401924834,9
compact51__paper_roles,annual,Central East,8760,8760,49.2340601303,388.376726112,1082.84814688,388.376726112,0
compact51__paper_roles,annual,UpNY-Coned,8760,8760,10.5525079437,92.070345415,256.704885264,-54.7347933992,0
compact51__paper_roles,annual,Dun/SPR-South,8760,8760,11.0184840774,108.747999871,303.204497645,-22.317518522,0
compact51__paper_roles,annual,ALL_SEVEN_POOLED,8760,61320,17.3825082503,128.624873882,358.623977602,67.1167031246,1092
compact51__paper_roles,month_01,Dysinger East,744,744,19.0310067314,98.7418390513,275.305934285,-28.9085418448,1
compact51__paper_roles,month_01,West Central,744,744,32.2663342895,98.7707426058,275.386521401,-18.5733544378,8
compact51__paper_roles,month_01,Total East,744,744,5.11501556871,85.1334940032,237.363981982,4.41175293034,0
compact51__paper_roles,month_01,Moses South,744,744,16.8091372734,92.9186542905,259.070087996,82.5496121862,9
compact51__paper_roles,month_01,Central East,744,744,49.7498123837,444.366541169,1238.95551224,444.366541169,0
compact51__paper_roles,month_01,UpNY-Coned,744,744,9.89555307697,72.1126061161,201.059941675,-21.1285347504,0
compact51__paper_roles,month_01,Dun/SPR-South,744,744,10.37361429,88.8382326046,247.693306732,61.3584326387,0
compact51__paper_roles,month_01,ALL_SEVEN_POOLED,744,5208,17.7681392245,140.126015691,390.690755187,74.8679868415,18
compact51__paper_roles,month_02,Dysinger East,672,672,16.999638052,60.6827721437,169.191980224,26.3615513048,0
compact51__paper_roles,month_02,West Central,672,672,40.1434507987,65.2030835742,181.795235071,36.1097555045,57
