experiment,timestamp,network,inputs,pooled_error_pct,worst_interface_error_pct,wrong_direction_interfaces,additional_slack_mw,input_total_imbalance_mw,observations_used_in_dispatch,Dysinger East_error_pct,West Central_error_pct,Total East_error_pct,Moses South_error_pct,Central East_error_pct,UpNY-Coned_error_pct,Dun/SPR-South_error_pct
C,2019-07-20 16:00:00,compact51,NYgrid_bus_inputs_and_solved_slack,23.0539240121,113.749777289,0,1.14823706099e-11,-6.93489710102e-12,False,19.7733134222,113.749777289,19.6440468897,8.30332512156,65.588154042,4.9099671425,18.2439220646
D,2019-07-20 16:00:00,compact51,current_sources_plus_H_at74,19.417076758,40.714318526,0,-10.5251223349,10.5251223349,False,0.563917166654,7.2820865064,7.92896352163,27.2291909903,40.714318526,9.25972330193,36.4227948336
C_marcy,2019-07-20 16:00:00,compact51_marcy,NYgrid_bus_inputs_and_solved_slack,16.8355034363,113.749777289,0,4.43378667114e-12,-6.93489710102e-12,False,19.7733134222,113.749777289,19.6440468897,8.30332512156,6.09226254485,15.0180200171,18.2439220646
D_marcy,2019-07-20 16:00:00,compact51_marcy,current_sources_plus_H_at74,17.4341972352,36.4227948336,0,-10.5251223349,10.5251223349,False,0.563917166654,7.2820865064,7.92896352163,27.2291909903,12.0899809847,19.0333218349,36.4227948336
A,2019-07-27 02:00:00,reference_NY46,NYgrid_bus_inputs_and_solved_slack,18.8639973644,51.6343276208,0,-4.54747350886e-13,-3.55093732196e-12,False,35.8610768978,51.6343276208,23.3750990043,37.6556381589,30.5857404191,2.14207550722,4.80648858593
B,2019-07-27 02:00:00,reference_NY46,current_sources_plus_H_at74_compact_port_equivalent,26.867851215,86.1362192873,0,-2.29095496463,2.29095496462,False,4.11080175388,6.77210772111,12.4211296504,86.1362192873,38.5269429569,0.424361580871,53.9313415857
C,2019-07-27 02:00:00,compact51,NYgrid_bus_inputs_and_solved_slack,22.8419426461,51.6343276208,0,6.02540239925e-12,-3.32534000336e-12,False,35.8610768978,51.6343276208,23.3750990043,37.6556381589,36.1826139366,12.4704768505,9.04124314961
D,2019-07-27 02:00:00,compact51,current_sources_plus_H_at74,22.9428644338,86.1362192873,0,-2.29095496462,2.29095496462,False,4.11080175388,6.7721077211,12.4211296504,86.1362192873,14.0928297104,12.3241593271,41.2122766208
C_marcy,2019-07-27 02:00:00,compact51_marcy,NYgrid_bus_inputs_and_solved_slack,23.1966223816,51.6343276208,0,2.27373675443e-12,-3.32534000336e-12,False,35.8610768978,51.6343276208,23.3750990043,37.6556381589,23.4802674718,22.3411175238,9.04124314961
D_marcy,2019-07-27 02:00:00,compact51_marcy,current_sources_plus_H_at74,27.9544355646,86.1362192873,0,-2.29095496463,2.29095496462,False,4.11080175388,6.77210772111,12.4211296504,86.1362192873,36.6929323382,21.4923351754,41.2122766208
