bus_a,bus_b,source_active_count,compact_active_count,source_branch_rows,compact_keys,source_sum_reciprocal_tap_x_pu,compact_sum_reciprocal_tap_x_pu,same_pair_DC_susceptance,source_x_values,compact_x_values,source_any_phase_shift,compact_any_phase_shift,scope
51,53,1,1,30,NPCC_S7:BRANCH_ROW:56,4.62748727441,4.62748727441,True,0.2161,0.2161,False,False,parallel_pair_only_not_whole_network_transfer_identity
51,72,1,1,31,NPCC_S7:BRANCH_ROW:57,43.1034482758621,43.1034482758621,True,0.0232,0.0232,False,False,parallel_pair_only_not_whole_network_transfer_identity
52,53,1,1,32,NPCC_S7:BRANCH_ROW:58,25.7731958762887,25.7731958762887,True,0.0388,0.0388,False,False,parallel_pair_only_not_whole_network_transfer_identity
52,54,1,1,35,NPCC_S7:BRANCH_ROW:222,42.9184549356223,42.9184549356223,True,0.0233,0.0233,False,False,parallel_pair_only_not_whole_network_transfer_identity
53,55,1,1,33,NPCC_S7:BRANCH_ROW:59,9.34579439252336,9.34579439252336,True,0.107,0.107,False,False,parallel_pair_only_not_whole_network_transfer_identity
53,65,1,1,34,NPCC_S7:BRANCH_ROW:60,12.5,12.5,True,0.08,0.08,False,False,parallel_pair_only_not_whole_network_transfer_identity
54,55,1,1,36,NPCC_S7:BRANCH_ROW:223,76.9230769230769,76.9230769230769,True,0.013,0.013,False,False,parallel_pair_only_not_whole_network_transfer_identity
54,56,1,1,37,NPCC_S7:BRANCH_ROW:61,125,125,True,0.008,0.008,False,False,parallel_pair_only_not_whole_network_transfer_identity
54,62,1,1,38,NPCC_S7:BRANCH_ROW:62,14.4927536231884,14.4927536231884,True,0.069,0.069,False,False,parallel_pair_only_not_whole_network_transfer_identity
55,57,1,1,41,NPCC_S7:BRANCH_ROW:65,25,25,True,0.04,0.04,False,False,parallel_pair_only_not_whole_network_transfer_identity
55,59,1,1,42,NPCC_S7:BRANCH_ROW:66,12.2399020807834,12.2399020807834,True,0.0817,0.0817,False,False,parallel_pair_only_not_whole_network_transfer_identity
56,57,1,1,43,NPCC_S7:BRANCH_ROW:224,7.04225352112676,7.04225352112676,True,0.142,0.142,False,False,parallel_pair_only_not_whole_network_transfer_identity
56,58,1,1,44,NPCC_S7:BRANCH_ROW:67,66.6666666666667,66.6666666666667,True,0.015,0.015,False,False,parallel_pair_only_not_whole_network_transfer_identity
57,59,1,1,45,NPCC_S7:BRANCH_ROW:68,14.7058823529412,14.7058823529412,True,0.068,0.068,False,False,parallel_pair_only_not_whole_network_transfer_identity
58,59,1,1,46,NPCC_S7:BRANCH_ROW:225,107.52688172043,107.52688172043,True,0.0093,0.0093,False,False,parallel_pair_only_not_whole_network_transfer_identity
58,60,1,1,47,NPCC_S7:BRANCH_ROW:69,29.0697674418605,29.0697674418605,True,0.0344,0.0344,False,False,parallel_pair_only_not_whole_network_transfer_identity
58,62,1,1,48,NPCC_S7:BRANCH_ROW:70,55.5555555555556,55.5555555555556,True,0.018,0.018,False,False,parallel_pair_only_not_whole_network_transfer_identity
59,61,1,1,49,NPCC_S7:BRANCH_ROW:71,6.99300699300699,6.99300699300699,True,0.143,0.143,False,False,parallel_pair_only_not_whole_network_transfer_identity
60,61,1,1,50,NPCC_S7:BRANCH_ROW:226,15.625,15.625,True,0.064,0.064,False,False,parallel_pair_only_not_whole_network_transfer_identity
62,63,1,1,51,NPCC_S7:BRANCH_ROW:73,12.453300124533,12.453300124533,True,0.0803,0.0803,False,False,parallel_pair_only_not_whole_network_transfer_identity
63,64,1,1,52,NPCC_S7:BRANCH_ROW:74,21.7391304347826,21.7391304347826,True,0.046,0.046,False,False,parallel_pair_only_not_whole_network_transfer_identity
63,67,1,1,53,NPCC_S7:BRANCH_ROW:75,10.752688172043,10.752688172043,True,0.093,0.093,False,False,parallel_pair_only_not_whole_network_transfer_identity
64,65,1,1,54,NPCC_S7:BRANCH_ROW:76,12.5,12.5,True,0.08,0.08,False,False,parallel_pair_only_not_whole_network_transfer_identity
64,68,1,1,55,NPCC_S7:BRANCH_ROW:77,4.32900432900433,4.32900432900433,True,0.231,0.231,False,False,parallel_pair_only_not_whole_network_transfer_identity
66,67,1,1,56,NPCC_S7:BRANCH_ROW:78,43.2900432900433,43.2900432900433,True,0.0231,0.0231,False,False,parallel_pair_only_not_whole_network_transfer_identity
66,69,1,1,57,NPCC_S7:BRANCH_ROW:79,36.4963503649635,36.4963503649635,True,0.0274,0.0274,False,False,parallel_pair_only_not_whole_network_transfer_identity
67,68,1,1,59,NPCC_S7:BRANCH_ROW:81,20.4081632653061,20.4081632653061,True,0.049,0.049,False,False,parallel_pair_only_not_whole_network_transfer_identity
67,70,1,1,60,NPCC_S7:BRANCH_ROW:82,16.1550888529887,16.1550888529887,True,0.0619,0.0619,False,False,parallel_pair_only_not_whole_network_transfer_identity
68,71,1,1,62,NPCC_S7:BRANCH_ROW:84,4.8828125,4.8828125,True,0.2048,0.2048,False,False,parallel_pair_only_not_whole_network_transfer_identity
69,71,1,1,63,NPCC_S7:BRANCH_ROW:85,26.6666666666667,26.6666666666667,True,0.0375,0.0375,False,False,parallel_pair_only_not_whole_network_transfer_identity
