eliminated_bus,retained_bus,injection_weight,basis,measured_terminal_allocation
9001,39,0.416666666667,exact_compact_DC_Kron_injection_map,False
9001,73,0.583333333333,exact_compact_DC_Kron_injection_map,False
9002,73,0.476210981239,exact_compact_DC_Kron_injection_map,False
9002,74,0.523789018761,exact_compact_DC_Kron_injection_map,False
9003,78,0.5,exact_compact_DC_Kron_injection_map,False
9003,80,0.5,exact_compact_DC_Kron_injection_map,False
858,73,0.777389667026,exact_compact_DC_Kron_injection_map,False
858,74,0.222610332974,exact_compact_DC_Kron_injection_map,False
774,76,0.66217870257,exact_compact_DC_Kron_injection_map,False
774,77,0.33782129743,exact_compact_DC_Kron_injection_map,False
