interface_name,nygrid_role_member_count,current_partition_member_count,same_compact_operator,only_nygrid_role_keys,only_current_partition_keys,coefficient_changed_keys,correction_type,targets_used
Dysinger East,4,3,False,NPCC_S7:BRANCH_ROW:62;NPCC_S7:BRANCH_ROW:70,NPCC_S7:BRANCH_ROW:73,,measurement_harmonization_same_electrical_state,False
West Central,4,4,True,,,,measurement_harmonization_same_electrical_state,False
Total East,5,4,False,NPCC_S7:BRANCH_ROW:234;NPCC_S7:BRANCH_ROW:33,NPCC_S7:BRANCH_ROW:37,,measurement_harmonization_same_electrical_state,False
Moses South,3,2,False,NPCC_S7:BRANCH_ROW:52;NPCC_S7:BRANCH_ROW:53,NPCC_S7:BRANCH_ROW:48,,measurement_harmonization_same_electrical_state,False
Central East,4,3,False,NPCC_S7:BRANCH_ROW:33,,,measurement_harmonization_same_electrical_state,False
UpNY-Coned,3,6,False,NPCC_S7:BRANCH_ROW:90;PERFORM2019:AC:897:902:1;PERFORM2019:AC:897:902:2,PERFORM2019:AC:651:858:1;PERFORM2019:AC:651:858:2;PERFORM2019:AC:651:902:1;PERFORM2019:AC:651:902:2;PERFORM2019:AC:774:900:1;PERFORM2019:AC:900:1519:1,,measurement_harmonization_same_electrical_state,False
Dun/SPR-South,4,6,False,,NPCC_S7:BRANCH_ROW:240;NPCC_S7:BRANCH_ROW:95,,measurement_harmonization_same_electrical_state,False
