network,buses,branch_records,active_branches,positive_rated_branches,max_nodal_residual_mw,max_additional_slack_mw,hours_with_positive_rate_exceedance,max_positive_rate_exceedance_benchmark_mw,ac_qualified,dlr_qualified
reference_NY46,46,67,67,0,6.4517280407e-12,3.86535248253e-12,0,0,False,False
compact51,51,92,87,87,4.71800376545e-12,1.31876731757e-11,4,37.0920483733,False,False
compact51_marcy,51,94,89,87,4.17088585891e-12,7.16227077646e-12,4,37.0920483733,False,False
