branch_key,compact_branch_row,from_bus,to_bus,status,r_pu,x_pu,b_pu,classification,paper_role_cuts_crossed,same_endpoint_as_paper_Marcy_addition,recommendation,physical_functional_overlap_proven
NPCC_S7:BRANCH_ROW:234,69,38,39,1,0.00131,0.01997,0.51614,new_compact_path_with_no_identical_source_edge,Total East,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:235,70,73,9002,0,0.000405,0.006185,0.63943,retired_record_not_active_overlap,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:236,71,9002,74,0,0.000185,0.002815,0.29107,retired_record_not_active_overlap,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:237,72,74,78,1,0.0009,0.015,0,additional_parallel_path_at_existing_source_endpoints,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:238,73,77,78,1,0.0012,0.02,0,new_compact_path_with_no_identical_source_edge,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:239,74,78,81,1,0.00072,0.012,0,additional_parallel_path_at_existing_source_endpoints,Dun/SPR-South,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:240,75,78,79,1,0.0006,0.01,0,additional_parallel_path_at_existing_source_endpoints,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:241,76,78,82,1,0.0006,0.01,0,additional_parallel_path_at_existing_source_endpoints,Dun/SPR-South,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:242,77,78,9003,1,0.0012,0.02,0,new_compact_path_with_no_identical_source_edge,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:243,78,9003,80,1,0.0012,0.02,0,new_compact_path_with_no_identical_source_edge,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:244,79,81,80,1,0.0018,0.03,0,new_compact_path_with_no_identical_source_edge,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:245,80,39,9001,1,0.0021,0.035,0,new_compact_path_with_no_identical_source_edge,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
NPCC_S7:BRANCH_ROW:246,81,9001,73,1,0.0015,0.025,0,new_compact_path_with_no_identical_source_edge,,False,retain_primary;remove_only_in_separate_registered_hypothesis_with_zero_transit_components_handled,False
