experiment,timestamp,interface,observed_benchmark_mw,predicted_benchmark_mw,absolute_error_benchmark_mw,absolute_error_pct
paper_J_only_hydro_boundary_load,2019-07-20 16:00:00,Moses South,777.576945687,842.141687558,64.5647418707,8.30332512156
paper_J_only_hydro_boundary_load,2019-07-20 16:00:00,Central East,860.666016289,913.100049636,52.4340333466,6.09226254485
paper_J_only_hydro_boundary_load,2019-07-20 16:00:00,UpNY-Coned,1268.28591133,1077.81447929,190.471432038,15.0180200171
paper_J_only_hydro_boundary_load,2019-07-20 16:00:00,Dun/SPR-South,1052.43719032,860.431369539,192.005820781,18.2439220646
thermal_residual_statewide_normalization,2019-07-20 16:00:00,Dysinger East,531.279457107,656.946702569,125.667245461,23.6536993442
thermal_residual_statewide_normalization,2019-07-20 16:00:00,West Central,110.691991361,258.987269012,148.29527765,133.971099288
thermal_residual_statewide_normalization,2019-07-20 16:00:00,Total East,1572.04329557,1932.29601822,360.252722653,22.9162087118
thermal_residual_statewide_normalization,2019-07-20 16:00:00,Moses South,777.576945687,842.141687558,64.5647418707,8.30332512156
thermal_residual_statewide_normalization,2019-07-20 16:00:00,Central East,860.666016289,912.07432027,51.408303981,5.97308398473
thermal_residual_statewide_normalization,2019-07-20 16:00:00,UpNY-Coned,1268.28591133,1196.6517717,71.6341396278,5.64810654979
thermal_residual_statewide_normalization,2019-07-20 16:00:00,Dun/SPR-South,1052.43719032,1051.15051005,1.28668026726,0.122257202529
current_boundary_only,2019-07-20 16:00:00,Dysinger East,531.279457107,668.049883791,136.770426683,25.7435940452
current_boundary_only,2019-07-20 16:00:00,West Central,110.691991361,268.322759493,157.630768132,142.404853498
current_boundary_only,2019-07-20 16:00:00,Total East,1572.04329557,1604.8706169,32.8273213372,2.08819448102
current_boundary_only,2019-07-20 16:00:00,Moses South,777.576945687,810.312979667,32.7360339798,4.21000573144
current_boundary_only,2019-07-20 16:00:00,Central East,860.666016289,807.082019398,53.5839968912,6.22587576099
current_boundary_only,2019-07-20 16:00:00,UpNY-Coned,1268.28591133,995.36617575,272.919735579,21.518786351
current_boundary_only,2019-07-20 16:00:00,Dun/SPR-South,1052.43719032,702.101623191,350.335567129,33.2880261503
current_within_zone_gross_load_placement,2019-07-20 16:00:00,Dysinger East,531.279457107,636.331009309,105.051552202,19.7733134222
current_within_zone_gross_load_placement,2019-07-20 16:00:00,West Central,110.691991361,236.603885011,125.91189365,113.749777289
current_within_zone_gross_load_placement,2019-07-20 16:00:00,Total East,1572.04329557,1880.85621767,308.812922107,19.6440468897
current_within_zone_gross_load_placement,2019-07-20 16:00:00,Moses South,777.576945687,999.172468453,221.595522766,28.4982115269
current_within_zone_gross_load_placement,2019-07-20 16:00:00,Central East,860.666016289,942.101501001,81.4354847123,9.46191474638
current_within_zone_gross_load_placement,2019-07-20 16:00:00,UpNY-Coned,1268.28591133,1048.224631,220.061280331,17.3510782044
current_within_zone_gross_load_placement,2019-07-20 16:00:00,Dun/SPR-South,1052.43719032,-250.875088535,1303.31227886,123.837535469
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,Dysinger East,531.279457107,525.054702947,6.22475415995,1.17165346348
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,West Central,110.691991361,111.643875739,0.951884377423,0.859939699084
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,Total East,1572.04329557,1781.57950714,209.536211576,13.3289084446
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,Moses South,777.576945687,508.184807155,269.392138532,34.6450778956
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,Central East,860.666016289,808.708922941,51.9570933476,6.03684732106
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,UpNY-Coned,1268.28591133,1079.68426802,188.601643309,14.8705935802
current_hydro_spatial_rule_fixed_paper_total,2019-07-20 16:00:00,Dun/SPR-South,1052.43719032,860.431369539,192.005820781,18.2439220646
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,Dysinger East,365.865059523,234.661909185,131.203150338,35.8610768978
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,West Central,223.6970322,108.192573716,115.504458484,51.6343276208
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,Total East,823.885986776,1016.47015187,192.584165092,23.3750990043
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,Moses South,237.980755326,327.593927439,89.6131721134,37.6556381589
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,Central East,550.691774162,421.387872644,129.303901518,23.4802674718
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,UpNY-Coned,854.051871012,663.247138795,190.804732217,22.3411175238
paper_J_only_hydro_boundary_load,2019-07-27 02:00:00,Dun/SPR-South,989.622306699,900.148147687,89.4741590114,9.04124314961
thermal_residual_statewide_normalization,2019-07-27 02:00:00,Dysinger East,365.865059523,239.600517793,126.264541729,34.5112326097
thermal_residual_statewide_normalization,2019-07-27 02:00:00,West Central,223.6970322,113.131182324,110.565849876,49.4266056141
thermal_residual_statewide_normalization,2019-07-27 02:00:00,Total East,823.885986776,1023.68811829,199.802131519,24.2511870242
thermal_residual_statewide_normalization,2019-07-27 02:00:00,Moses South,237.980755326,327.593927439,89.6131721134,37.6556381589
thermal_residual_statewide_normalization,2019-07-27 02:00:00,Central East,550.691774162,398.97626642,151.715507742,27.549986192
thermal_residual_statewide_normalization,2019-07-27 02:00:00,UpNY-Coned,854.051871012,736.933310241,117.118560771,13.7132842566
thermal_residual_statewide_normalization,2019-07-27 02:00:00,Dun/SPR-South,989.622306699,1006.79832065,17.1760139536,1.73561305534
current_boundary_only,2019-07-27 02:00:00,Dysinger East,365.865059523,308.899518155,56.9655413677,15.570096101
current_boundary_only,2019-07-27 02:00:00,West Central,223.6970322,182.430182686,41.2668495143,18.4476517674
current_boundary_only,2019-07-27 02:00:00,Total East,823.885986776,834.874891283,10.9889045069,1.33378946642
current_boundary_only,2019-07-27 02:00:00,Moses South,237.980755326,253.356318469,15.3755631435,6.46084307214
current_boundary_only,2019-07-27 02:00:00,Central East,550.691774162,355.895411539,194.796362623,35.3730292993
current_boundary_only,2019-07-27 02:00:00,UpNY-Coned,854.051871012,638.640192332,215.41167868,25.2223179869
current_boundary_only,2019-07-27 02:00:00,Dun/SPR-South,989.622306699,796.875486956,192.746819742,19.4768062965
current_within_zone_gross_load_placement,2019-07-27 02:00:00,Dysinger East,365.865059523,234.661909185,131.203150338,35.8610768978
current_within_zone_gross_load_placement,2019-07-27 02:00:00,West Central,223.6970322,108.192573716,115.504458484,51.6343276208
current_within_zone_gross_load_placement,2019-07-27 02:00:00,Total East,823.885986776,1016.47015187,192.584165092,23.3750990043
current_within_zone_gross_load_placement,2019-07-27 02:00:00,Moses South,237.980755326,453.536206861,215.555451535,90.5768414928
current_within_zone_gross_load_placement,2019-07-27 02:00:00,Central East,550.691774162,434.842980216,115.848793946,21.0369574019
current_within_zone_gross_load_placement,2019-07-27 02:00:00,UpNY-Coned,854.051871012,649.71058692,204.341284091,23.9260975858
current_within_zone_gross_load_placement,2019-07-27 02:00:00,Dun/SPR-South,989.622306699,168.932299426,820.690007273,82.9296188776
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,Dysinger East,365.865059523,328.627743052,37.2373164703,10.1778826649
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,West Central,223.6970322,189.667173189,34.0298590113,15.2124767488
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,Total East,823.885986776,1019.85937588,195.973389101,23.7864695172
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,Moses South,237.980755326,-3.36089269723,241.341648023,101.412253984
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,Central East,550.691774162,411.642434156,139.049340006,25.2499395361
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,UpNY-Coned,854.051871012,663.928209428,190.123661583,22.2613717078
current_hydro_spatial_rule_fixed_paper_total,2019-07-27 02:00:00,Dun/SPR-South,989.622306699,900.148147687,89.4741590114,9.04124314961
