branch_key,temperature_c,independent_PF_equilibrium_c,heat_residual_w_m,temperature_limit_c,passed
PERFORM2019:AC:651:858:1,8.44883159348696,8.44478097515981,-0.00909419648840237,75,1
PERFORM2019:AC:651:858:2,8.44883159348696,8.44478097515981,-0.00909419648840237,75,1
PERFORM2019:AC:651:902:1,8.44466686572327,8.44061549618069,-0.00909599903317027,75,1
PERFORM2019:AC:651:902:2,8.44466686572327,8.44061549618069,-0.00909599903317027,75,1
PERFORM2019:AC:858:902:1,8.42362892608638,8.41957590962512,-0.00910028270203189,75,1
PERFORM2019:AC:858:902:2,8.42362892608638,8.41957590962512,-0.00910028270203189,75,1
PERFORM2019:AC:897:902:1,15.6536574999622,15.650077095769,-0.00787100206546132,75,1
PERFORM2019:AC:897:902:2,15.6536574999622,15.650077095769,-0.00787100206546132,75,1
PERFORM2019:AC:774:1519:1,6.52568502602523,6.52150529806219,-0.00944013572004587,75,1
PERFORM2019:AC:774:900:1,6.51766941954887,6.51348919583989,-0.00944149262983729,75,1
PERFORM2019:AC:900:1519:1,6.51236587575824,6.50818534247709,-0.00944234883090134,75,1
NY2025:CEEC:351,6.95281893756109,6.94867277570646,-0.00935182766340603,75,1
NY2025:CEEC:352,6.95281893756109,6.94867277570646,-0.00935182766340603,75,1
NY2025:CEEC:361,8.06229616023528,8.05822973904514,-0.00914050927521837,75,1
NY2025:CEEC:362,8.06229616023528,8.05822973904514,-0.00914050927521837,75,1
NY2025:CEEC:14,6.72066966927233,6.71650726991354,-0.00939526053418294,75,1
NY2025:CEEC:371,7.10833087103145,7.10419783851793,-0.00931769869156762,75,1
NY2025:NYES:1,6.6683907346699,6.66422287764536,-0.00940911814437984,75,1
NY2025:NYES:2,6.66989892022549,6.66573112819194,-0.00940892702098106,75,1
NY2025:SMART_PATH:1,23.1063371331748,23.1033128403382,-0.00618913826964373,75,1
NY2025:SMART_PATH:2,23.0962959833427,23.093271037259,-0.00619063419380605,75,1
NY2025:SMART_PATH:3,22.8953818607945,22.8924108603898,-0.00608336329468173,75,1
NY2025:SMART_PATH:4,22.8953818607945,22.8924108603898,-0.00608336329468173,75,1
