Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
04/09/2025 00:00,CENTRAL EAST - VC,23330,1239.45,2585,-9999
04/09/2025 00:00,DYSINGER EAST,23326,595.58,2700,-9999
04/09/2025 00:00,MOSES SOUTH,23319,-12.41,2650,-1600
04/09/2025 00:00,SCH - HQ - NY,23324,-427,1020,-490
04/09/2025 00:00,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-427,1310,-9999
04/09/2025 00:00,SCH - NE - NY,23318,-1113.58,1100,-1800
04/09/2025 00:00,SCH - NPX_1385,325277,28,160,-160
04/09/2025 00:00,SCH - NPX_CSC,325154,205,330,-330
04/09/2025 00:00,SCH - OH - NY,23317,977.88,2100,-1750
04/09/2025 00:00,SCH - PJ - NY,23316,529.32,2400,-2400
04/09/2025 00:00,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:00,SCH - PJM_NEPTUNE,325305,605,660,-660
04/09/2025 00:00,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:00,SPR/DUN-SOUTH,23320,2001.95,4600,-9999
04/09/2025 00:00,TOTAL EAST,23314,2175.9,7550,-9999
04/09/2025 00:00,UPNY CONED,23315,2876.75,6615,-9999
04/09/2025 00:00,WEST CENTRAL,23312,218.98,9999,-9999
04/09/2025 00:05,CENTRAL EAST - VC,23330,1417.2,2585,-9999
04/09/2025 00:05,DYSINGER EAST,23326,799.68,2700,-9999
04/09/2025 00:05,MOSES SOUTH,23319,-6.04,2650,-1600
04/09/2025 00:05,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:05,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:05,SCH - NE - NY,23318,-1237.87,1100,-1800
04/09/2025 00:05,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:05,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:05,SCH - OH - NY,23317,1146.92,2100,-1750
04/09/2025 00:05,SCH - PJ - NY,23316,643.34,2400,-2400
04/09/2025 00:05,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:05,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:05,SPR/DUN-SOUTH,23320,1976.13,4600,-9999
04/09/2025 00:05,TOTAL EAST,23314,2468.08,7550,-9999
04/09/2025 00:05,UPNY CONED,23315,2945.76,6615,-9999
04/09/2025 00:05,WEST CENTRAL,23312,423.52,9999,-9999
04/09/2025 00:10,CENTRAL EAST - VC,23330,1365.32,2585,-9999
04/09/2025 00:10,DYSINGER EAST,23326,662.52,2700,-9999
04/09/2025 00:10,MOSES SOUTH,23319,-35.19,2650,-1600
04/09/2025 00:10,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:10,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:10,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:10,SCH - NE - NY,23318,-1236.38,1100,-1800
04/09/2025 00:10,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:10,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:10,SCH - OH - NY,23317,1146.85,2100,-1750
04/09/2025 00:10,SCH - PJ - NY,23316,641.25,2400,-2400
04/09/2025 00:10,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:10,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:10,SPR/DUN-SOUTH,23320,1937.23,4600,-9999
04/09/2025 00:10,TOTAL EAST,23314,2474.4,7550,-9999
04/09/2025 00:10,UPNY CONED,23315,2906.54,6615,-9999
04/09/2025 00:10,WEST CENTRAL,23312,291.89,9999,-9999
04/09/2025 00:15,CENTRAL EAST - VC,23330,1293.53,2585,-9999
04/09/2025 00:15,DYSINGER EAST,23326,562.4,2700,-9999
04/09/2025 00:15,MOSES SOUTH,23319,40.14,2650,-1600
04/09/2025 00:15,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:15,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:15,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:15,SCH - NE - NY,23318,-1236.43,1100,-1800
04/09/2025 00:15,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:15,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:15,SCH - OH - NY,23317,1146.76,2100,-1750
04/09/2025 00:15,SCH - PJ - NY,23316,641.09,2400,-2400
04/09/2025 00:15,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:15,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:15,SPR/DUN-SOUTH,23320,1868.86,4600,-9999
04/09/2025 00:15,TOTAL EAST,23314,2518.34,7550,-9999
04/09/2025 00:15,UPNY CONED,23315,2835.03,6615,-9999
04/09/2025 00:15,WEST CENTRAL,23312,197.87,9999,-9999
04/09/2025 00:20,CENTRAL EAST - VC,23330,1322.31,2585,-9999
04/09/2025 00:20,DYSINGER EAST,23326,531.95,2700,-9999
04/09/2025 00:20,MOSES SOUTH,23319,47.93,2650,-1600
04/09/2025 00:20,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:20,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:20,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:20,SCH - NE - NY,23318,-1236.36,1100,-1800
04/09/2025 00:20,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:20,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:20,SCH - OH - NY,23317,1146.75,2100,-1750
04/09/2025 00:20,SCH - PJ - NY,23316,644.4,2400,-2400
04/09/2025 00:20,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:20,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:20,SPR/DUN-SOUTH,23320,1846.06,4600,-9999
04/09/2025 00:20,TOTAL EAST,23314,2518.84,7550,-9999
04/09/2025 00:20,UPNY CONED,23315,2814.27,6615,-9999
04/09/2025 00:20,WEST CENTRAL,23312,169.49,9999,-9999
04/09/2025 00:25,CENTRAL EAST - VC,23330,1384.28,2585,-9999
04/09/2025 00:25,DYSINGER EAST,23326,551.37,2700,-9999
04/09/2025 00:25,MOSES SOUTH,23319,51.65,2650,-1600
04/09/2025 00:25,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:25,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:25,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:25,SCH - NE - NY,23318,-1236.87,1100,-1800
04/09/2025 00:25,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:25,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:25,SCH - OH - NY,23317,1146.74,2100,-1750
04/09/2025 00:25,SCH - PJ - NY,23316,642.76,2400,-2400
04/09/2025 00:25,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:25,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:25,SPR/DUN-SOUTH,23320,1844.45,4600,-9999
04/09/2025 00:25,TOTAL EAST,23314,2579.32,7550,-9999
04/09/2025 00:25,UPNY CONED,23315,2835.85,6615,-9999
04/09/2025 00:25,WEST CENTRAL,23312,190.92,9999,-9999
04/09/2025 00:30,CENTRAL EAST - VC,23330,1401.32,2545,-9999
04/09/2025 00:30,DYSINGER EAST,23326,580.52,2700,-9999
04/09/2025 00:30,MOSES SOUTH,23319,77.52,2650,-1600
04/09/2025 00:30,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:30,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:30,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:30,SCH - NE - NY,23318,-1236.87,1100,-1800
04/09/2025 00:30,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:30,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:30,SCH - OH - NY,23317,1146.68,2100,-1750
04/09/2025 00:30,SCH - PJ - NY,23316,653.88,2400,-2400
04/09/2025 00:30,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:30,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:30,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:30,SPR/DUN-SOUTH,23320,1831.95,4600,-9999
04/09/2025 00:30,TOTAL EAST,23314,2581.61,7550,-9999
04/09/2025 00:30,UPNY CONED,23315,2863.23,6615,-9999
04/09/2025 00:30,WEST CENTRAL,23312,221.84,9999,-9999
04/09/2025 00:35,CENTRAL EAST - VC,23330,1381.06,2545,-9999
04/09/2025 00:35,DYSINGER EAST,23326,525.7,2700,-9999
04/09/2025 00:35,MOSES SOUTH,23319,58.53,2650,-1600
04/09/2025 00:35,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:35,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:35,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:35,SCH - NE - NY,23318,-1236.33,1100,-1800
04/09/2025 00:35,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:35,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:35,SCH - OH - NY,23317,1146.7,2100,-1750
04/09/2025 00:35,SCH - PJ - NY,23316,663,2400,-2400
04/09/2025 00:35,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:35,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:35,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:35,SPR/DUN-SOUTH,23320,1807.44,4600,-9999
04/09/2025 00:35,TOTAL EAST,23314,2589.57,7550,-9999
04/09/2025 00:35,UPNY CONED,23315,2822.22,6615,-9999
04/09/2025 00:35,WEST CENTRAL,23312,168.23,9999,-9999
04/09/2025 00:40,CENTRAL EAST - VC,23330,1311.76,2545,-9999
04/09/2025 00:40,DYSINGER EAST,23326,500.67,2700,-9999
04/09/2025 00:40,MOSES SOUTH,23319,34.2,2650,-1600
04/09/2025 00:40,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:40,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:40,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:40,SCH - NE - NY,23318,-1236.35,1100,-1800
04/09/2025 00:40,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:40,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:40,SCH - OH - NY,23317,1146.71,2100,-1750
04/09/2025 00:40,SCH - PJ - NY,23316,661.11,2400,-2400
04/09/2025 00:40,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:40,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:40,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:40,SPR/DUN-SOUTH,23320,1763.37,4600,-9999
04/09/2025 00:40,TOTAL EAST,23314,2534.51,7550,-9999
04/09/2025 00:40,UPNY CONED,23315,2767.44,6615,-9999
04/09/2025 00:40,WEST CENTRAL,23312,145.05,9999,-9999
04/09/2025 00:45,CENTRAL EAST - VC,23330,1287.87,2545,-9999
04/09/2025 00:45,DYSINGER EAST,23326,520.42,2700,-9999
04/09/2025 00:45,MOSES SOUTH,23319,14.72,2650,-1600
04/09/2025 00:45,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:45,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:45,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:45,SCH - NE - NY,23318,-1236.34,1100,-1800
04/09/2025 00:45,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:45,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:45,SCH - OH - NY,23317,1146.73,2100,-1750
04/09/2025 00:45,SCH - PJ - NY,23316,663.98,2400,-2400
04/09/2025 00:45,SCH - PJM_HTP,325905,230,660,-660
04/09/2025 00:45,SCH - PJM_NEPTUNE,325305,660,660,-660
04/09/2025 00:45,SCH - PJM_VFT,325658,225,315,-315
04/09/2025 00:45,SPR/DUN-SOUTH,23320,1760.11,4600,-9999
04/09/2025 00:45,TOTAL EAST,23314,2491.4,7550,-9999
04/09/2025 00:45,UPNY CONED,23315,2757.55,6615,-9999
04/09/2025 00:45,WEST CENTRAL,23312,165.74,9999,-9999
04/09/2025 00:50,CENTRAL EAST - VC,23330,1302.07,2545,-9999
04/09/2025 00:50,DYSINGER EAST,23326,530.3,2700,-9999
04/09/2025 00:50,MOSES SOUTH,23319,19.38,2650,-1600
04/09/2025 00:50,SCH - HQ - NY,23324,-433,1020,-490
04/09/2025 00:50,SCH - HQ_CEDARS,325274,-100,220,-100
04/09/2025 00:50,SCH - HQ_IMPORT_EXPORT,325376,-433,1310,-9999
04/09/2025 00:50,SCH - NE - NY,23318,-1236.33,1100,-1800
04/09/2025 00:50,SCH - NPX_1385,325277,26,160,-160
04/09/2025 00:50,SCH - NPX_CSC,325154,80,330,-330
04/09/2025 00:50,SCH - OH - NY,23317,1146.7,2100,-1750
04/09/2025 00:50,SCH - PJ - NY,23316,663.17,2400,-2400
