candidate_id,mode,gilboa_leeds_scale,pleasant_wood_scale,wood_millwood_scale,lower_hudson_b_fraction,train_interface_objective,holdout_interface_objective,all_interface_objective,regularization_term,selection_objective,train_pf_success_count,holdout_pf_success_count,all_pf_success_count,max_abs_interface_residual_mw,min_voltage_pu,max_voltage_pu,max_voltage_violation_count,max_branch_overload_count,max_branch_overload_mva,max_generator_p_violation_count,max_generator_q_violation_count,max_external_schedule_error_mw
PERF_GL1_PV1_WM1_B1,perform_scaled,1,1,1,1,0.295784386169856,0.193827454127291,0.489611840297148,0,0.295784386169856,4,2,6,888.552812497361,0.952721175,1.11002238077969,4,1,341.033428002839,0,1,2.8421709430404e-14
CURRENT,current,NaN,NaN,NaN,NaN,0.300341937386296,0.198794258343915,0.499136195730211,NaN,NaN,4,2,6,890.078243142616,0.941945415154406,1.10893337740963,4,1,341.175668823671,0,1,2.8421709430404e-14
