metric_id,metric_group,location,unit,s12_value,s13_value,absolute_error,absolute_percent_error,gate_rule,gating,execution_status,blocked_reason,evidence_policy
standard_pf_success,power_flow,S12_and_S13,flag,NaN,NaN,NaN,NaN,both_equal_1,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
q_limit_pf_success,power_flow,S12_and_S13,flag,NaN,NaN,NaN,NaN,both_equal_1,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
complete_E_G_cut_flow,cut_flow,E_to_G,MW,NaN,NaN,NaN,NaN,absolute_error_le_150_MW_or_15_percent_and_correct_direction,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
complete_E_F_cut_flow,cut_flow,E_to_F,MW,NaN,NaN,NaN,NaN,diagnostic,0,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
E_G_eastbound_share,flow_split,E_F_and_E_G,percent,NaN,NaN,NaN,NaN,absolute_error_le_10_percentage_points,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
internal_NY_active_loss,loss,internal_NY_only,MW,NaN,NaN,NaN,NaN,absolute_percent_error_le_15,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
whole_system_active_loss,loss,model_whole_system_diagnostic,MW,NaN,NaN,NaN,NaN,diagnostic_only_not_cross_model_gate,0,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
net_network_q_absorption,reactive_balance,internal_NY_network,MVAr,NaN,NaN,NaN,NaN,diagnostic,0,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
existing_DLR_current_max_error,current,five_legacy_circuit_operators,percent,NaN,NaN,NaN,NaN,maximum_error_le_15_percent,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
added_physical_branch_overload_count,thermal,seven_Phase1A_branches,count,NaN,NaN,NaN,NaN,equal_0,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_VM_EDIC,terminal_voltage,EDIC,pu,NaN,NaN,NaN,NaN,absolute_error_le_0.02_pu,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_aligned_VA_EDIC,terminal_angle,EDIC,degree,NaN,NaN,NaN,NaN,EDIC_aligned_absolute_error_le_2_deg,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_VM_RAMAPO,terminal_voltage,RAMAPO,pu,NaN,NaN,NaN,NaN,absolute_error_le_0.02_pu,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_aligned_VA_RAMAPO,terminal_angle,RAMAPO,degree,NaN,NaN,NaN,NaN,EDIC_aligned_absolute_error_le_2_deg,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_VM_FRASER,terminal_voltage,FRASER,pu,NaN,NaN,NaN,NaN,absolute_error_le_0.02_pu,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_aligned_VA_FRASER,terminal_angle,FRASER,degree,NaN,NaN,NaN,NaN,EDIC_aligned_absolute_error_le_2_deg,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_VM_COOPERS_CORNER,terminal_voltage,COOPERS CORNER,pu,NaN,NaN,NaN,NaN,absolute_error_le_0.02_pu,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_aligned_VA_COOPERS_CORNER,terminal_angle,COOPERS CORNER,degree,NaN,NaN,NaN,NaN,EDIC_aligned_absolute_error_le_2_deg,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_VM_MARCY,terminal_voltage,MARCY,pu,NaN,NaN,NaN,NaN,absolute_error_le_0.02_pu,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_aligned_VA_MARCY,terminal_angle,MARCY,degree,NaN,NaN,NaN,NaN,EDIC_aligned_absolute_error_le_2_deg,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_VM_ROCK_TAVERN,terminal_voltage,ROCK TAVERN,pu,NaN,NaN,NaN,NaN,absolute_error_le_0.02_pu,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
terminal_aligned_VA_ROCK_TAVERN,terminal_angle,ROCK TAVERN,degree,NaN,NaN,NaN,NaN,EDIC_aligned_absolute_error_le_2_deg,1,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy,not_executed_no_common_baseline
