scenario_id,load_mode,zone_j_total_pmax_mw,device_name,bus_id,bus_name,proxy_interpretation,gen_index,pg_mw,qg_mvar,pmax_mw,fraction_pmax_used
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,0,0,900,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,0,0,900,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,0,0,1200,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,0,0,900,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,0,0,900,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,0,0,1200,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,0,0,900,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,0,0,900,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,0,0,1200,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,0,0,900,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_Q_ONLY_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,0,0,900,0
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,763.691500615126,0,1200,0.636409583845938
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,764.007608901089,0,900,0.848897343223432
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,822.687256538673,0,900,0.914096951709637
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,583.663864742071,0,1200,0.486386553951726
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,585.644234457709,0,900,0.650715816064121
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,628.102525954838,0,900,0.697891695505375
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,714.333940095165,0,1200,0.595278283412638
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,668.66091092892,0,900,0.742956567698799
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,689.80411329372,0,900,0.7664490147708
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,801.531124368552,0,1200,0.66794260364046
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,801.911427090325,0,900,0.891012696767028
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,860.342863939209,0,900,0.95593651548801
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,795.176780995994,0,1200,0.662647317496661
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,796.014619363251,0,900,0.88446068818139
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,850.731948435169,0,900,0.945257720483521
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,32,624.08805042362,0,1200,0.520073375353017
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,33,626.684756406666,0,900,0.696316396007406
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_S1_BOUNDARY,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,34,673.171945931022,0,900,0.747968828812247
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,30,590.548086783031,0,1200,0.492123405652526
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,31,593.931143346924,0,900,0.659923492607693
