scenario_id,variant_id,allocation_mode,tie_mode,s4_reference_opf_success,pf_success,status,note,s4_reference_classic_objective,s4_reference_fixed_objective,classic_interface_objective,fixed_scale_interface_objective,max_abs_interface_residual_mw,reference_gen_index,reference_bus_id,reference_pg_mw,reference_pmax_mw,reference_p_violation_mw,total_load_mw,total_generation_mw,losses_mw,ny_generation_mw,min_voltage_pu,max_voltage_pu,low_voltage_violation_count,high_voltage_violation_count,branch_overload_count,max_branch_overload_mva,max_p_limit_violation_mw,max_q_limit_violation_mvar,total_abs_bus_redispatch_vs_s4_mw
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,1,1,ok,,1.95706815415469,0.561673661389437,0.41332062095256,0.088521188146796,520.12290813967,43,130,1174.8971099808,2487.70936,0,30349.7613567,31076.1426279351,726.381271235121,11268.2908013936,0.9,1.1,0,0,3,331.380275622671,5.6843418860808e-14,0,0
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,1,1,ok,,1.95706815415469,0.561673661389437,0.476603479608925,0.100313018192841,565.130177552694,43,130,1161.20752968001,2487.70936,0,30349.7613567,31062.4530476343,712.691690934334,11268.2908013936,0.9,1.1,0,0,3,302.341651223299,5.6843418860808e-14,0,0
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,1,1,ok,,1.95706815415469,0.561673661389437,0.478851724518873,0.100745272228627,566.585190012937,43,130,1160.24075112658,2487.70936,0,30349.7613567,31061.4862690809,711.724912380902,11268.2908013936,0.9,1.1,0,0,3,301.445313009931,5.6843418860808e-14,0,0
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,1,1,ok,,1.95706815415469,0.561673661389437,0.404811896784652,0.0903673898747925,488.452338268493,43,130,1191.86447364226,2487.70936,0,30349.7613567,31093.1099915966,743.348634896585,11268.2908013936,0.9,1.1,0,0,3,350.203875935611,5.6843418860808e-14,0,2605.44188370601
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,perform,perform_rx,1,1,ok,,1.95706815415469,0.561673661389437,0.474553611404745,0.103906262485925,537.817171892013,43,130,1175.39513537753,2487.70936,0,30349.7613567,31076.6406533319,726.879296631854,11268.2908013936,0.9,1.1,0,0,3,317.499673050256,5.6843418860808e-14,0,2605.44188370601
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rxb,perform,perform_rxb,1,1,ok,,1.95706815415469,0.561673661389437,0.47689525108127,0.104366480920999,539.34703053012,43,130,1174.36341255481,2487.70936,0,30349.7613567,31075.6089305091,725.847573809129,11268.2908013936,0.9,1.1,0,0,3,316.534018313263,5.6843418860808e-14,0,2605.44188370601
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_CAP_GSK__current,perform_cap,current,1,1,ok,,1.95706815415469,0.561673661389437,0.624099408030396,0.154149983709962,548.06049757965,43,130,1184.97440781733,2487.70936,0,30349.7613567,31086.2199257717,736.458569071652,11268.2908013936,0.9,1.1,0,0,3,330.735864724901,5.6843418860808e-14,0,5856.47415881201
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_CAP_GSK__perform_rx,perform_cap,perform_rx,1,1,ok,,1.95706815415469,0.561673661389437,0.726362488246152,0.177947858910075,600.604249943005,43,130,1166.09541803916,2487.70936,0,30349.7613567,31067.3409359935,717.57957929348,11268.2908013936,0.9,1.1,0,0,3,301.664475614383,5.6843418860808e-14,0,5856.47415881201
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_CAP_GSK__perform_rxb,perform_cap,perform_rxb,1,1,ok,,1.95706815415469,0.561673661389437,0.729473158313786,0.178634205747268,602.193929365452,43,130,1165.02865756026,2487.70936,0,30349.7613567,31066.2741755146,716.512818814586,11268.2908013936,0.9,1.1,0,0,3,302.593573357085,5.6843418860808e-14,0,5856.47415881201
S2_2025_WINTER_PEAK_PUBLIC,S4_GSK__current,s4,current,1,1,ok,,36.9541040204217,0.469214692990095,34.301835343644,0.313816820332826,584.822939540476,43,130,2750.75987768735,2487.70936,263.050517687354,30349.7613567,31119.3189516067,769.557594906655,9735.60435735858,0.885560091666173,1.1,2,0,3,921.189119326086,263.050517687354,0,0
