source_branch_row,source_from_bus,source_to_bus,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_degree,source_status,source_angmin,source_angmax,source_sha256
1107,547.0,594.0,0.00028,0.00425,0.10981,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1108,547.0,594.0,0.00028,0.00425,0.10981,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1109,547.0,594.0,0.00028,0.00429,0.1109,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1110,547.0,594.0,0.00028,0.0043,0.11125,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1111,547.0,897.0,0.00028,0.00424,0.10951,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1112,547.0,897.0,0.00028,0.00432,0.11162,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1113,547.0,897.0,0.00028,0.0043,0.11121,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1152,557.0,1493.0,0.0012,0.055,0.0,1292.0,1347.0,1395.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1153,557.0,1493.0,0.0012,0.055,0.0,1292.0,1347.0,1395.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1159,560.0,593.0,0.00046,0.00697,0.18022,600.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
