"case","interface_name","mean_abs_residual_mw","max_abs_residual_mw"
"CURRENT","Central_East","106.35361833710813","121.878222493079"
"DIRECT_PERFORM","Central_East","104.38212397015248","120.976748441967"
"FITTED_SENSITIVITY","Central_East","90.93210005421439","109.742056476253"
"CURRENT","Dunwoodie_South","272.63000934917926","572.565573669297"
"DIRECT_PERFORM","Dunwoodie_South","239.47275751581319","424.907845405738"
"FITTED_SENSITIVITY","Dunwoodie_South","242.0861820530035","435.516401134996"
"CURRENT","Dysinger_East","57.257742706943866","94.3187640956447"
"DIRECT_PERFORM","Dysinger_East","56.99521215435963","92.6604870642451"
"FITTED_SENSITIVITY","Dysinger_East","54.62418306934097","87.5304212775758"
"CURRENT","Moses_South","26.8401098397154","46.7655684531372"
"DIRECT_PERFORM","Moses_South","26.845464688096445","46.8112231484454"
"FITTED_SENSITIVITY","Moses_South","26.839956681771884","46.7968644167334"
"CURRENT","Total_East_proxy","144.6440155986055","234.382151356694"
"DIRECT_PERFORM","Total_East_proxy","142.0747837994488","226.913640490581"
"FITTED_SENSITIVITY","Total_East_proxy","142.33663420380466","227.08087828816"
"CURRENT","UPNY_ConEd","268.15336659137586","415.699152409576"
"DIRECT_PERFORM","UPNY_ConEd","259.808690412005","366.888809558239"
"FITTED_SENSITIVITY","UPNY_ConEd","263.55188329530836","380.714148686188"
"CURRENT","West_Central","139.13584444329464","413.42275057382"
"DIRECT_PERFORM","West_Central","138.8745042537445","411.769870369161"
"FITTED_SENSITIVITY","West_Central","136.52575786614403","406.668800032492"
