scenario_id,zone_mode,selected_zones,status,note,added_selected_mw,donor_reduction_mw,opf_success,opf_raw_info,objective,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S1_2025_SUMMER_PEAK_PUBLIC,G_ONLY,G,ok,,816.002322378635,816.002322378635,1,1,233932.104318823,10902.2197987,1716.5,11294.7028279785,3614.05662577875,-1107.98572581365,-853.365467632651,1.00314326788706,1.1,12,0,0,0,2247.50398907354,1547.71873589724,1389.65218326859,-600.730103177374,732.330881332647
S1_2025_SUMMER_PEAK_PUBLIC,J_ONLY,J,ok,,3639.49544326512,3639.49544326512,0,0,257945.199133872,10902.2197987,1716.5,10344.0013708526,5587.86381344038,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2682.57558715901,2744.5094029825,2532.44076658193,2803.19606040874,227.045005789947
S1_2025_SUMMER_PEAK_PUBLIC,K_ONLY,K,ok,,1043.78482482782,1043.78482482782,1,1,237235.238685926,10902.2197987,1716.5,11310.2690378868,3748.68165005229,-1107.98572581365,-853.365467632651,1.01599904670613,1.1,12,0,0,0,2087.74057145106,2208.66658870934,2041.74826096395,-323.917833143263,1451.67831580625
S1_2025_SUMMER_PEAK_PUBLIC,G_J,G+J,ok,,4455.49776564375,4455.49776564375,0,0,258119.655162946,10902.2197987,1716.5,9898.64935281373,5361.6255158815,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2784.87661937957,2030.03647263856,1837.46532880935,2802.14987209674,226.707824431234
S1_2025_SUMMER_PEAK_PUBLIC,J_K,J+K,ok,,4683.28026809294,4683.28026809294,0,0,257722.723541403,10902.2197987,1716.5,9632.3748458913,5755.10212904173,-1107.98572581365,-853.365467632651,0.9,1.1,17,1,0,0,2692.99779836167,2754.13022062073,2541.48286317089,3213.98168625688,1293.80199463041
S1_2025_SUMMER_PEAK_PUBLIC,G_J_K,G+J+K,ok,,5499.28259047157,5499.28259047158,0,0,257750.321129453,10902.2197987,1716.5,9207.39751739131,5598.35226521034,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2800.43585516068,2043.94925543464,1850.40880991394,3212.88129766306,1293.22074917594
S1_2025_SUMMER_PEAK_PUBLIC,FULL_PUBLIC_P,A+B+C+D+E+F+G+H+I+J+K,ok,,5757.7874630416,0,0,0,258092.778070102,10902.2197987,1716.5,9156.03663505143,5578.31076367138,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2772.86768854111,2019.3113834595,1717.64261575708,3212.7009458401,1293.1249845546
S2_2025_WINTER_PEAK_PUBLIC,G_ONLY,G,ok,,763.133766267374,763.133766267373,1,1,233584.481671545,10902.2197987,1716.5,11287.9000217184,3542.26029873562,-1107.98572581365,-853.365467632651,1.00760536118809,1.1,12,0,0,0,2206.15966112552,1561.62497045509,1404.47105051548,-592.400560157907,754.197536243342
S2_2025_WINTER_PEAK_PUBLIC,J_ONLY,J,ok,,3459.55499275624,3459.55499275624,0,0,258407.984162018,10902.2197987,1716.5,10559.8362081862,5581.13985114923,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2664.64752372979,2728.07900970045,2517.0205257931,2624.6853109155,226.98708961647
S2_2025_WINTER_PEAK_PUBLIC,K_ONLY,K,ok,,662.835219031261,662.83521903126,1,1,234597.453501639,10902.2197987,1716.5,11294.3785257338,3634.42552952972,-1107.98572581365,-853.365467632651,1.01466447509729,1.1,12,0,0,0,2064.3081236903,2186.59388882091,2020.72173011548,-370.340692954225,1331.01764363066
S2_2025_WINTER_PEAK_PUBLIC,G_J,G+J,ok,,4222.68875902362,4222.68875902362,0,0,258524.303444909,10902.2197987,1716.5,10163.3776589885,5366.00250760973,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2751.91694071972,2052.58269716735,1860.5544958567,2623.63847905403,226.651731074197
S2_2025_WINTER_PEAK_PUBLIC,J_K,J+K,ok,,4122.3902117875,4122.3902117875,0,0,258145.750017148,10902.2197987,1716.5,10130.9898717985,5677.03146464606,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2671.00517516662,2733.8914822335,2522.47969885162,2884.30261861553,901.001989622997
S2_2025_WINTER_PEAK_PUBLIC,G_J_K,G+J+K,ok,,4885.52397805488,4885.52397805488,0,0,258343.861448734,10902.2197987,1716.5,9744.3586156756,5479.55985284595,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2760.31649164606,2060.12109843697,1867.57602239895,2883.22657487556,900.528881145894
S2_2025_WINTER_PEAK_PUBLIC,FULL_PUBLIC_P,A+B+C+D+E+F+G+H+I+J+K,ok,,5344.55452555461,0,0,0,259859.81866931,10902.2197987,1716.5,9629.61811227551,5132.76804489317,-1107.98572581365,-853.365467632651,0.900079708014848,1.09999778882556,2,0,0,0,2780.68424864501,2206.30371284736,2445.40634680287,2845.30616516039,886.484292463572
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G_ONLY,G,ok,,477.380725475773,477.380725475773,1,1,232357.668175275,10902.2197987,1716.5,11259.0413075368,3306.22196816123,-1107.98572581365,-853.365467632651,1.00792346384859,1.1,12,0,0,0,2085.86087484813,1732.90118676754,1576.12399776806,-567.8874695268,818.307170754476
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,J_ONLY,J,ok,,4368.0500990318,4368.0500990318,0,0,257701.662453372,10902.2197987,1716.5,9948.59275083193,5598.70026737543,-1107.98572581365,-853.365467632651,0.9,1.1,17,1,0,0,2734.3941331547,2792.20259161799,2577.15653296515,3526.70491760307,227.280878881206
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,K_ONLY,K,ok,,427.17516036526,427.17516036526,1,1,233082.8763123,10902.2197987,1716.5,11274.9002694213,3478.28505439405,-1107.98572581365,-853.365467632651,1.00749431184735,1.1,12,0,0,0,2031.85667014521,2156.22662942976,1991.97893979099,-415.362261006667,1214.19291257677
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G_J,G+J,ok,,4845.43082450757,4845.43082450757,0,0,257640.473630914,10902.2197987,1716.5,9711.40819275874,5489.21939546494,-1107.98572581365,-853.365467632651,0.9,1.1,17,1,0,0,2806.91651761374,2385.60346278897,2182.46802820224,3526.08430840476,227.075603296255
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,J_K,J+K,ok,,4795.22525939706,4795.22525939706,0,0,257641.85592064,10902.2197987,1716.5,9682.90443038714,5671.03734396369,-1107.98572581365,-853.365467632651,0.9,1.1,17,1,0,0,2743.81785821753,2800.84331040044,2585.24822969519,3693.6198678083,660.507081513865
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G_J_K,G+J+K,ok,,5272.60598487283,5272.60598487283,0,0,257574.145987411,10902.2197987,1716.5,9448.52304954719,5575.85080907191,-1107.98572581365,-853.365467632651,0.900000016501758,1.0999999868334,14,1,0,0,2816.16392302698,2394.07872114623,2190.46152126787,3692.97838452046,660.25013097078
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,FULL_PUBLIC_P,A+B+C+D+E+F+G+H+I+J+K,ok,,5370.76710862211,0,0,0,257553.603594956,10902.2197987,1716.5,9400.81825592688,5569.65973069424,-1107.98572581365,-853.365467632651,0.900000082507725,1.0999999268973,11,1,0,0,2816.48449885785,2394.36386880828,2107.39050409659,3692.94995542079,660.238767736577
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G_ONLY,G,ok,,810.88521680194,810.885216801941,1,1,233924.55710801,10902.2197987,1716.5,11294.1363672532,3611.73538476957,-1107.98572581365,-853.365467632651,1.00316541219365,1.1,12,0,0,0,2248.46525261506,1553.71768905833,1395.54616663941,-601.043090933375,731.50666462363
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,J_ONLY,J,ok,,3733.8359205215,3733.8359205215,0,0,257854.34557903,10902.2197987,1716.5,10259.9028226602,5582.86844290845,-1107.98572581365,-853.365467632651,0.9,1.1,17,1,0,0,2689.75293793874,2751.10680609221,2538.63044281248,2896.81176697961,227.074063794043
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,K_ONLY,K,ok,,1076.09873632053,1076.09873632053,1,1,237476.486536436,10902.2197987,1716.5,11311.3436473169,3757.76853151342,-1107.98572581365,-853.365467632651,1.01581277068572,1.1,12,0,0,0,2091.94340072616,2212.63289235853,2045.5329011124,-321.122107723404,1458.93029805325
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G_J,G+J,ok,,4544.72113732344,4544.72113732344,0,0,257977.551806614,10902.2197987,1716.5,9817.2057855,5373.58616496494,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2795.39633721392,2044.56739681449,1851.23984593138,2895.79687753576,226.745863051788
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,J_K,J+K,ok,,4809.93465684203,4809.93465684203,0,0,257674.436485595,10902.2197987,1716.5,9523.91286622936,5763.21833140569,-1107.98572581365,-853.365467632651,0.9,1.1,17,1,0,0,2701.53831233159,2761.99468857482,2548.85967139563,3320.51000379279,1327.37054852366
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G_J_K,G+J+K,ok,,5620.81987364397,5620.81987364397,0,0,257614.30297023,10902.2197987,1716.5,9090.56560335911,5591.1607924178,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2811.38788691453,2059.03771416063,1864.80660710505,3319.41988587217,1326.78549106236
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,FULL_PUBLIC_P,A+B+C+D+E+F+G+H+I+J+K,ok,,5852.63011053919,0,0,0,257825.745649035,10902.2197987,1716.5,9040.32396037294,5604.11647381279,-1107.98572581365,-853.365467632651,0.9,1.1,18,1,0,0,2792.63424477769,2042.13265004789,1736.68021655545,3319.29941065233,1326.72048291704
S5_2025_HIGH_TOTAL_EAST_PUBLIC,G_ONLY,G,ok,,771.664072645135,771.664072645135,1,1,233813.372868351,10902.2197987,1716.5,11293.3554369777,3601.18844524586,-1107.98572581365,-853.365467632651,1.00439480152527,1.1,12,0,0,0,2229.93033453269,1575.3039155889,1417.2539302968,-596.820842172333,742.523404032781
