scenario_id,iteration,zone,scheduled_generation_mw,pmin_mw,pmax_mw,upward_headroom_mw,downward_headroom_mw,loss_participation_factor,sensitivity_participation_factor,finite_difference_step_mw
S1_2025_SUMMER_PEAK_PUBLIC,1,A,1258.09441261316,0,1292.8,34.7055873868449,1258.09441261316,0.00563568243326685,0.00642068847320348,-25
S1_2025_SUMMER_PEAK_PUBLIC,1,B,254.893421941205,0,288.8,33.906578058795,254.893421941205,0.00550603956573628,0.0062728681834787,-25
S1_2025_SUMMER_PEAK_PUBLIC,1,C,1247.92057863712,0,2511.2,1263.27942136288,1247.92057863712,0.20514210374156,0.230870873482635,25
S1_2025_SUMMER_PEAK_PUBLIC,1,D,376.896691965675,0,984.9807077,608.084015734325,376.896691965675,0.0987458718519623,0.069727569187024,25
S1_2025_SUMMER_PEAK_PUBLIC,1,E,570.764888244074,0,600,29.2351117559257,570.764888244074,0.00474744733912928,0.00540862608005416,-25
S1_2025_SUMMER_PEAK_PUBLIC,1,F,1147.23643792288,0,2168.003995,1020.76755707712,1147.23643792288,0.165760954641451,0.188846551262505,-25
S1_2025_SUMMER_PEAK_PUBLIC,1,G,1679.09396782297,0,2200,520.906032177026,1679.09396782297,0.084589176693837,0.0963699394895979,-25
S1_2025_SUMMER_PEAK_PUBLIC,1,H,0,0,0,0,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,1,I,29.4249690963979,0,565.099092,535.674122903602,29.4249690963979,0.0869873414122326,0.00544375053491312,25
S1_2025_SUMMER_PEAK_PUBLIC,1,J,3067.43278666752,0,4197.07746,1129.64467333248,3067.43278666752,0.183441381097768,0.208989303423542,-25
S1_2025_SUMMER_PEAK_PUBLIC,1,K,1403.0620436375,0,2384.929342,981.867298362502,1403.0620436375,0.159444001223057,0.181649829883046,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,A,1272.02494275928,0,1292.8,20.7750572407213,1272.02494275928,0.00338147651289193,0.00385376547182302,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,B,268.503271594692,0,288.8,20.2967284053083,268.503271594692,0.00330362361838446,0.00376503564890448,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,C,1514.13449538121,0,2511.2,997.065504618794,1514.13449538121,0.162288674689726,0.184955284133422,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,D,379.647737889172,0,984.9807077,605.332969810828,379.647737889172,0.0985278146352932,0.0704245156477949,25
S1_2025_SUMMER_PEAK_PUBLIC,2,E,343.05668697655,0,600,256.94331302345,343.05668697655,0.041821715283506,0.0476628899969862,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,F,1085.19807704317,0,2168.003995,1082.80591795683,1085.19807704317,0.176244325381224,0.200860099250576,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,G,1732.49070261063,0,2200,467.509297389371,1732.49070261063,0.0760947641427453,0.0867228025973348,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,H,0,0,0,0,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,2,I,18.9265520552483,0,565.099092,546.172539944752,18.9265520552483,0.0888984897246924,0.00351086844026643,25
S1_2025_SUMMER_PEAK_PUBLIC,2,J,3060.71181536864,0,4197.07746,1136.36564463136,3060.71181536864,0.184962045421562,0.21079540883586,-25
S1_2025_SUMMER_PEAK_PUBLIC,2,K,1374.41881963407,0,2384.929342,1010.51052236593,1374.41881963407,0.164477070589975,0.187449329977032,-25
S1_2025_SUMMER_PEAK_PUBLIC,3,A,1280.34028192073,0,1292.8,12.4597180792739,1280.34028192073,0.00202899361728648,0.00243822571078791,-25
S1_2025_SUMMER_PEAK_PUBLIC,3,B,276.628430344156,0,288.8,12.1715696558435,276.628430344156,0.00198217396638283,0.00238183832785831,-25
S1_2025_SUMMER_PEAK_PUBLIC,3,C,1673.58408532879,0,2511.2,837.615914671207,1673.58408532879,0.136408082896366,0.163911947760176,-25
S1_2025_SUMMER_PEAK_PUBLIC,3,D,380.208928452364,0,984.9807077,604.771779247636,380.208928452364,0.0984887583342894,0.0744025810957754,25
S1_2025_SUMMER_PEAK_PUBLIC,3,E,206.043272858612,0,600,393.956727141388,206.043272858612,0.0641569428475457,0.040320334876151,25
S1_2025_SUMMER_PEAK_PUBLIC,3,F,1045.9527165789,0,2168.003995,1122.0512784211,1045.9527165789,0.182729164014859,0.204681100294987,25
S1_2025_SUMMER_PEAK_PUBLIC,3,G,1763.64114760426,0,2200,436.35885239574,1763.64114760426,0.0710622574879065,0.0853904852639491,-25
S1_2025_SUMMER_PEAK_PUBLIC,3,H,0,0,0,0,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,3,I,11.6578784948916,0,565.099092,553.441213505108,11.6578784948916,0.0901294345398723,0.00228131478566669,25
S1_2025_SUMMER_PEAK_PUBLIC,3,J,3058.99964411595,0,4197.07746,1138.07781588405,3058.99964411595,0.185339162648363,0.222708938830786,-25
S1_2025_SUMMER_PEAK_PUBLIC,3,K,1355.31823157474,0,2384.929342,1029.61111042526,1355.31823157474,0.167675029647129,0.201483233053863,-25
S1_2025_SUMMER_PEAK_PUBLIC,4,A,1285.32656135298,0,1292.8,7.47343864701747,1285.32656135298,0.00121746175612775,0.00152905863243979,-25
S1_2025_SUMMER_PEAK_PUBLIC,4,B,281.499419430895,0,288.8,7.30058056910536,281.499419430895,0.00118930427668758,0.00149369202963454,-25
S1_2025_SUMMER_PEAK_PUBLIC,4,C,1769.6613230555,0,2511.2,741.538676944502,1769.6613230555,0.120800683012796,0.15171812720005,-25
S1_2025_SUMMER_PEAK_PUBLIC,4,D,380.418858212619,0,984.9807077,604.561849487381,380.418858212619,0.098486412725678,0.0778333464107628,25
