candidate_name,from_bus,to_bus,physical_or_aggregate,represented_circuits,representative_conductor,current_allocation_factor,DLR_enabled,modeling_note
EDIC_GILBOA,43,38,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
GILBOA_LEEDS,38,39,physical-line-proxy,,,,0,DLR disabled until physical-circuit interpretation is documented
GILBOA_PLEASANT_VLY,38,73,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
LEEDS_MILLWOOD,39,74,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
PLEASANT_VLY_RAMAPO,73,76,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
MILLWOOD_RAMAPO,74,76,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
BUCHANAN_CE_UG,77,78,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
GOETHALS_NORTHPORT,81,80,aggregate-equivalent,,,,0,DLR disabled until physical-circuit interpretation is documented
