scenario_id,violation_type,element_index,from_or_bus_id,from_or_bus_name,to_bus_id,to_bus_name,value,limit,violation_amount,units
S1_2019_SUMMER_PEAK_PUBLIC,BRANCH_OVERLOAD,29,54,NIAGARA W   ,56,HUNTLEY     ,799.990388154935,789.941803,10.0485851549348,MVA
S1_2019_SUMMER_PEAK_PUBLIC,HIGH_VOLTAGE,30,66,WATERCURE   ,NaN,,1.10778019812344,1.1,0.00778019812344399,pu
S1_2019_SUMMER_PEAK_PUBLIC,HIGH_VOLTAGE,31,67,WRHL        ,NaN,,1.10584618035855,1.1,0.00584618035854922,pu
S1_2019_SUMMER_PEAK_PUBLIC,HIGH_VOLTAGE,34,70,BINGHAMTON  ,NaN,,1.1034799388325,1.1,0.00347993883250197,pu
S2_2019_WINTER_PEAK_PUBLIC,BRANCH_OVERLOAD,29,54,NIAGARA W   ,56,HUNTLEY     ,831.609509365836,789.941803,41.6677063658359,MVA
S2_2019_WINTER_PEAK_PUBLIC,HIGH_VOLTAGE,30,66,WATERCURE   ,NaN,,1.1085078302889,1.1,0.0085078302888979,pu
S2_2019_WINTER_PEAK_PUBLIC,HIGH_VOLTAGE,31,67,WRHL        ,NaN,,1.10650132435179,1.1,0.00650132435178752,pu
S2_2019_WINTER_PEAK_PUBLIC,HIGH_VOLTAGE,34,70,BINGHAMTON  ,NaN,,1.10323680811445,1.1,0.00323680811444493,pu
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,BRANCH_OVERLOAD,29,54,NIAGARA W   ,56,HUNTLEY     ,1131.11747182367,789.941803,341.175668823673,MVA
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,GEN_Q_LIMIT,10,56,HUNTLEY     ,NaN,,1252.81824816855,999,253.818248168554,MVAr
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,BRANCH_OVERLOAD,29,54,NIAGARA W   ,56,HUNTLEY     ,865.242700679961,789.941803,75.3008976799605,MVA
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,HIGH_VOLTAGE,30,66,WATERCURE   ,NaN,,1.10893337740963,1.1,0.00893337740963207,pu
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,HIGH_VOLTAGE,31,67,WRHL        ,NaN,,1.10663951018015,1.1,0.00663951018015152,pu
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,HIGH_VOLTAGE,33,69,BINGHAMTON  ,NaN,,1.10097434253014,1.1,0.000974342530140726,pu
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,HIGH_VOLTAGE,34,70,BINGHAMTON  ,NaN,,1.10424031325547,1.1,0.00424031325546936,pu
S5_2019_HIGH_TOTAL_EAST_PUBLIC,BRANCH_OVERLOAD,29,54,NIAGARA W   ,56,HUNTLEY     ,819.245588800254,789.941803,29.3037858002544,MVA
S5_2019_HIGH_TOTAL_EAST_PUBLIC,HIGH_VOLTAGE,30,66,WATERCURE   ,NaN,,1.10823132529433,1.1,0.00823132529433379,pu
S5_2019_HIGH_TOTAL_EAST_PUBLIC,HIGH_VOLTAGE,31,67,WRHL        ,NaN,,1.10784348835488,1.1,0.00784348835487614,pu
S5_2019_HIGH_TOTAL_EAST_PUBLIC,HIGH_VOLTAGE,34,70,BINGHAMTON  ,NaN,,1.10309323185098,1.1,0.00309323185097643,pu
S6_2019_LOW_TOTAL_EAST_PUBLIC,BRANCH_OVERLOAD,29,54,NIAGARA W   ,56,HUNTLEY     ,885.457985116986,789.941803,95.5161821169856,MVA
S6_2019_LOW_TOTAL_EAST_PUBLIC,HIGH_VOLTAGE,30,66,WATERCURE   ,NaN,,1.10103778423877,1.1,0.00103778423877143,pu
S6_2019_LOW_TOTAL_EAST_PUBLIC,HIGH_VOLTAGE,34,70,BINGHAMTON  ,NaN,,1.10121055928984,1.1,0.00121055928983571,pu
