interface_name,cut,n_circuits,sum_rate_a_mva,snapshot_flow_mw,cut_n_circuits,cut_sum_rate_a_mva,cut_snapshot_flow_mw,official_share_of_cut,validity
Dysinger_East,A-B,4,4101,746.929823779409,15,5581,906.938336254752,0.823572886844649,ok
West_Central,B-C,6,3100,56.611444073897,11,3935,-126.361530722497,-0.448011699052787,INVALID_sign_opposes_cut
Moses_South,D-E,7,6933,1238.41951127971,19,8937,1473.99261950269,0.840180266097626,ok
Central_East,E-F,5,3505,1613.92827725645,10,5389,1841.58146509153,0.876381690329528,ok
Total_East_proxy,E-F+E-G+D-F,8,7153,2661.93423049279,20,8791,3181.73166790231,0.836630649072863,ok
UPNY_ConEd,G-H,9,11163,4839.09216829298,10,10243,3996.54675903689,1.21081835395794,INVALID_subset_exceeds_cut
Dunwoodie_South,I-J,12,6904,1420.67592305965,8,5804,1024.62248298181,1.38653596486119,INVALID_subset_exceeds_cut
