scenario_id,x_multiplier,zone_j_total_pmax_mw,zone_j_q_abs_ratio,eta,status,note,scaled_branch_count,opf_success,opf_raw_info,objective,bus_count,branch_count,gen_count,zone_j_report_count,zone_j_result_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,zone_j_equiv_pg_mw,zone_j_equiv_qg_mvar,zone_j_equiv_pmax_mw,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,max_added_branch_loading_pct,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S1_2025_SUMMER_PEAK_PUBLIC,1,2000,0,1,ok,,12,0,0,785713.314678171,49,81,34,3,3,10902.2197987,1716.5,11225.5638119253,5134.26110250993,-1107.98572581365,-853.365467632651,1999.94635439532,0.00292813217579085,2000,0.900000102068381,1.09998308819691,0,1,0,0,64.5568975994004,2819.67227086567,2108.72658441618,1823.62923503465,1145.20800484826,1222.4319622338
S2_2025_WINTER_PEAK_PUBLIC,1,2000,0,1,ok,,12,1,1,700643.220627259,49,81,34,3,3,10902.2197987,1716.5,11463.7689853404,5501.20690824266,-1107.98572581365,-853.365467632651,1765.06574216904,0,2000,0.9,1.1,17,1,0,0,64.4983568854002,2664.94266205028,1973.17978790745,1651.59523768671,1193.42522275866,898.265769269329
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,2000,0,1,ok,,12,0,0,784794.663585296,49,81,34,3,3,10902.2197987,1716.5,11415.0828836248,5352.34345694827,-1107.98572581365,-853.365467632651,1999.99505410753,-0.121243418522204,2000,0.900000212767601,1.09999991860423,8,1,0,0,63.8526390869897,2827.82403678392,2411.96556633705,2148.32242935132,1771.27018535096,660.046369975296
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,2000,0,1,ok,,12,0,0,784863.372525074,49,81,34,3,3,10902.2197987,1716.5,11035.3845021059,5340.86214736066,-1107.98572581365,-853.365467632651,2000,0.130860795489348,2000,0.9,1.1,18,2,0,0,64.8047567665835,2822.57507844727,2107.82759495763,1972.30266191988,1383.70328370705,1320.0757031933
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,2000,0,1,ok,,12,0,0,784560.925200191,49,81,34,3,3,10902.2197987,1716.5,11120.0322685546,5256.82057476624,-1107.98572581365,-853.365467632651,1999.99802558215,0.323230383476177,2000,0.900000416708719,1.09999961592773,9,2,0,0,64.0076354462438,2805.73476414522,2131.79880941326,1906.33765948962,1404.31237712702,1285.03194499362
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,2000,0,1,ok,,12,1,1,735562.781339209,49,81,34,3,3,10902.2197987,1716.5,11455.9508660105,5429.96251932957,-1107.98572581365,-853.365467632651,1895.28604814405,0,2000,0.9,1.1,19,1,0,0,65.4757728631668,2771.37528578965,2073.90143984005,1797.84477237113,1288.70271207401,1027.07335336317
S1_2025_SUMMER_PEAK_PUBLIC,1,2250,0,1,ok,,12,0,0,854639.492886619,49,81,34,3,3,10902.2197987,1716.5,11400.2892435524,5223.48809721213,-1107.98572581365,-853.365467632651,2249.98891733732,0.000386899551493532,2250,0.900011728283974,1.09998865165074,0,0,0,0,64.6717391449972,2807.98585880125,2056.28393505971,1755.02714518667,1032.79174684373,1283.80458636122
S2_2025_WINTER_PEAK_PUBLIC,1,2250,0,1,ok,,12,1,1,700633.09491367,49,81,34,3,3,10902.2197987,1716.5,11463.7685064453,5501.21195165583,-1107.98572581365,-853.365467632651,1764.95649497048,0,2250,0.9,1.1,17,1,0,0,64.500127541064,2664.99869434842,1973.23135503772,1651.64411584177,1195.94715213974,898.213826912357
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,2250,0,1,ok,,12,1,1,779185.773890433,49,81,34,3,3,10902.2197987,1716.5,11463.2130769957,5479.37981809219,-1107.98572581365,-853.365467632651,2057.92561117784,0,2250,0.9,1.1,18,1,0,0,64.370542423269,2816.31735239677,2394.27207291311,2107.25674816467,1717.49216071705,658.238355441084
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,2250,0,1,ok,,12,0,0,854912.802773013,49,81,34,3,3,10902.2197987,1716.5,11295.5358673772,5351.85075941494,-1107.98572581365,-853.365467632651,2249.97574198403,0.0185560342745827,2250,0.900007510225594,1.09999141417714,1,1,0,0,64.5801449415262,2814.57469131942,2070.32053276841,1822.63341795249,1152.56479139053,1323.65597980198
