public_scenario_id,eta,status,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,losses_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,voltage_upper_bound_count,voltage_lower_bound_count,rate_a_overload_count,max_rate_a_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S1_2025_SUMMER_PEAK_PUBLIC,0,ok,1,1,233621.226055594,10902.2197987,11186.3698611801,284.150062480072,-1107.98572581365,1.0043026916133,1.1,10,0,0,0,1379.29602561692,1524.50919710805,-835.348702243392,
S1_2025_SUMMER_PEAK_PUBLIC,0.1,ok,1,1,233070.741587269,10902.2197987,11268.249920427,366.030121726961,-987.908255859398,1.01541085803946,1.1,12,0,0,0,1740.75626477537,1753.74487780067,-506.508269143653,
S1_2025_SUMMER_PEAK_PUBLIC,0.2,ok,1,1,233530.654711701,10902.2197987,11358.3200342243,456.100235524293,-867.830785905142,1.01173036833509,1.1,12,0,0,0,1974.18015035909,1857.19800429323,-177.287548699017,
S1_2025_SUMMER_PEAK_PUBLIC,0.3,ok,1,1,240996.866249127,10902.2197987,11551.3256908893,649.105892189251,-747.753315950882,0.9,1.1,17,1,0,0,2469.86923256044,2179.5566058776,152.853061267388,
S1_2025_SUMMER_PEAK_PUBLIC,0.4,ok,0,0,258565.55812486,10902.2197987,11135.6541012665,233.434302566471,-627.675845996627,0.900017091745025,1.1,12,0,0,0,2495.7177174361,2101.36214277784,482.393201985384,
S1_2025_SUMMER_PEAK_PUBLIC,0.5,ok,0,0,260382.283573757,10902.2197987,10737.4602138612,-164.759584838843,-507.598376042369,0.900023714564425,1.1,12,0,0,1.02786543720867e-08,2497.81503436891,1996.25236612946,812.579382085574,
S1_2025_SUMMER_PEAK_PUBLIC,0.6,ok,0,0,259243.325640092,10902.2197987,10335.682252264,-566.53754643596,-387.520906088117,0.992838331772037,1.1,12,0,0,1.2023974704789e-08,2498.62156977355,1888.18224638787,1143.19768911002,
S1_2025_SUMMER_PEAK_PUBLIC,0.7,ok,0,0,263945.416416321,10902.2197987,9943.93552133309,-958.284277366913,-267.443436133859,0.977520836086408,1.1,12,0,0,0,2499.07945998221,1779.05149693663,1474.193319167,
S1_2025_SUMMER_PEAK_PUBLIC,0.8,ok,0,0,267608.159095255,10902.2197987,9582.6062647801,-1319.6135339199,-147.365966179603,0.974995969170061,1.1,12,0,0,1.9025264919037e-08,2499.31519635126,1669.14943943642,1805.56378618808,
S1_2025_SUMMER_PEAK_PUBLIC,0.9,ok,0,0,269011.513362873,10902.2197987,9204.02854472287,-1698.19125397713,-27.2884962253469,0.972699049156124,1.1,12,0,0,1.90366336028092e-08,2499.39269583666,1558.63854236204,2137.31700456651,
S1_2025_SUMMER_PEAK_PUBLIC,1,ok,0,0,269401.310059821,10902.2197987,8799.57254779066,-2102.64725090934,92.788973728909,0.980843950211252,1.1,12,0,0,1.90361788554583e-08,2499.31747922556,1447.57517431551,2469.47539038568,
S2_2025_WINTER_PEAK_PUBLIC,0,ok,1,1,233621.226055594,10902.2197987,11186.3698611801,284.150062480072,-1107.98572581365,1.0043026916133,1.1,10,0,0,0,1379.29602561692,1524.50919710805,-835.348702243392,
S2_2025_WINTER_PEAK_PUBLIC,0.1,ok,1,1,229174.898416633,10902.2197987,11277.0576266729,374.837827972931,-851.001963024249,1.01415979431578,1.1,12,0,0,0,1695.38110527648,1752.73519154054,-542.759831566595,
S2_2025_WINTER_PEAK_PUBLIC,0.2,ok,1,1,228685.771863498,10902.2197987,11370.6297396573,468.409940957277,-594.018200234853,1.0044664347521,1.1,15,0,0,6.32645651421626e-08,1892.12564792282,1865.18786613918,-249.824509832686,
S2_2025_WINTER_PEAK_PUBLIC,0.3,ok,1,1,233291.456639715,10902.2197987,11382.1641377436,479.944339043561,-337.034437445455,1.01278821617016,1.1,16,0,0,6.32642240816494e-08,2036.9655199673,1928.92712122655,43.4513140419126,
S2_2025_WINTER_PEAK_PUBLIC,0.4,ok,1,1,238168.933906377,10902.2197987,11429.9482962812,527.728497581222,-80.0506746560547,0.995855453928184,1.1,17,0,0,6.32638830211363e-08,2299.42835929367,2098.17044729143,337.073876634074,
S2_2025_WINTER_PEAK_PUBLIC,0.5,ok,0,0,258294.078928315,10902.2197987,11379.0765858804,476.856787180383,176.933088133345,0.900000005474663,1.1,14,3,0,1.89320417121053e-08,2497.7485774959,2204.13836293687,631.041914727301,
S2_2025_WINTER_PEAK_PUBLIC,0.6,ok,0,0,258200.213129876,10902.2197987,11071.6216395815,169.401840881545,433.916850922744,0.900503200154969,1.09999998895547,12,0,0,0,2498.69013891119,2138.21851644547,925.253019996512,
S2_2025_WINTER_PEAK_PUBLIC,0.7,ok,0,0,258245.004498328,10902.2197987,10834.3090096037,-67.9107890963096,690.900613712143,0.900007845773967,1.1,13,1,0,0,2499.26637020517,2071.17591654033,1219.81005166177,
