model_bus,model_bus_name,model_action,terminal_electrical_policy,overlay_path_id,npcc_attachment_bus,source_attachment_bus,source_model,source_case,source_bus,source_bus_name,source_base_kv,source_area,model_area,physical_zone,source_vm_pu,source_va_deg,mapping_confidence,implementation_status
43,EDIC,retained_existing_npcc_attachment,retained_npcc_unchanged,phase1a_e_g_edic_ramapo,43,1233,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1233,EDIC,345,69,2,E,1.0119827,100.227808,high_exact_name_voltage_zone,implemented_unpromoted_phase1a
76,RAMAPO,retained_existing_npcc_attachment,retained_npcc_unchanged,phase1a_e_g_edic_ramapo,76,1519,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1519,RAMAPO,345,71,3,G,1.0175647,71.656933,high_exact_name_voltage_zone,implemented_unpromoted_phase1a
1228,FRASER,appended_physical_terminal,pq_zero_injection_source_limits,phase1a_e_g_edic_ramapo,43,1233,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1228,FRASER,345,69,2,E,1.020391,88.622483,high_exact_name_voltage_zone,implemented_unpromoted_phase1a
1222,COOPERS CORNER,appended_physical_terminal,pq_zero_injection_source_limits,phase1a_e_g_edic_ramapo,43,1233,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1222,COOPERS CORNER,345,69,2,E,1.0193569,82.086367,high_exact_name_voltage_zone,implemented_unpromoted_phase1a
1567,MARCY,appended_physical_terminal,pq_zero_injection_source_limits,phase1a_e_g_edic_ramapo,43,1233,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1567,MARCY,345,69,2,E,1.0106826,100.308278,high_exact_name_voltage_zone,implemented_unpromoted_phase1a
772,ROCK TAVERN,appended_physical_terminal,pq_zero_injection_source_limits,phase1a_e_g_edic_ramapo,76,1519,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,772,ROCK TAVERN,345,71,3,G,1.0184829,75.706453,high_exact_name_voltage_zone,implemented_unpromoted_phase1a
