reference_set,generator_or_proxy_id,model_bus,model_bus_name,model_zone,regulated_bus,control_type,voltage_reference_pu,voltage_reference_min_pu,voltage_reference_max_pu,voltage_deadband_pu,remote_regulation_flag,scenario_status,source_case,source_record,effective_date,confidence,device_class,mapping_method,notes
CURRENT_S7_MODEL_REFERENCE,BUS_37,37,NEW SEATHED,F,NaN,current_model_vg_field,1.02100313,1.02100313,1.02100313,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 57,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_38,38,GILBOA,F,NaN,current_model_vg_field,1.0319714,1.0319714,1.0319714,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 54,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_39,39,LEEDS,G,NaN,current_model_vg_field,0.999498185,0.999498185,0.999498185,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 60,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_41,41,ROTTERDAM,F,NaN,current_model_vg_field,1.06962395,1.06962395,1.06962395,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 56,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_42,42,ALBANY,F,NaN,current_model_vg_field,1.1,1.1,1.1,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 10|55,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_43,43,EDIC,E,NaN,current_model_vg_field,1.0573451,1.0573451,1.0573451,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 52,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_44,44,PORTER,E,NaN,current_model_vg_field,1.06365915,1.06365915,1.06365915,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 53,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_47,47,MOSES W,D,NaN,current_model_vg_field,1.09999999,1.09999999,1.09999999,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 11,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_48,48,MOSES E,D,NaN,current_model_vg_field,1.1,1.1,1.1,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 12,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_50,50,CLAY,C,NaN,current_model_vg_field,1.1,1.1,1.1,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 13,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_51,51,CLAY,C,NaN,current_model_vg_field,1.08300607,1.08300607,1.08300607,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 14,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_53,53,ROCHESTER,B,NaN,current_model_vg_field,1.09999998,1.09999998,1.09999998,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 15,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_54,54,NIAGARA W,A,NaN,current_model_vg_field,1.05172033,1.05172033,1.05172033,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 16|17,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_55,55,NIAGARA E,A,NaN,current_model_vg_field,1.08981247,1.08981247,1.08981247,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 18,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_56,56,HUNTLEY,A,NaN,current_model_vg_field,1.1,1.1,1.1,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 19,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_57,57,HUNTLEY,A,NaN,current_model_vg_field,1.0934149,1.0934149,1.0934149,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 20,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_60,60,DUNKIRK,A,NaN,current_model_vg_field,1.09860245,1.09860245,1.09860245,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 21,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_61,61,DUNKIRK,A,NaN,current_model_vg_field,1.05145966,1.05145966,1.05145966,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 22,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_65,65,GESONIDGE,C,NaN,current_model_vg_field,1.07077891,1.07077891,1.07077891,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 23,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_68,68,HILLSIDE,C,NaN,current_model_vg_field,1.1,1.1,1.1,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 24,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_71,71,BINGHAMTON,C,NaN,current_model_vg_field,1.1,1.1,1.1,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 25,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_72,72,LAPEER,C,NaN,current_model_vg_field,1.08884679,1.08884679,1.08884679,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 26,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_73,73,PLEASANT VLY,G,NaN,current_model_vg_field,0.977954429,0.977954429,0.977954429,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 58,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_76,76,RAMAPO,G,NaN,current_model_vg_field,0.972794501,0.972794501,0.972794501,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 59,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_78,78,CE UG,I,NaN,current_model_vg_field,0.974721326,0.974721326,0.974721326,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 27,current,high numerical; mixed provenance,zone_I_interface_voltage_support_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_79,79,RAV A-3,J,NaN,current_model_vg_field,0.980677999,0.980677999,0.980677999,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 28|49,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
