reduced_control_group_id,reduced_gen_index,retained_device_bus,retained_pilot_bus,reduced_device_type,injection_role,initial_pg_mw,initial_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,vg_pu,source_record_count,source_reference
BUS_37__PILOT_37__AGGREGATE_PV_GENERATOR,1,37,37,aggregate_pv_generator,combined_pq_control,261.213551067011,25.4320989907479,92.8162657872671,264.619649365117,-157.754725295505,188.065437240617,1.02,58,0
BUS_43__PILOT_43__AGGREGATE_PV_GENERATOR,2,43,43,aggregate_pv_generator,combined_pq_control,249.506249856862,-26.8386070124527,25.6461183748026,318.18015906656,-175.205793005606,222.36391937525,1.02,32,0
BUS_9003__PILOT_9003__AGGREGATE_PV_GENERATOR,3,9003,9003,aggregate_pv_generator,combined_pq_control,1079.64596259961,-342.534064099097,526.934440730788,1191.61158571426,-700.98780473667,835.86772901385,1.01142509417905,51,0
BUS_80__PILOT_80__AGGREGATE_PV_GENERATOR,4,80,80,aggregate_pv_generator,combined_pq_control,429.671738012111,18.6465424929915,44.1215674179914,430.606010372934,-236.888183276529,279.948784313823,1.02,4,0
BUS_9003__PILOT_9003__BOUNDARY_IMPORT_EQUIVALENT,5,9003,9003,boundary_import_equivalent,combined_pq_control,188.412989705158,98.0243733747736,188.412989705158,188.412989705158,98.0243733747736,98.0243733747736,1.02,3,0
BUS_44__PILOT_44__AGGREGATE_PV_GENERATOR,6,44,44,aggregate_pv_generator,combined_pq_control,355.109800874425,-53.2331038938767,26.7436698031109,415.42321561467,-232.256516249068,291.564536930085,1.02,25,0
BUS_72__PILOT_72__AGGREGATE_PV_GENERATOR,7,72,72,aggregate_pv_generator,combined_pq_control,70.0053133598827,3.44279495445327,6.07311790330561,70.6091418878303,-38.8533205621118,49.1703039882093,1.02,11,0
BUS_68__PILOT_68__AGGREGATE_PV_GENERATOR,8,68,68,aggregate_pv_generator,combined_pq_control,98.594155526975,20.4214942023129,20.231531328482,99.4015743571166,-61.4336119471734,70.5176792688046,1.02,13,0
BUS_79__PILOT_79__AGGREGATE_PV_GENERATOR,9,79,79,aggregate_pv_generator,combined_pq_control,2129.96913027024,337.892163106816,664.091784221708,2133.34729625034,-1285.28760012037,1530.54461303775,1.02,28,0
BUS_65__PILOT_65__AGGREGATE_PV_GENERATOR,10,65,65,aggregate_pv_generator,combined_pq_control,40.7156092406176,-2.99570318028426,11.7072152352879,40.9752533235078,-22.5363893279293,26.63391466028,1.02,1,0
BUS_56__PILOT_56__AGGREGATE_PV_GENERATOR,11,56,56,aggregate_pv_generator,combined_pq_control,127.781569316524,8.39836927082991,52.2068629398621,128.596442350116,-80.7944191425308,93.3833340252264,1.02,8,0
BUS_50__PILOT_50__AGGREGATE_PV_GENERATOR,12,50,50,aggregate_pv_generator,combined_pq_control,1109.19430251785,-54.8696229030886,702.249988879224,1113.86835954243,-675.378271409478,800.636328165156,1.02,5,0
BUS_47__PILOT_47__AGGREGATE_PV_GENERATOR,13,47,47,aggregate_pv_generator,combined_pq_control,189.410925536581,20.9603909217441,0.548775714154122,190.754438239973,-104.999086641489,133.09640320618,1.02,10,0
BUS_57__PILOT_57__AGGREGATE_PV_GENERATOR,14,57,57,aggregate_pv_generator,combined_pq_control,69.6707676114687,8.54187850012156,38.0484495146858,80.9627103615381,-56.6738972530767,60.7220327711536,1.02,1,0
BUS_61__PILOT_61__AGGREGATE_PV_GENERATOR,15,61,61,aggregate_pv_generator,combined_pq_control,117.457259368792,-20.0204732430544,23.0485799944731,118.206288828798,-69.9945130879777,84.419997360709,1.02,4,0
BUS_60__PILOT_60__AGGREGATE_PV_GENERATOR,16,60,60,aggregate_pv_generator,combined_pq_control,63.0001313692273,-6.72011013671081,3.29265428492473,63.4018875086062,-34.8655503725919,44.3776627512633,1.02,2,0
BUS_42__PILOT_42__AGGREGATE_PV_GENERATOR,17,42,42,aggregate_pv_generator,combined_pq_control,498.479472765014,-18.4050306766786,359.045657247237,565.89751643573,-396.128261505011,424.423137326798,1.02,2,0
BUS_81__PILOT_81__AGGREGATE_PV_GENERATOR,18,81,81,aggregate_pv_generator,combined_pq_control,498.404607684537,158.77278819868,256.717279081298,568.824320244552,-328.548361559312,403.441612522305,1.01874329639792,33,0
BUS_53__PILOT_53__AGGREGATE_PV_GENERATOR,19,53,53,aggregate_pv_generator,combined_pq_control,263.344444969969,-1.44224168480333,182.230122146779,265.241595174492,-149.523089583193,186.931300764699,1.02,6,0
BUS_71__PILOT_71__AGGREGATE_PV_GENERATOR,20,71,71,aggregate_pv_generator,combined_pq_control,17.3404853793438,-6.66558085747139,15.3657199963154,17.4510677101011,-9.58528247389199,12.2194059018318,1.02,1,0
BUS_56__PILOT_61__AGGREGATE_PV_GENERATOR,21,56,61,aggregate_pv_generator,remote_p_injection,34.3175059935395,0,0,34.5362849440994,0,0,1.02,1,0
BUS_56__PILOT_61__AGGREGATE_PV_GENERATOR,22,56,61,aggregate_pv_generator,remote_q_control,0,-5.81805820131453,0,0,-18.9876397097326,24.1827164703916,1.02,1,0
BUS_53__PILOT_53__CONTROLLABLE_Q_DEVICE,23,53,53,controllable_q_device,combined_pq_control,0,16.1432020529167,0,0,0,18.2925238051374,1.01,1,0
BUS_51__PILOT_51__AGGREGATE_PV_GENERATOR,24,51,51,aggregate_pv_generator,combined_pq_control,321.108025305164,-13.7631902066537,242.193015180019,323.155725541557,-177.730161290715,226.205349374329,1.02,1,0
BUS_47__PILOT_47__CONTROLLABLE_Q_DEVICE,25,47,47,controllable_q_device,combined_pq_control,0,15.0388585935461,0,0,0,36.5850476102748,1.02,1,0
BUS_37__PILOT_37__CONTROLLABLE_Q_DEVICE,26,37,37,controllable_q_device,combined_pq_control,0,9.5595460091281,0,0,0,54.8775714154122,1.01666666666667,2,0
BUS_41__PILOT_41__AGGREGATE_PV_GENERATOR,27,41,41,aggregate_pv_generator,combined_pq_control,123.779467666303,-8.05222454553752,36.9508980863775,123.950141303611,-86.7650989125277,92.9626059777082,1.02,1,0
BUS_39__PILOT_39__CONTROLLABLE_Q_DEVICE,28,39,39,controllable_q_device,combined_pq_control,0,19.8232438936039,0,0,0,91.4626190256869,1.014,3,0
BUS_76__PILOT_76__AGGREGATE_PV_GENERATOR,29,76,76,aggregate_pv_generator,combined_pq_control,264.493436072769,47.2234638025338,44.6337580845352,264.802574603169,-145.608489488894,185.413021288873,1.02,6,0
BUS_73__PILOT_73__AGGREGATE_PV_GENERATOR,30,73,73,aggregate_pv_generator,combined_pq_control,405.996053350699,-16.3923872698523,243.65641708443,736.091157918729,-447.142451892778,506.666324354695,1.02,3,0
BUS_73__PILOT_73__CONTROLLABLE_Q_DEVICE,31,73,73,controllable_q_device,combined_pq_control,0,0.559520874528869,0,0,0,10.9755142830824,1.03,1,0
BUS_78__PILOT_78__AGGREGATE_PV_GENERATOR,32,78,78,aggregate_pv_generator,combined_pq_control,21.7028729199253,15.2925502669453,2.56095333271923,21.841273423334,-11.9998956161701,15.2925499010949,1.02,1,0
BUS_81__PILOT_81__CONTROLLABLE_Q_DEVICE,33,81,81,controllable_q_device,combined_pq_control,0,0,0,0,0,201.217761856511,1.01227272727273,2,0
BUS_82__PILOT_82__AGGREGATE_PV_GENERATOR,34,82,82,aggregate_pv_generator,combined_pq_control,386.784406321253,32.9699668836772,181.278910908912,456.398468938178,-251.010011654095,319.49722078053,1.02,19,0
BUS_81__PILOT_81__BOUNDARY_IMPORT_EQUIVALENT,35,81,81,boundary_import_equivalent,combined_pq_control,211.971202339646,214.685227926577,211.971202339646,211.971202339646,214.685227926577,214.685227926577,1.015,4,0
BUS_9003__PILOT_9003__CONTROLLABLE_Q_DEVICE,36,9003,9003,controllable_q_device,combined_pq_control,0,326.146705351466,0,0,-219.510285661649,2270.10220421755,1.01788023512123,23,0
BUS_76__PILOT_76__BOUNDARY_IMPORT_EQUIVALENT,37,76,76,boundary_import_equivalent,combined_pq_control,-234.42161570814,33.8613244513605,-234.42161570814,-234.42161570814,33.8613244513605,33.8613244513605,1.015,2,0
BUS_48__PILOT_48__AGGREGATE_PV_GENERATOR,38,48,48,aggregate_pv_generator,combined_pq_control,38.7161815111447,-0.925063815450092,0,38.9630757049426,-21.438837899621,27.292445517265,1.02,1,0
BUS_37__PILOT_37__BOUNDARY_IMPORT_EQUIVALENT,39,37,37,boundary_import_equivalent,combined_pq_control,-305.850985582981,21.2058078062393,-305.850985582981,-305.850985582981,21.2058078062393,21.2058078062393,1.02,1,0
BUS_39__PILOT_39__AGGREGATE_PV_GENERATOR,40,39,39,aggregate_pv_generator,combined_pq_control,462.62753682638,128.220554484081,313.168007543952,462.727682174755,-321.553300456227,346.240890583641,1.02,5,0
BUS_76__PILOT_76__CONTROLLABLE_Q_DEVICE,41,76,76,controllable_q_device,combined_pq_control,0,8.76591225101527,0,0,0,36.5850476102748,1.01,1,0
BUS_38__PILOT_38__AGGREGATE_PV_GENERATOR,42,38,38,aggregate_pv_generator,combined_pq_control,358.613965392651,-24.8705173016563,1.46340190441099,365.850476102748,-201.217761856511,256.095333271923,1.02,4,0
BUS_43__PILOT_43__BOUNDARY_IMPORT_EQUIVALENT,43,43,43,boundary_import_equivalent,combined_pq_control,365.406829830963,-252.576259158596,-634.593170169037,1365.40682983096,-252.576259158596,-252.576259158596,1.01666666666667,3,1
BUS_56__PILOT_56__BOUNDARY_IMPORT_EQUIVALENT,44,56,56,boundary_import_equivalent,combined_pq_control,265.241595174492,-25.5941253483695,265.241595174492,265.241595174492,-25.5941253483695,-25.5941253483695,1.02,2,0
