candidate_id,mode,gilboa_leeds_scale,pleasant_wood_scale,wood_millwood_scale,lower_hudson_b_fraction,train_interface_objective,holdout_interface_objective,all_interface_objective,regularization_term,selection_objective,train_pf_success_count,holdout_pf_success_count,all_pf_success_count,max_abs_interface_residual_mw,min_voltage_pu,max_voltage_pu,max_voltage_violation_count,max_branch_overload_count,max_branch_overload_mva,max_generator_p_violation_count,max_generator_q_violation_count,max_external_schedule_error_mw
PERF_GL1p6_PV0p85_WM1_B1,perform_scaled,1.6,0.85,1,1,0.125691661471445,0.103227103124187,0.228918764595633,0.00123657906974633,0.126928240541191,4,2,6,429.805364680413,0.898391385723968,1.11379096665922,3,1,166.193767832336,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p85_WM0p8_B1,perform_scaled,1.6,0.85,0.8,1,0.125462363180901,0.102049252613221,0.227511615794122,0.00148554429221191,0.126947907473113,4,2,6,425.306494634042,0.901226403298564,1.11377572852767,3,1,166.170825197149,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p7_WM1_B1,perform_scaled,1.6,0.7,1,1,0.125281786505827,0.101220041526138,0.226501828031965,0.0017406021356893,0.127022388641516,4,2,6,422.144717520855,0.90337335891829,1.11379268536362,3,1,166.153477638894,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p7_WM0p8_B1,perform_scaled,1.6,0.7,0.8,1,0.125034752248884,0.100002652985265,0.22503740523415,0.00198956735815489,0.127024319607039,4,2,6,417.405344624408,0.906365063044522,1.11377535542552,3,1,166.129342611056,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p85_WM1_B0p75,perform_scaled,1.6,0.85,1,0.75,0.125795673867939,0.103469115731253,0.229264789599192,0.00136157906974633,0.127157252937685,4,2,6,430.603275935523,0.897354136315507,1.11368608932537,3,1,166.202172051469,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p85_WM0p8_B0p75,perform_scaled,1.6,0.85,0.8,0.75,0.125561065219406,0.102272620070883,0.22783368529029,0.00161054429221192,0.127171609511618,4,2,6,426.048295606378,0.900247882203772,1.11367556139824,3,1,166.178739381259,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p7_WM0p8_B0p75,perform_scaled,1.6,0.7,0.8,0.75,0.125130894307208,0.100209145238036,0.225340039545243,0.00211456735815489,0.127245461665362,4,2,6,418.09890489311,0.905421056779553,1.11367651929896,3,1,166.136953441641,1,3,1.13686837721616e-13
PERF_GL1p6_PV0p7_WM1_B0p75,perform_scaled,1.6,0.7,1,0.75,0.125383549942614,0.101444969809168,0.226828519751783,0.0018656021356893,0.127249152078304,4,2,6,422.894465285633,0.902368888200324,1.11368881235598,3,1,166.161590969844,1,3,1.13686837721616e-13
PERF_GL1p4_PV0p85_WM1_B1,perform_scaled,1.4,0.85,1,1,0.126582767702432,0.102809433158163,0.229392200860595,0.000698129842309921,0.127280897544742,4,2,6,426.400498923052,0.900677711395768,1.11351365347477,3,1,166.705332542026,1,3,1.13686837721616e-13
PERF_GL1p4_PV0p85_WM0p8_B1,perform_scaled,1.4,0.85,0.8,1,0.126355262370137,0.101663637848483,0.22801890021862,0.000947095064775508,0.127302357434913,4,2,6,421.986042695643,0.903430093331881,1.11349685405428,3,1,166.682326173598,1,3,1.13686837721616e-13
