branch_index,reduced_from_bus,reduced_to_bus,reduced_from_name,reduced_to_name,branch_classification,physical_circuit_id,corridor_name,source_circuit_id,source_branch_index,source_from_bus,source_to_bus,source_from_name,source_to_name,source_to_reduced_flow_sign,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,mapping_confidence,parameter_source
1,37,38,NEW SEATHED,GILBOA,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0016,0.0163,0.25,2500,0,0,unmapped,reduced-network aggregate or equivalent
2,37,39,NEW SEATHED,LEEDS,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0008,0.0074,0.48,2500,0,0,unmapped,reduced-network aggregate or equivalent
3,37,40,NEW SEATHED,NEW SEATHED,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0009,0.0315,0.06,2500,0,0,unmapped,reduced-network aggregate or equivalent
4,37,43,NEW SEATHED,EDIC,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0013,0.0188,1.31,2500,0,0,unmapped,reduced-network aggregate or equivalent
5,38,69,GILBOA,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0043,0.0485,0.79,2500,0,0,unmapped,reduced-network aggregate or equivalent
6,39,73,LEEDS,PLEASANT VLY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0019,0.0183,0.29,2500,0,0,unmapped,reduced-network aggregate or equivalent
7,39,73,LEEDS,PLEASANT VLY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0019,0.0183,0.29,2500,0,0,unmapped,reduced-network aggregate or equivalent
8,40,44,NEW SEATHED,PORTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.008,0.053,0.4,2500,0,0,unmapped,reduced-network aggregate or equivalent
9,41,42,ROTTERDAM,ALBANY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0018,0.0089,0.07,2500,0,0,unmapped,reduced-network aggregate or equivalent
10,41,45,ROTTERDAM,PORTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0776,0.2241,0.13,2500,0,0,unmapped,reduced-network aggregate or equivalent
11,43,44,EDIC,PORTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.011,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
12,43,50,EDIC,CLAY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0025,0.0268,0.4,2500,0,0,unmapped,reduced-network aggregate or equivalent
13,43,50,EDIC,CLAY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0025,0.0268,0.4,2500,0,0,unmapped,reduced-network aggregate or equivalent
14,44,45,PORTER,PORTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.0205,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
15,44,48,PORTER,MOSES E,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.015,0.105,0.79,2500,0,0,unmapped,reduced-network aggregate or equivalent
16,45,46,PORTER,COLTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.1235,0.3548,0.16,2500,0,0,unmapped,reduced-network aggregate or equivalent
17,45,51,PORTER,CLAY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0605,0.1896,0.08,2500,0,0,unmapped,reduced-network aggregate or equivalent
18,45,71,PORTER,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.1751,0.5575,0.12,2500,0,0,unmapped,reduced-network aggregate or equivalent
19,46,47,COLTON,MOSES W,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0632,0.121,0.05,2500,0,0,unmapped,reduced-network aggregate or equivalent
20,46,49,COLTON,PLATTSBURGH,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.164,0.578,0.06,2500,0,0,unmapped,reduced-network aggregate or equivalent
21,47,48,MOSES W,MOSES E,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.033,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
22,50,51,CLAY,CLAY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.0207,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
23,50,52,CLAY,ROCHESTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.002,0.022,1.28,2500,0,0,unmapped,reduced-network aggregate or equivalent
24,51,53,CLAY,ROCHESTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0844,0.2161,0.22,2500,0,0,unmapped,reduced-network aggregate or equivalent
25,51,72,CLAY,LAPEER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0051,0.0232,0.3,2500,0,0,unmapped,reduced-network aggregate or equivalent
26,52,53,ROCHESTER,ROCHESTER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0014,0.0388,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
27,53,55,ROCHESTER,NIAGARA E,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.03,0.107,0.3,789.941803,0,0,unmapped,reduced-network aggregate or equivalent
28,53,65,ROCHESTER,GESONIDGE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.035,0.08,0.05,2500,0,0,unmapped,reduced-network aggregate or equivalent
