metric,value,unit
raw_two_winding_transformers,144,records
converted_nonunity_taps,1,records
converted_phase_shifts,0,records
raw_fixed_shunts,0,records
raw_switched_shunts,34,records
converted_nonzero_bus_shunts,20,records
