case_id,case_group,scenario_id,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,status,note,scaled_branch_count,added_device_count,boundary_target_p_mw,boundary_target_q_mvar,opf_success,opf_raw_info,objective,classic_interface_objective,balanced_interface_objective,max_abs_interface_residual_mw,mean_abs_interface_residual_mw,bus_count,branch_count,gen_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,zone_j_equiv_pg_mw,zone_j_equiv_pmax_mw,zone_j_fraction_pmax_used,s4_equiv_pg_mw,s4_equiv_pmax_mw,s4_fraction_pmax_used,s4_e_equiv_pg_mw,s4_f_equiv_pg_mw,s4_g_equiv_pg_mw,s4_k_equiv_pg_mw,min_voltage,max_voltage,voltage_bound_count_high,voltage_bound_count_low,branch_overload_count,max_branch_overload_mva,central_east_residual_mw,total_east_residual_mw,upny_coned_residual_mw,dunwoodie_south_residual_mw,moses_south_residual_mw,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,ok,,12,14,92.7889737289091,23.2551088959784,1,1,790583.566833611,2.79463559801387,1.11985181848514,1111.22631418121,752.052012141733,49,81,43,10902.2197987,1845.27221376401,11326.4762018373,3113.9872932414,2977.9993153304,3000,0.992666438443467,835.493408558809,6200,0.134757001380453,0,33.6137103419507,324.027866336398,477.851831880461,0.9,1.1,14,1,0,0,595.073523192155,604.586357835564,-881.157465558391,-1111.22631418121,568.216399941346,1669.45385202535,1005.86829213692,-97.4920122084876
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,1,ok,,12,14,1461.85190208034,366.374621967386,1,1,547177.74794373,37.7451768446349,1.11492566734053,1063.54779376813,626.04216491439,49,81,43,10902.2197987,1832.47457485567,11188.4178772409,2874.49931636494,2298.76647046058,3000,0.766255490153526,0,6200,0,0,0,0,0,0.98068373428123,1.1,12,0,0,4.54774635727517e-08,579.125819017693,112.652736946496,-769.891073770385,-1063.54779376813,604.993401069249,1998.35047320727,1416.13817326808,224.258669863811
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,120,160,160,160,160,0.8,1,ok,,12,14,82.3046423956917,20.6274877783239,1,1,737096.710918817,1.64280175824956,0.692112439335085,2722.88089880259,1541.38830772785,49,81,43,10902.2197987,1949.00701812996,11000.8681595576,1346.02019627468,2952.32232949232,3000,0.984107443164107,538.44168296954,6200,0.0868454327370225,0,0,201.412101215055,337.029581754485,1.05481815204196,1.1,11,0,0,0,-628.220994391994,-1692.55161124172,-2650.86517763569,-2722.88089880259,-12.4228565672493,1468.86334318911,1294.75038090997,450.884680409287
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,120,160,160,160,160,0.8,1,ok,,12,14,-47.771236693892,-11.9726004800706,1,1,815777.905465614,2.63243655022975,1.0988125237776,1071.46645988143,757.092661536733,49,81,43,10902.2197987,1854.49425179317,11333.7683266725,3210.74852076663,3000,3000,1,964.159351964047,6200,0.155509572897427,0,40.1705181355731,390.465557026474,533.523276802,0.9,1.1,14,1,0,0,680.518825472244,683.285761514623,-843.665037050581,-1071.46645988143,506.527223764789,1744.77719410729,1089.16127862066,-9.29396366064802
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S5_2025_HIGH_TOTAL_EAST_PUBLIC,120,160,160,160,160,0.8,1,ok,,12,14,420.059642000211,105.276869922714,1,1,750124.852858787,1.79801059244695,0.848418527706656,991.001198635544,643.857015032065,49,81,43,10902.2197987,1848.12780101926,11400.5781837247,3912.69950575278,2944.09563876974,3000,0.981365212923245,624.369922166717,6200,0.100704826155922,0,0,211.05989258892,413.310029577797,0.9,1.1,16,1,0,0,756.514040671514,183.159339225865,-817.233887044321,-991.001198635544,471.376609583079,2098.37919477394,1184.03957292353,59.4499635974558
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,S6_2025_LOW_TOTAL_EAST_PUBLIC,120,160,160,160,160,0.8,1,ok,,12,14,-389.215064635112,-97.546490151821,1,1,811164.116215213,53.4505484223192,8.19554090902943,1221.61546293311,774.650489431969,49,81,43,10902.2197987,1869.01737679448,10983.5321443948,927.465244318702,2965.17474407377,3000,0.988391581357923,979.772960256176,6200,0.158027896815512,44.8698426526182,151.804933440235,364.275751273297,418.822432890026,1.07097179004371,1.1,9,0,0,0,577.666412275723,1221.61546293311,-534.846779979247,-944.688624923883,594.435167047884,896.048933501269,715.732030393663,-170.301920652216
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.8,0.75,ok,,12,14,92.7889737289091,23.2551088959784,1,1,789907.16421341,2.73010803727339,1.0920709611065,1082.95607492938,743.094021055574,49,81,43,10902.2197987,1845.27221376401,11323.5241341147,3093.77461981831,2979.27485360722,3000,0.993091617869073,831.225539965485,6200,0.134068635478304,0,40.7446141838133,339.686324186248,450.794601595424,0.9,1.1,13,1,0,0,594.634636430906,611.830737608262,-857.792214401478,-1082.95607492938,568.256441907844,1676.69823179805,1029.23354329383,-69.2217729566597
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.8,0.75,ok,,12,14,1461.85190208034,366.374621967386,1,1,546437.574486407,37.7133800250174,1.10329140372811,1038.98146412964,620.838567687529,49,81,43,10902.2197987,1832.47457485567,11183.5034952272,2836.55728237073,2293.85208844687,3000,0.764617362815623,0,6200,0,0,0,0,0,0.981197472949126,1.1,11,0,0,6.3230118030333e-08,578.960939285499,112.699555722537,-768.5577758323,-1038.98146412964,604.993103467671,1998.39729198331,1417.47147120616,248.824999502302
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,120,160,160,160,160,0.8,0.75,ok,,12,14,82.3046423956917,20.6274877783239,1,1,736707.279884163,1.6326380258859,0.687138148491401,2709.51832700711,1536.97587548506,49,81,43,10902.2197987,1949.00701812996,10998.7161882107,1327.35542000598,2952.0976239709,3000,0.984032541323634,536.514417144072,6200,0.0865345834103343,0,0,209.419166436169,327.095250707904,1.05481812221907,1.1,10,0,0,0,-628.227101542958,-1692.55163340859,-2642.15954290293,-2709.51832700711,-12.4227725637036,1468.86332102224,1303.45601564273,464.247252204772
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,120,160,160,160,160,0.8,0.75,ok,,12,14,-47.771236693892,-11.9726004800706,1,1,815064.120991904,2.57542162851457,1.07170445836122,1042.297586274,747.791070295438,49,81,43,10902.2197987,1854.49425179317,11330.7141361822,3190.35755805356,3000,3000,1,961.069348437472,6200,0.15501118523185,0,47.6920835403447,406.845040704221,506.532224192907,0.9,1.1,13,1,0,0,680.048745784327,690.913312163666,-819.132598094524,-1042.297586274,506.563109160671,1752.40474475634,1113.69371757672,19.8749099467794
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,S5_2025_HIGH_TOTAL_EAST_PUBLIC,120,160,160,160,160,0.8,0.75,ok,,12,14,420.059642000211,105.276869922714,1,1,749250.419403525,1.74752026633116,0.829719827433129,965.885071033986,635.778454738054,49,81,43,10902.2197987,1848.12780101926,11396.055020154,3877.77917925644,2948.25033363571,3000,0.982750111211905,615.500163471648,6200,0.0992742199147819,0,0,225.18210460931,390.318058862338,0.9,1.1,15,1,0,0,756.648567806653,183.343786560693,-801.454667136794,-965.885071033986,471.560181152142,2098.56364210877,1199.81879283106,84.5660911990136
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,S6_2025_LOW_TOTAL_EAST_PUBLIC,120,160,160,160,160,0.8,0.75,ok,,12,14,-389.215064635112,-97.546490151821,1,1,810819.774907399,54.2272484421245,8.35653938298604,1237.17670918538,769.692624862706,49,81,43,10902.2197987,1869.01737679448,10982.2982995165,919.816173575026,2964.79807441539,3000,0.988266024805132,978.915785036166,6200,0.157889642747769,49.9502440913684,162.311384901562,369.675572053631,396.978583989604,1.0709893726895,1.1,9,0,0,0,582.010068949499,1237.17670918538,-513.930448238184,-920.911313742173,594.434584198297,911.610179753538,736.648362134726,-146.524609470506
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X1,main_grid,S1_2025_SUMMER_PEAK_PUBLIC,120,160,160,160,160,0.9,1,ok,,12,14,92.7889737289091,23.2551088959784,1,1,720875.092125893,3.67333973644934,1.42792956964232,1040.6397586578,835.468388115345,49,81,43,10902.2197987,1845.27221376401,11381.9339972425,3705.75531967099,2899.90416552311,3000,0.966634721841038,469.000996181849,6200,0.0756453219648143,0,0,132.623690855974,336.377305325875,0.9,1.1,15,1,0,0,934.174452505322,1040.6397586578,-653.553173900885,-991.694684778354,557.279870734363,2105.50725284759,1233.47258379442,22.0396171943656
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X1,main_grid,S2_2025_WINTER_PEAK_PUBLIC,120,160,160,160,160,0.9,1,ok,,12,14,1461.85190208034,366.374621967386,1,1,504740.55060508,37.7306137159207,1.1191227109313,804.949332797849,620.092234134925,49,81,43,10902.2197987,1832.47457485567,11264.3175309177,3448.67493891799,2015.60321828681,3000,0.671867739428938,0,6200,0,0,0,0,0,0.955122747093534,1.1,13,0,0,6.32322780802497e-08,804.949332797849,418.492346555472,-478.520571381127,-793.445952755634,605.052967184543,2304.19008281624,1707.50867565733,494.360510876306
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X1,main_grid,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,120,160,160,160,160,0.9,1,ok,,12,14,82.3046423956917,20.6274877783239,1,1,666716.325729917,1.19551012783688,0.528944037270746,2559.62863486108,1281.45156118624,49,81,43,10902.2197987,1949.00701812996,11060.5782533227,1971.67035527967,2845.19017303435,3000,0.948396724344784,193.683933192697,6200,0.0312393440633382,0,0,49.6629586869274,144.020974505769,1.05477180256745,1.1,13,0,0,0,-283.415361051461,-1212.47221488038,-2339.39611783901,-2559.62863486108,-12.345477299284,1948.94273955045,1606.21944070665,614.136944350796
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X1,main_grid,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,120,160,160,160,160,0.9,1,ok,,12,14,-47.771236693892,-11.9726004800706,1,1,746146.515221176,3.74278078824587,1.4647602320629,1110.55723301098,844.36669282026,49,81,43,10902.2197987,1854.49425179317,11390.1412997326,3817.3155133092,2932.33237179686,3000,0.977444123932287,589.480744904589,6200,0.0950775395007402,0,0,190.245927075194,399.234817829395,0.9,1.1,15,1,0,0,1018.54341715821,1110.55723301098,-633.903853898641,-964.50962639536,494.319333638109,2172.04866560365,1298.9224617726,97.6628698254205
