model_branch_row,model_from_bus,model_to_bus,overlay_path_id,npcc_attachment_from_bus,npcc_attachment_to_bus,source_model,source_case,source_branch_row,source_from_bus,source_to_bus,source_circuit_id,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,branch_classification,construction_method,dlr_eligible,dlr_data_status,mapping_confidence,residual_overlap_status,implementation_status
301,1501,600,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1263,1501,600,PERFORM_ROW_1263,0.00131,0.00653,0.04945,562,562,562,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
302,1501,600,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1264,1501,600,PERFORM_ROW_1264,0.00131,0.00653,0.04945,562,562,562,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
303,601,628,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1265,601,628,PERFORM_ROW_1265,0.00085,0.00423,0.03207,311,311,311,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
304,601,628,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1266,601,628,PERFORM_ROW_1266,0.00085,0.00423,0.03207,311,311,311,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
305,601,628,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1267,601,628,PERFORM_ROW_1267,0.00085,0.00423,0.03207,311,311,311,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
306,1493,601,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1269,1493,601,PERFORM_ROW_1269,0.0008,0.00401,0.03037,562,562,562,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
307,1493,601,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1270,1493,601,PERFORM_ROW_1270,0.0008,0.00401,0.03037,562,562,562,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
308,1493,601,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1271,1493,601,PERFORM_ROW_1271,0.0008,0.00401,0.03037,562,562,562,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
309,1493,601,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1272,1493,601,PERFORM_ROW_1272,0.0008,0.00401,0.03037,562,562,562,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
310,626,1506,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1336,626,1506,PERFORM_ROW_1336,0.05562,0.12645,0.00247,250,250,250,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
311,626,1506,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1337,626,1506,PERFORM_ROW_1337,0.05562,0.12645,0.00247,250,250,250,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
312,628,1506,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1340,628,1506,PERFORM_ROW_1340,0.00302,0.10864,0,500,500,500,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
313,1136,1532,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2007,1136,1532,PERFORM_ROW_2007,0.0015,0.0625,0,800,800,800,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
314,1136,1532,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2008,1136,1532,PERFORM_ROW_2008,0.0015,0.0625,0,800,800,800,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
315,1136,1532,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,2009,1136,1532,PERFORM_ROW_2009,0.0015,0.0625,0,800,800,800,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
