x_multiplier,device_profile,case_count,success_count,min_voltage_seen,max_voltage_seen,max_rate_a_overload_mva_seen,max_added_device_pg_mw_seen,max_abs_added_device_qg_mvar_seen
1,none,6,0,0.9,1.1,0,0,0
1,p_supply,6,6,0.9,1.1,0,2416.47537371782,0
1,q_support,6,0,0.9,1.1,0,1.15921037067473e-10,1517.18876190639
1,pq_supply,6,6,0.9,1.1,0,2270.1109580873,1371.80934810964
1,pq_supply_vpenalty,6,6,0.9,1.1,0,2270.85205690949,1371.50733089349
0.75,none,6,0,0.9,1.1,0,0,0
0.75,p_supply,6,6,0.9,1.1,0,2358.49047902838,0
0.75,q_support,6,0,0.9,1.1,0,73.3732327163081,1502.00603158433
0.75,pq_supply,6,6,0.9,1.1,0,2223.58782761107,1376.17281576401
0.75,pq_supply_vpenalty,6,6,0.9,1.1,0,2224.29151451387,1376.15063154118
0.5,none,6,0,0.9,1.1,0,0,0
0.5,p_supply,6,6,0.9,1.1,0,2260.71751281193,0
0.5,q_support,6,0,0.9,1.1,0,1.14401307786842,1491.29480288358
0.5,pq_supply,6,6,0.9,1.1,0,2143.00135734187,1387.23739069976
0.5,pq_supply_vpenalty,6,6,0.9,1.1,0,2143.7064571616,1387.11973700838
0.25,none,6,0,0.9,1.1,0,0,0
0.25,p_supply,6,6,0.9,1.1,0,2052.54533324847,0
0.25,q_support,6,0,0.9,1.1,0,1.05456067991483e-09,1494.42823502563
0.25,pq_supply,6,6,0.9,1.1,0,1961.79790657017,1427.38313447878
0.25,pq_supply_vpenalty,6,6,0.9,1.1,0,1962.55582313819,1427.46305740415
