cut,zone_from,zone_to,n_circuits,sum_rate_a_mva,sum_rate_a_hv_mva,snapshot_flow_mw,x_parallel_pu
A-B,A,B,15,5581,3648,906.938336254752,0.00300570965442735
A-C,A,C,2,620,453,67.4510020167526,0.0148566148107715
B-C,B,C,11,3935,2432,-126.361530722497,0.0038025457333673
C-E,C,E,14,7583,6080,1878.99754511978,0.00303613220100312
D-E,D,E,19,8937,6265,1473.99261950269,0.000356570001582356
D-F,D,F,3,348,0,109.000308792361,0.0617077058796217
E-F,E,F,10,5389,4554,1841.58146509153,0.00452069966258081
E-G,E,G,7,3054,2432,1231.14989401841,0.00614442469335736
F-G,F,G,10,4604,3648,2421.26330990925,0.00341230404647525
G-H,G,H,10,10243,8314,3996.54675903689,0.000890364284425727
H-I,H,I,6,7296,7296,3435.84496627153,0.000948132022419688
I-J,I,J,8,5804,2432,1024.62248298181,0.000932162279644196
I-K,I,K,4,3850,3600,1086.12677617548,0.0030421849355144
J-K,J,K,12,2950,0,-614.175047442705,0.00258600762057061
