audit_group,scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,UPNY_ConEd,3679.56347670028,3945.61555854566,5647.97126859058,-266.052081845382,2999.1759695476,fixed_interface_scale,0.00786917906333163
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.81,Dunwoodie_South,2881.59868707198,3173.76557921188,4534.14796431356,-292.166892139904,1935.84206726617,fixed_interface_scale,0.0227783444197391
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,Dysinger_East,210.859785966813,345.442933820289,3154.18988821813,-134.583147853476,1231.31610688274,fixed_interface_scale,0.0119465427934412
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,West_Central,-21.8519597262566,444.780201612359,9855.85771634158,-466.632161338616,4634.5681465926,fixed_interface_scale,0.0101374982275636
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,Moses_South,-60.2517438619024,-18.0281665798467,1577.09494410906,-42.2235772820557,1124.88579191751,fixed_interface_scale,0.00140894223284575
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,Central_East,1434.39544708312,1604.47725507616,2577.56454927825,-170.081807993036,1392.92634591109,fixed_interface_scale,0.0149093744475034
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,Total_East_proxy,2901.90168530142,3161.41495443083,7441.91676751464,-259.513269129412,2905.13643967645,fixed_interface_scale,0.00797969091083806
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,UPNY_ConEd,3679.13939670269,3945.61555854566,5647.97126859058,-266.476161842973,2999.1759695476,fixed_interface_scale,0.00789428558449612
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8125,Dunwoodie_South,2881.73230039779,3173.76557921188,4534.14796431356,-292.033278814089,1935.84206726617,fixed_interface_scale,0.0227575152668536
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,Dysinger_East,210.755450147115,345.442933820289,3154.18988821813,-134.687483673174,1231.31610688274,fixed_interface_scale,0.0119650731296975
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,West_Central,-21.9730717448338,444.780201612359,9855.85771634158,-466.753273357193,4634.5681465926,fixed_interface_scale,0.0101427611832985
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,Moses_South,-60.6849848569544,-18.0281665798467,1577.09494410906,-42.6568182771077,1124.88579191751,fixed_interface_scale,0.00143800387003653
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,Central_East,1433.74126838947,1604.47725507616,2577.56454927825,-170.735986686686,1392.92634591109,fixed_interface_scale,0.0150242856453159
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,Total_East_proxy,2901.61047100387,3161.41495443083,7441.91676751464,-259.804483426957,2905.13643967645,fixed_interface_scale,0.00799760987061834
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,UPNY_ConEd,3678.73245185476,3945.61555854566,5647.97126859058,-266.883106690896,2999.1759695476,fixed_interface_scale,0.00791841526133705
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,Dunwoodie_South,2881.87313902124,3173.76557921188,4534.14796431356,-291.892440190643,1935.84206726617,fixed_interface_scale,0.0227355700675463
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,Dysinger_East,209.383666093002,345.442933820289,3154.18988821813,-136.059267727287,1231.31610688274,fixed_interface_scale,0.0122100414269931
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,West_Central,-23.0482834274957,444.780201612359,9855.85771634158,-467.828485039855,4634.5681465926,fixed_interface_scale,0.0101895446854875
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,Moses_South,-60.3320899909128,-18.0281665798467,1577.09494410906,-42.3039234110661,1124.88579191751,fixed_interface_scale,0.00141430941238155
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,Central_East,1434.91040163913,1604.47725507616,2577.56454927825,-169.566853437027,1392.92634591109,fixed_interface_scale,0.0148192292682311
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,Total_East_proxy,2901.36088061495,3161.41495443083,7441.91676751464,-260.054073815884,2905.13643967645,fixed_interface_scale,0.00801298362673396
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,UPNY_ConEd,3678.3414266568,3945.61555854566,5647.97126859058,-267.274131888857,2999.1759695476,fixed_interface_scale,0.00794163567579957
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,Dunwoodie_South,2882.02051805534,3173.76557921188,4534.14796431356,-291.74506115654,1935.84206726617,fixed_interface_scale,0.0227126170890885
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,Dysinger_East,210.768323954008,345.442933820289,3154.18988821813,-134.674609866281,1231.31610688274,fixed_interface_scale,0.0119627859286135
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,West_Central,-21.9934563997439,444.780201612359,9855.85771634158,-466.773658012103,4634.5681465926,fixed_interface_scale,0.0101436471383125
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,Moses_South,-60.7460856672241,-18.0281665798467,1577.09494410906,-42.7179190873774,1124.88579191751,fixed_interface_scale,0.00144212635886555
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,Central_East,1433.18633134686,1604.47725507616,2577.56454927825,-171.290923729305,1392.92634591109,fixed_interface_scale,0.0151221101566789
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,Total_East_proxy,2901.01298334228,3161.41495443083,7441.91676751464,-260.401971088554,2905.13643967645,fixed_interface_scale,0.00803443731735759
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,UPNY_ConEd,3677.89994864587,3945.61555854566,5647.97126859058,-267.715609899789,2999.1759695476,fixed_interface_scale,0.00796789301027775
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.82,Dunwoodie_South,2882.134016949,3173.76557921188,4534.14796431356,-291.631562262883,1935.84206726617,fixed_interface_scale,0.0226949485433808
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,Dysinger_East,210.7773614499,345.442933820289,3154.18988821813,-134.665572370389,1231.31610688274,fixed_interface_scale,0.0119611804292362
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,West_Central,-22.0004773836142,444.780201612359,9855.85771634158,-466.780678995973,4634.5681465926,fixed_interface_scale,0.0101439522922874
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,Moses_South,-60.7753796929364,-18.0281665798467,1577.09494410906,-42.7472131130897,1124.88579191751,fixed_interface_scale,0.00144410492770199
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,Central_East,1432.914970832,1604.47725507616,2577.56454927825,-171.562284244161,1392.92634591109,fixed_interface_scale,0.0151700612558088
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,Total_East_proxy,2900.72524441012,3161.41495443083,7441.91676751464,-260.68971002071,2905.13643967645,fixed_interface_scale,0.00805220291000652
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,UPNY_ConEd,3677.48849974397,3945.61555854566,5647.97126859058,-268.127058801689,2999.1759695476,fixed_interface_scale,0.00799240334856398
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8225,Dunwoodie_South,2882.26261217292,3173.76557921188,4534.14796431356,-291.502967038963,1935.84206726617,fixed_interface_scale,0.0226749382364181
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,Dysinger_East,210.888751962713,345.442933820289,3154.18988821813,-134.554181857576,1231.31610688274,fixed_interface_scale,0.0119414008975048
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,West_Central,-21.9050585401659,444.780201612359,9855.85771634158,-466.685260152525,4634.5681465926,fixed_interface_scale,0.0101398054828404
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,Moses_South,-60.4340885140759,-18.0281665798467,1577.09494410906,-42.4059219342292,1124.88579191751,fixed_interface_scale,0.00142113768590854
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,Central_East,1432.99638684809,1604.47725507616,2577.56454927825,-171.480868228065,1392.92634591109,fixed_interface_scale,0.0151556665664664
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,Total_East_proxy,2900.42741078666,3161.41495443083,7441.91676751464,-260.987543644171,2905.13643967645,fixed_interface_scale,0.00807061243396175
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,UPNY_ConEd,3677.06703145367,3945.61555854566,5647.97126859058,-268.548527091993,2999.1759695476,fixed_interface_scale,0.00801754957657571
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.825,Dunwoodie_South,2882.38194743398,3173.76557921188,4534.14796431356,-291.383631777895,1935.84206726617,fixed_interface_scale,0.022656376738894
