mutation_id,expected_failed_gate,actual_failed_gate,exception_identifier,pass
phase1a_report_changed_after_phase1b,phase1a_report_rebuild_identity,s13_metadata_coherence|phase1a_report_rebuild_identity,,1
duplicate_bus_map_key_cross_phase,s13_metadata_coherence,s13_metadata_coherence|added_physical_r_x_b_and_ratings|added_bus_source_and_npcc_area_mapping|attachment_name_match|phase1a_report_rebuild_identity|no_s12_kron_admittance,,1
cumulative_bus_row_without_phase_owner,s13_metadata_coherence,s13_metadata_coherence|added_bus_source_and_npcc_area_mapping|phase1a_report_rebuild_identity,,1
phase1b_branch_omitted_from_cumulative,s13_metadata_coherence,s13_metadata_coherence|added_physical_r_x_b_and_ratings|phase1a_report_rebuild_identity|no_s12_kron_admittance,,1
phase1b_attachment_mapping_changed,added_physical_r_x_b_and_ratings,added_physical_r_x_b_and_ratings|added_bus_source_and_npcc_area_mapping|no_s12_kron_admittance,,1
unregistered_parent_branch_r_x_b_changed,changed_parent_r_x_b_registered,changed_parent_r_x_b_registered,,1
upny_wood_millwood_series_member_added,wood_street_millwood_series_rows_absent,source_row_set_exact|six_operator_members_exact|three_support_exclusions_exact|raw_circuit_identity_exact|cutset_endpoint_sides_exact|selected_edges_cross_once|same_side_edges_excluded|local_boundary_membership_exact|wood_street_millwood_series_rows_absent|no_duplicate_series_path|official_metered_ends_exact|operator_signs_exact|orientation_invariant_operator,,1
upny_orientation_metadata_mismatch,official_metered_ends_exact,official_metered_ends_exact,,1
upny_exact_public_flag_promoted,exact_public_operator_false,exact_public_operator_false,,1
