scenario_id,x_multiplier,zone_j_total_pmax_mw,zone_j_q_abs_ratio,eta,status,note,scaled_branch_count,opf_success,opf_raw_info,objective,bus_count,branch_count,gen_count,zone_j_report_count,zone_j_result_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,zone_j_equiv_pg_mw,zone_j_equiv_qg_mvar,zone_j_equiv_pmax_mw,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,max_added_branch_loading_pct,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S1_2025_SUMMER_PEAK_PUBLIC,1,0,0,1,ok,,12,0,0,258092.778070102,49,81,31,0,0,10902.2197987,1716.5,9156.03663505143,5578.31076367138,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,18,1,0,0,64.7708335542836,2772.86768854111,2019.3113834595,1717.64261575708,3212.7009458401,1293.1249845546
S2_2025_WINTER_PEAK_PUBLIC,1,0,0,1,ok,,12,0,0,259859.81866931,49,81,31,0,0,10902.2197987,1716.5,9629.61811227551,5132.76804489317,-1107.98572581365,-853.365467632651,0,0,0,0.900079708014848,1.09999778882556,2,0,0,0,66.3380716817247,2780.68424864501,2206.30371284736,2445.40634680287,2845.30616516039,886.484292463572
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0,1,ok,,12,0,0,257553.603594956,49,81,31,0,0,10902.2197987,1716.5,9400.81825592688,5569.65973069424,-1107.98572581365,-853.365467632651,0,0,0,0.900000082507725,1.0999999268973,11,1,0,0,63.5793929879993,2816.48449885785,2394.36386880828,2107.39050409659,3692.94995542079,660.238767736577
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0,1,ok,,12,0,0,257825.745649035,49,81,31,0,0,10902.2197987,1716.5,9040.32396037294,5604.11647381279,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,18,1,0,0,64.5530997593363,2792.63424477769,2042.13265004789,1736.68021655545,3319.29941065233,1326.72048291704
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,0,1,ok,,12,0,0,261105.373271483,49,81,31,0,0,10902.2197987,1716.5,9030.4169260624,5550.8958860975,-1107.98572581365,-853.365467632651,0,0,0,0.900115332399837,1.09998778603859,0,0,0,0,64.7923174492983,2740.66387554932,2042.99478593095,1825.00906899406,3340.97874824209,1286.20902467564
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,0,0,1,ok,,12,0,0,258059.902638978,49,81,31,0,0,10902.2197987,1716.5,9568.57093904769,5513.25843236644,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,18,1,0,0,64.6312765073572,2784.51186344297,2085.09610112113,1807.90957714475,3109.36834979528,1029.51162614536
S1_2025_SUMMER_PEAK_PUBLIC,1,3000,0,1,ok,,12,1,1,852077.207176955,49,81,34,3,3,10902.2197987,1716.5,11451.0601330131,5430.92887166347,-1107.98572581365,-853.365467632651,2315.76611268628,0,3000,0.9,1.1,18,1,0,0,65.6728116382044,2760.05228917238,2008.37549667077,1707.78959733797,999.075269863635,1289.32208601169
S2_2025_WINTER_PEAK_PUBLIC,1,3000,0,1,ok,,12,1,1,700633.094913672,49,81,34,3,3,10902.2197987,1716.5,11463.7685064622,5501.21195165667,-1107.98572581365,-853.365467632651,1764.95649497048,0,3000,0.9,1.1,17,1,0,0,64.500127541066,2664.9986943484,1973.23135503771,1651.64411584176,1195.94715213979,898.213826912357
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,3000,0,1,ok,,12,1,1,779152.361461052,49,81,34,3,3,10902.2197987,1716.5,11463.1594068632,5479.7486600169,-1107.98572581365,-853.365467632651,2057.84124045344,0,3000,0.9,1.1,18,1,0,0,64.3725726062268,2816.37665580112,2394.32585961497,2107.30692502533,1720.6550840421,658.188294054882
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,3000,0,1,ok,,12,1,1,883968.770574945,49,81,34,3,3,10902.2197987,1716.5,11450.9606661374,5444.07115372336,-1107.98572581365,-853.365467632651,2429.76077504158,0,3000,0.9,1.1,19,1,0,0,65.4218132210626,2781.36297838777,2032.66221736518,1728.23567009119,996.226435536012,1322.65033657523
