case_id,scenario_id,gen_index,bus_id,bus_name,zone,scheduled_pg_mw,opf_pg_mw,redispatch_mw
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,11,57,HUNTLEY,A,11.2619474910009,11.2612222840217,-0.000725206979167226
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,12,60,DUNKIRK,A,46.8321304474529,46.8320529887448,-7.74587081480149e-05
PERFORM_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,11,57,HUNTLEY,A,11.2619474910009,11.260342593061,-0.00160489793984731
PERFORM_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,12,60,DUNKIRK,A,46.8321304474529,46.8315892863045,-0.0005411611484476
PERFORM_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,13,61,DUNKIRK,A,104.052586575227,104.052510925954,-7.5649273199474e-05
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,42,ALBANY,F,382.837071334269,382.795518938167,-0.041552396101963
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2,47,MOSES W,D,943.525217233429,943.484450747259,-0.0407664861708099
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3,48,MOSES E,D,40.0008856208857,39.9597724403387,-0.0411131805470006
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,4,50,CLAY,C,1710.0865673893,1710.04795940732,-0.0386079819850238
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,5,51,CLAY,C,453.153892433176,453.115596520587,-0.0382959125889784
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,6,53,ROCHESTER,B,288.773724769062,288.734925302992,-0.0387994660701452
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,7,54,NIAGARA W,A,247.015806950134,246.977751263728,-0.0380556864052721
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,8,54,NIAGARA W,A,247.015806950134,246.977751263728,-0.0380556864052721
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9,55,NIAGARA E,A,247.015806950134,246.977683417586,-0.0381235325478428
