official_interface,reduced_interface_name,reduced_zone_boundary,detailed_perform_branch_set,metered_end_definition,status,note
Moses South,Moses_South,D-E,,,template,Populate exact 2019 Perform cutset and metered-end convention
Central East,Central_East,E-F,,,template,Populate exact 2019 Perform cutset and metered-end convention
Total East,Total_East_proxy,F-G plus any retained E-G paths,,,template,Populate exact 2019 Perform cutset and metered-end convention
UPNY-ConEd,UPNY_ConEd,G-H,,,template,Populate exact 2019 Perform cutset and metered-end convention
Millwood South,Millwood_South,H-I,,,template,Populate exact 2019 Perform cutset and metered-end convention
Dunwoodie South,Dunwoodie_South,I-J,,,template,Populate exact 2019 Perform cutset and metered-end convention
ConEd-LIPA,ConEd_LIPA_total,I-K and J-K,,,template,Populate exact 2019 Perform cutset and metered-end convention
