case_id,scenario_id,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar,at_qmin,at_qmax
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,742.892371366376,101.756508871492,641.135862494884,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450093185533,239.305299398635,-6.92824201780835,246.233541416443,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.848432079331,192.350311849952,-2.96924657906072,195.319558429013,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467210754986,499.999986578926,-4.94874429843453,504.94873087736,-500,500,0,1
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467212137939,-490.586158040476,-4.94874429843453,-485.637413742041,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.986326633401,-350.794875759496,-121.047533070407,-229.747342689089,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3028474725107,-262.158140398032,23.8853956683908,-286.043536066423,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.954771208766,207.700671482897,35.8280935025862,171.872577980311,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,-533.517833805468,101.756508871492,-635.27434267696,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450101593817,177.914144158636,-6.92824201780835,184.842386176444,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8484329254493,151.084247710667,-2.96924657906072,154.053494289728,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467215424155,499.755760060522,-4.94874429843453,504.704504358957,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467215424155,-410.048707327082,-4.94874429843453,-405.099963028647,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.986326633401,-274.72552765604,-121.047533070407,-153.677994585633,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3028474725107,-262.95682526267,23.8853956683908,-286.84222093106,-500,500,0,0
