audit_group,scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,slack_type,element_type,element_index,element_id,element_name,value,original_limit,slack,unit,weighted_cost
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.727304937382e-05,pu,272.7304937382
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.00057554012822946,pu,5755.4012822946
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.00112381322945506,pu,11238.1322945506
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.00167209234655825,pu,16720.9234655825
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.00222037747305645,pu,22203.7747305645
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247582,pu,27686.6860247582
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,present_limited_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493735991e-05,pu,272.730493735991
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229458,pu,5755.40128229458
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.00112381322945493,pu,11238.1322945493
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.0016720923465581,pu,16720.923465581
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.0022203774730565,pu,22203.774730565
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247582,pu,27686.6860247581
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,fixed_scenario_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493734978e-05,pu,272.730493734978
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229527,pu,5755.40128229527
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.00112381322945496,pu,11238.1322945496
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.001672092346558,pu,16720.92346558
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792956,0.99727148732,0.00222037747305634,pu,22203.7747305634
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247589,pu,27686.6860247589
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,cold,0,no_discretionary_q,0.825,VMAX,BUS,42,78,CE UG,0.99996206967825,0.99664509395,0.00331696572835043,pu,33169.6572835043
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247555,pu,27686.6860247555
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.00222037747305644,pu,22203.7747305644
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.00167209234655831,pu,16720.9234655831
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.0011238132294548,pu,11238.132294548
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229466,pu,5755.40128229466
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,present_limited_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493737935e-05,pu,272.730493737935
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247577,pu,27686.6860247577
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.00222037747305651,pu,22203.7747305651
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.00167209234655837,pu,16720.9234655837
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919111,0.99789788069,0.00112381322921845,pu,11238.1322921845
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229689,pu,5755.40128229689
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,fixed_scenario_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493737842e-05,pu,272.730493737842
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.825,VMAX,BUS,42,78,CE UG,0.99996206967825,0.99664509395,0.00331696572835043,pu,33169.6572835043
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247583,pu,27686.6860247583
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.0022203774730565,pu,22203.774730565
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.0016720923465583,pu,16720.923465583
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.0011238132294548,pu,11238.132294548
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229275,pu,5755.40128229275
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,warm,0,no_discretionary_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493735629e-05,pu,272.730493735629
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247582,pu,27686.6860247582
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.00222037747305645,pu,22203.7747305645
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.00167209234655825,pu,16720.9234655825
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.00112381322945506,pu,11238.1322945506
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.00057554012822946,pu,5755.4012822946
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,present_limited_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.727304937382e-05,pu,272.7304937382
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247582,pu,27686.6860247581
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792957,0.99727148732,0.0022203774730565,pu,22203.774730565
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.0016720923465581,pu,16720.923465581
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.00112381322945493,pu,11238.1322945493
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229458,pu,5755.40128229458
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,fixed_scenario_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493735991e-05,pu,272.730493735991
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.825,VMAX,BUS,42,78,CE UG,0.99996206967825,0.99664509395,0.00331696572835043,pu,33169.6572835043
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.8225,VMAX,BUS,42,78,CE UG,0.999726969237376,0.996958290635,0.00276866860247589,pu,27686.6860247589
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.82,VMAX,BUS,42,78,CE UG,0.999491874792956,0.99727148732,0.00222037747305634,pu,22203.7747305634
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.8175,VMAX,BUS,42,78,CE UG,0.999256786351458,0.997584684005,0.001672092346558,pu,16720.92346558
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.815,VMAX,BUS,42,78,CE UG,0.999021703919355,0.99789788069,0.00112381322945496,pu,11238.1322945496
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.8125,VMAX,BUS,42,78,CE UG,0.99878662750313,0.998211077375,0.000575540128229527,pu,5755.40128229527
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,decreasing,cold,0,no_discretionary_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493734978e-05,pu,272.730493734978
S1_PERTURBED_STARTS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,perturbed,1,present_limited_q,0.81,VMAX,BUS,42,78,CE UG,0.998551557109274,0.99852427406,2.72730493738286e-05,pu,272.730493738286
