case_id,scenario_id,bus_id,bus_name,positive_q_mvar,negative_q_mvar,net_q_mvar,absolute_q_mvar,positive_at_limit,negative_at_limit
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,6.15179893744979e-07,-5.14310396565836e-07,1.00869497179143e-07,1.12949029031082e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,5.63106774892042e-07,-5.63132321388991e-07,-2.55464969497011e-11,1.12623909628103e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,5.58662518023101e-07,-5.67602136922235e-07,-8.93961889913433e-09,1.12626465494534e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,6.39458439520217e-07,-4.93572905058752e-07,1.45885534461466e-07,1.13303134457897e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,5.55873212550859e-07,-5.70433695599321e-07,-1.45604830484623e-08,1.12630690815018e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,4.46922531343531e-07,-6.9960898525736e-07,-2.52686453913829e-07,1.14653151660089e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,5.12154696854076e-07,-6.17639718057734e-07,-1.05485021203658e-07,1.12979441491181e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,5.8621933799147e-07,-5.40687579029311e-07,4.55317589621592e-08,1.12690691702078e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,5.61806285375138e-07,-5.64435013641968e-07,-2.62872826683e-09,1.12624129901711e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,5.82672788959983e-07,-5.4404354884386e-07,3.86292401161224e-08,1.12671633780384e-06,0,0
