scenario_id,timestamp,variant,status,opf_success,opf_raw_info,objective,interface_objective,total_load_mw,total_generation_mw,losses_mw,min_voltage,max_voltage,voltage_bound_count,binding_branch_count,rate_a_overload_count,max_rate_a_overload_mva,branch80_loading_pct,branch190_loading_pct,moses_south_flow_mw,central_east_flow_mw,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw,gilboa_leeds_pf_mw,gilboa_leeds_qf_mvar,gilboa_leeds_pt_mw,gilboa_leeds_qt_mvar,gilboa_leeds_smax_mva,note
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,original_topology,ok,0,0,934957.742923398,3.11205476049596,30349.7613567,29307.5405610586,-1042.22079564139,0.903091187616184,1.0999044846082,0,0,2,54.9919820467307,27.0561170351513,100.036632798566,416.835269674912,1998.49777944318,2273.54321367374,2450.41972605567,1451.46308084231,1456.30436060961,NaN,NaN,NaN,NaN,NaN,
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,gilboa_leeds,ok,0,0,934593.569738465,2.77770448043116,30349.7613567,29322.7704979761,-1026.99085872389,0.900001156507644,1.09999971601991,11,0,4,115.774296203776,20.827611974578,100.010177479492,366.711211890643,1891.82099926167,2233.74698947536,2283.17292362275,1438.78976686065,1517.63378833108,632.038766801252,62.7699239813723,-626.562040283341,-28.6518831621382,635.148066277679,
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,original_topology,ok,0,0,942951.990429932,29.3376843596779,30349.7613567,30116.7039703179,-233.057386382123,0.9,1.1,42,3,0,2.02777613367289e-07,40.171945743971,100.000000008289,470.8178546589,2245.44959906037,2284.35605509856,2388.4931839432,1143.62471582342,1017.1836321744,NaN,NaN,NaN,NaN,NaN,
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,gilboa_leeds,ok,0,0,945913.854087016,30.1553198139843,30349.7613567,30266.0820910698,-83.6792656302132,0.9,1.1,41,3,0,1.96795610918343e-07,35.7023751914428,100.00000000829,477.509382983907,2269.34648248404,2459.28281278688,2502.07063133462,1246.15680167755,1017.69622791653,698.984352282814,62.4687999068336,-691.348178664827,10.7872301100836,701.770244238116,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,original_topology,ok,0,0,938690.104363256,3.88380508910998,30349.7613567,29532.9209678433,-816.840388856697,0.900000102418688,1.1,31,1,0,0,22.2421848940154,99.9999993417539,168.425472647978,1839.90604543702,2165.28140281023,2581.78261088856,1876.72006096854,723.213902259,NaN,NaN,NaN,NaN,NaN,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,gilboa_leeds,ok,0,0,911877.978146559,3.70739453510779,30349.7613567,29505.9161953886,-843.845161311398,0.914514378399218,1.09971593809211,0,0,3,381.079162469285,22.3973838369577,99.9021821284415,164.949809976103,1908.63336487442,2346.26091313031,2725.74148595347,1899.13763751089,727.837826119729,655.717613586548,60.6457295515287,-649.453367879269,-11.5095296882341,658.516129855963,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,original_topology,ok,0,0,913162.240565856,3.05908814737714,30349.7613567,29040.716011391,-1309.04534530896,0.911573456729264,1.09986761999939,0,0,1,0.704100242839104,19.9829928668906,100.090972460125,384.882711369583,1933.47454381843,2170.97405218579,2408.66874465479,1616.1266539423,1511.07303207247,NaN,NaN,NaN,NaN,NaN,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,gilboa_leeds,ok,0,0,937562.757861289,2.4902981325325,30349.7613567,29124.6676747982,-1225.09368190181,0.9,1.1,40,4,1,1.98037776044657e-06,31.7810213965056,100.000000006056,344.143726467802,1784.96858405207,2134.74249323837,2187.54476458994,1438.15469517064,1509.05051256731,605.617368606157,60.2775964366412,-600.639811283066,-34.3175332052549,608.609715490662,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,original_topology,ok,0,0,928215.015011591,0.909639812237305,30349.7613567,29173.1129516529,-1176.6484050471,0.910112215247375,1.09971550417354,0,0,3,61.4071051632826,20.1873456936833,100.012332848794,380.827097155126,1930.58283156503,2107.89131459856,2203.29265159088,1621.28549470218,1516.51348945168,NaN,NaN,NaN,NaN,NaN,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025-07-17 16:00,gilboa_leeds,ok,0,0,934291.106827755,0.698779473492792,30349.7613567,29172.7705868202,-1176.99076987976,0.9,1.1,39,5,2,2.74601939054264e-06,31.0237693474097,100.000000008287,372.753353620952,1828.31497876263,2103.67975433253,2192.79327068711,1474.54467121316,1509.39308189696,604.439129698783,55.7783518402302,-599.477227854588,-29.9658178125225,607.007319597577,
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,original_topology,ok,0,0,942420.308556848,537.698565762395,30349.7613567,29911.3050848926,-438.456271807441,0.900000652280916,1.09999995142039,30,1,0,0,29.8656587107384,99.9999948017136,411.220152261783,2109.89425636378,2290.26540500344,2463.8753603869,1120.9639232834,1197.03126639988,NaN,NaN,NaN,NaN,NaN,
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025-07-27 17:00,gilboa_leeds,ok,0,0,933836.296297113,574.850996757715,30349.7613567,30039.8780388598,-309.883317840206,0.900030859930961,1.09999603610837,7,0,4,204.936508931279,34.42416179505,100.031204278755,425.537436044967,2169.23802240241,2493.53618668342,2590.34989827693,1322.86790452846,1193.28057240552,697.903902306991,79.3951325831234,-690.376029390013,-8.38920773705998,702.405469748932,
