scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,slack_type,element_type,element_index,element_id,element_name,value,original_limit,slack,unit,weighted_cost
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,QMIN,GENERATOR,13,61,DUNKIRK,-94.456099971699,-59.247111392619,35.2089875820202,MVAr,35208.9875820202
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,QMAX,GENERATOR,11,57,HUNTLEY,55.1901517009941,7.95887865536026,47.231272048574,MVAr,47231.2720485741
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,QMAX,GENERATOR,12,60,DUNKIRK,121.069646347971,33.0965176050696,87.9731277458416,MVAr,87973.1277458416
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,VMIN,BUS,20,56,HUNTLEY,1.08863460364011,1.1,0.0113653853601829,pu,113653.853601829
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,VMIN,BUS,35,71,BINGHAMTON,1.09566643318964,1.1,0.00433355581065339,pu,43335.5581065339
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,VMAX,BUS,18,54,NIAGARA W,1.07122951582263,1.05172033,0.0195091753057193,pu,195091.753057193
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,1,VMAX,BUS,42,78,CE UG,1.01643362542046,0.974721326,0.0417122894207549,pu,417122.894207549
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835058,pu,33169.6572835058
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,QMAX,GENERATOR,11,57,HUNTLEY,31.5762997009094,7.95887865536026,23.6174200465491,MVAr,23617.4200465491
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,VMAX,BUS,18,54,NIAGARA W,1.05966183379811,1.0589622805,0.000699542708583348,pu,6995.42708583348
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.85,VMAX,BUS,42,78,CE UG,1.00231340247589,0.9935131271,0.00880026537599126,pu,88002.6537599126
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,QMAX,GENERATOR,3,48,MOSES E,37.669946922501,27.9699370781352,9.70000884551167,MVAr,9700.00884551167
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,QMAX,GENERATOR,11,57,HUNTLEY,31.5181060623385,7.95887865536026,23.5592264081242,MVAr,23559.2264081242
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,QMAX,GENERATOR,12,60,DUNKIRK,41.9784433077467,33.0965176050696,8.88192470382299,MVAr,8881.92470382299
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,VMAX,BUS,18,54,NIAGARA W,1.06474194501932,1.05775528875,0.00698664569187965,pu,69866.4569187965
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.875,VMAX,BUS,42,78,CE UG,1.0046653278711,0.99038116025,0.0142841576212187,pu,142841.576212187
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.9,QMAX,GENERATOR,3,48,MOSES E,58.6003572509134,27.9699370781352,30.6304191737782,MVAr,30630.4191737782
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.9,QMAX,GENERATOR,11,57,HUNTLEY,32.3320377572095,7.95887865536026,24.3731581028493,MVAr,24373.1581028493
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.9,QMAX,GENERATOR,12,60,DUNKIRK,53.4048818365786,33.0965176050696,20.308363232509,MVAr,20308.363232509
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.9,VMAX,BUS,18,54,NIAGARA W,1.06977198597808,1.056548297,0.0132236784127012,pu,132236.784127012
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.9,VMAX,BUS,42,78,CE UG,1.00701783954206,0.9872491934,0.0197686361421618,pu,197686.361421618
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.925,QMAX,GENERATOR,3,48,MOSES E,79.789336549115,27.9699370781352,51.8193984719798,MVAr,51819.3984719798
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.925,QMAX,GENERATOR,11,57,HUNTLEY,33.0765137618158,7.95887865536026,25.1176341074555,MVAr,25117.6341074555
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.925,QMAX,GENERATOR,12,60,DUNKIRK,64.6640222577883,33.0965176050696,31.5675036537187,MVAr,31567.5036537187
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.925,VMAX,BUS,18,54,NIAGARA W,1.07489471452819,1.05534130525,0.019553398724873,pu,195533.98724873
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.925,VMAX,BUS,42,78,CE UG,1.00937093124862,0.98411722655,0.0252536946987229,pu,252536.946987229
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.95,QMIN,GENERATOR,13,61,DUNKIRK,-71.3583770891263,-59.247111392619,12.1112646975073,MVAr,12111.2646975073
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.95,QMAX,GENERATOR,3,48,MOSES E,101.204148980933,27.9699370781352,73.2342109037974,MVAr,73234.2109037974
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.95,QMAX,GENERATOR,11,57,HUNTLEY,33.8953655239975,7.95887865536026,25.9364858696373,MVAr,25936.4858696373
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.95,QMAX,GENERATOR,12,60,DUNKIRK,76.1707757036553,33.0965176050696,43.0742570995857,MVAr,43074.2570995857
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.95,VMAX,BUS,18,54,NIAGARA W,1.08003055749166,1.0541343135,0.0258962334504141,pu,258962.334504141
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.95,VMAX,BUS,42,78,CE UG,1.01172459683563,0.9809852597,0.0307393271357327,pu,307393.271357327
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,QMIN,GENERATOR,13,61,DUNKIRK,-85.0968377712658,-59.247111392619,25.8497253796468,MVAr,25849.7253796468
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,QMAX,GENERATOR,3,48,MOSES E,126.934951532546,27.9699370781352,98.9650134554104,MVAr,98965.0134554104
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,QMAX,GENERATOR,11,57,HUNTLEY,34.6906762506556,7.95887865536026,26.7317965962953,MVAr,26731.7965962953
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,QMAX,GENERATOR,12,60,DUNKIRK,87.7473103302847,33.0965176050696,54.6507917262151,MVAr,54650.7917262151
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,VMIN,BUS,35,71,BINGHAMTON,1.09355715302532,1.095,0.00144283602478163,pu,14428.3602478163
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,VMAX,BUS,18,54,NIAGARA W,1.0851444153528,1.05292732175,0.0322170830736247,pu,322170.830736247
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,0.975,VMAX,BUS,42,78,CE UG,1.01407883022929,0.97785329285,0.0362255273793933,pu,362255.273793933
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,QMIN,GENERATOR,13,61,DUNKIRK,-98.7593044588375,-59.247111392619,39.512192071185,MVAr,39512.192071185
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,QMAX,GENERATOR,3,48,MOSES E,154.427648316,27.9699370781352,126.457710242831,MVAr,126457.710242831
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,QMAX,GENERATOR,11,57,HUNTLEY,35.5674366636569,7.95887865536026,27.6085570132631,MVAr,27608.5570132631
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,QMAX,GENERATOR,12,60,DUNKIRK,99.7045303687009,33.0965176050696,66.6080117685977,MVAr,66608.0117685977
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,VMIN,BUS,35,71,BINGHAMTON,1.09321528350878,1.1,0.00678470549171928,pu,67847.0549171928
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,VMAX,BUS,18,54,NIAGARA W,1.09011434811064,1.05172033,0.0383940075939331,pu,383940.075939331
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,fixed_scenario_q,1,VMAX,BUS,42,78,CE UG,1.01643362540761,0.974721326,0.0417122894081109,pu,417122.894081109
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,no_discretionary_q,0.825,VMAX,BUS,42,78,CE UG,0.999962069678251,0.99664509395,0.00331696572835051,pu,33169.6572835051
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,no_discretionary_q,0.85,VMAX,BUS,42,78,CE UG,1.00231340247589,0.9935131271,0.00880026537599132,pu,88002.6537599132
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,no_discretionary_q,0.875,QMAX,GENERATOR,11,57,HUNTLEY,25.4781444401012,7.95887865536026,17.5192647857409,MVAr,17519.2647857409
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,no_discretionary_q,0.875,QMAX,GENERATOR,12,60,DUNKIRK,42.6552044230671,33.0965176050696,9.5586858189975,MVAr,9558.6858189975
