zone,npcc_bus_id,npcc_bus_name,perform_reference_pg_mw,npcc_bus_pmax_mw,source_rule,confidence,perform_zone_pg_mw,perform_bus_weight
A,54,NIAGARA W,1009.163692,394.385301787287,PERFORM Niagara hydro plants,high,2640.509778,0.382185175153705
A,55,NIAGARA E,504.581846,197.192650893643,PERFORM Niagara hydro plants,high,2640.509778,0.191092587576852
A,56,HUNTLEY,795.54550419022,495.093851384339,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium,2640.509778,0.3012848165981
A,57,HUNTLEY,23.0049012843598,14.3166985641929,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium,2640.509778,0.00871229543477941
A,60,DUNKIRK,95.6644966370878,59.5351288283759,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium,2640.509778,0.036229555911566
A,61,DUNKIRK,212.549337888332,132.276368542162,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium,2640.509778,0.0804955693249973
B,53,ROCHESTER,719.814411,288.8,All PERFORM Zone-B generation at retained Rochester proxy,medium,719.814411,1
C,50,CLAY,3090.56242012395,1105.24857748821,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high,4529.057633,0.682385315127198
C,51,CLAY,818.964616876051,292.878562141814,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high,4529.057633,0.180824507709693
C,65,GESONIDGE,111.2903,7.481832143219,PERFORM Greenidge plant,high,4529.057633,0.024572506913824
C,68,HILLSIDE,270.425706584305,271.054008885173,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium,4529.057633,0.0597090451253934
C,71,BINGHAMTON,47.397739,643.677757785503,PERFORM Binghamton plant,high,4529.057633,0.0104652541081939
C,72,LAPEER,190.416850415696,190.859261556085,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium,4529.057633,0.0420433710156976
D,47,MOSES W,598.192398295627,944.920662,PERFORM Zone-D total allocated to Moses W/E proxies,low,623.55285,0.959329106258799
D,48,MOSES E,25.3604517043733,40.0600457,PERFORM Zone-D total allocated to Moses W/E proxies,low,623.55285,0.0406708937412013
E,43,EDIC,1101.75438733333,400,PERFORM Zone-E total allocated to Edic/Porter equivalents,low,1652.631581,0.666666666666667
E,44,PORTER,550.877193666667,200,PERFORM Zone-E total allocated to Edic/Porter equivalents,low,1652.631581,0.333333333333333
F,37,NEW SEATHED,713.989916999999,300,Residual Zone-F plants at New Scotland proxy,medium,3395.065848,0.210302229460617
F,38,GILBOA,980.220032,500,PERFORM Blenheim-Gilboa plant,high,3395.065848,0.28871900454521
F,41,ROTTERDAM,338.333488,300,PERFORM Selkirk cluster at Rotterdam proxy,medium,3395.065848,0.099654470089088
F,42,ALBANY,1362.522411,1068.003995,PERFORM Bethlehem/Empire Capital-region cluster,medium,3395.065848,0.401324295905085
G,39,LEEDS,1264.526267,600,PERFORM Athens/South-Cairo/West-Coxsackie cluster,medium,3097.21348,0.408278691528877
G,73,PLEASANT VLY,1109.732199,900,PERFORM Roseton/CPV-Valley cluster,medium,3097.21348,0.358300196665811
G,76,RAMAPO,722.955014,700,Residual Zone-G plants at Ramapo proxy,medium,3097.21348,0.233421111805312
I,78,CE UG,59.321702,565.099092,PERFORM Zone-I residual at CE UG interface proxy,low,59.321702,1
J,79,RAV A-3,5821.966266,1777.453484,PERFORM Ravenswood/Astoria generation cluster,high,8241.503951,0.706420369463462
J,81,GOETHALS,1362.317778,900,Residual Zone-J generation at Goethals/Gowanus proxy,medium,8241.503951,0.165299657210587
J,82,AK-3,1057.219907,1519.623976,PERFORM Arthur-Kill/Narrows generation cluster,high,8241.503951,0.128279973325951
K,80,NORTHPORT,1174.4463,1784.929342,PERFORM Northport plant,high,4125.504268,0.284679453396702
K,9003,EAST GARDEN CITY,2951.057968,600,Residual Zone-K plants at East Garden City proxy,medium,4125.504268,0.715320546603298
